arm	study	temp	trace	access	chunk	repeat	frames	asks	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	gap_p50_ns	gap_p99_ns	gap_max_ns	gap_samples	bytes_copied	hop_p50_ns	other_later_p50_ns	other_later_p99_ns	other_asks	runtime	hop_count
mmap_naive	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	1122529	37318	2112361	120018	39435239	1879	13960	3584867	5121	0	0	0	0	0	current	0
mmap_hybrid_mincore	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	2194277	46627	4702990	230741	75833847	394	11206	2850087	87286	0	966442	0	0	0	current	30
mmap_blocking_touch	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	1810485	58583	2974497	161478	53375908	357	8928	91625	83811	0	24972	0	0	0	current	320
pread_blocking_pooled	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	702050	79292	1708140	159270	51618593	393	3731	197487	82034	80000000	50894	0	0	0	current	320
pread_nowait	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	587729	52503	3001960	167643	54125136	514	3467	1772069	49210	80000000	679951	0	0	0	current	23
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	768376	41248	1329289	194690	62921350	383	9780	657715	32955	80000000	3465914	0	0	0	current	5
mmap_naive	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	1520515	46995	3078222	135547	44801329	2250	20514	4003105	5121	0	0	0	0	0	current	0
mmap_hybrid_mincore	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	1679077	40477	3239050	139444	46192512	395	10946	514832	56786	0	1223263	0	0	0	current	22
mmap_blocking_touch	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	1800448	57682	3629253	159961	52888419	364	10525	74092	76353	0	25749	0	0	0	current	320
pread_blocking_pooled	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	805482	93254	1424044	259204	83581582	385	3102	205551	153907	80000000	60416	0	0	0	current	320
pread_nowait	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	378935	37084	2933625	92554	29952170	363	2802	344078	41192	80000000	2558892	0	0	0	current	7
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	732853	51476	2612088	100455	32826456	510	11396	517476	26136	80000000	2768703	0	0	0	current	6
mmap_naive	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	1342695	39901	2715850	118731	39254073	2112	14322	3957791	5121	0	0	0	0	0	current	0
mmap_hybrid_mincore	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	2353786	38104	3163664	172095	57289726	320	8685	2662834	52690	0	640943	0	0	0	current	17
mmap_blocking_touch	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	1780805	62644	3306181	185096	60873025	384	11039	152220	79655	0	27648	0	0	0	current	320
pread_blocking_pooled	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	629593	91029	1753857	435476	139626029	379	3357	199819	266846	80000000	59274	0	0	0	current	320
pread_nowait	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	392048	38029	3034956	97636	31606806	384	4621	355084	38990	80000000	2823927	0	0	0	current	7
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	700721	42529	2933850	98843	32274550	394	8975	408748	37864	80000000	2660895	0	0	0	current	7
mmap_naive	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	1397896	46109	3643723	221693	72165334	2240	46808	7697894	5121	0	0	0	0	0	current	0
mmap_hybrid_mincore	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	2107235	49920	4407497	212163	69823858	394	8482	1783717	85716	0	939054	0	0	0	current	23
mmap_blocking_touch	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	2318180	66311	5216189	304894	99637023	376	5941	4007748	136141	0	31863	0	0	0	current	320
pread_blocking_pooled	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	689107	73317	1839458	145881	47290397	385	2743	133168	80874	80000000	50481	0	0	0	current	320
pread_nowait	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	384037	43148	2443221	142569	45910581	394	26216	2423872	29712	80000000	2487569	0	0	0	current	6
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	665948	37927	2758279	91343	29840671	319	8294	186040	44990	80000000	2679445	0	0	0	current	7
mmap_naive	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	1207239	39149	2410124	132444	43488562	1774	12578	3928384	5121	0	0	0	0	0	current	0
mmap_hybrid_mincore	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	2065008	41925	2953716	143862	47986916	394	6462	2983721	56381	0	565536	0	0	0	current	22
mmap_blocking_touch	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	2272764	58993	2740580	156898	52368804	312	7714	133362	90195	0	25515	0	0	0	current	320
pread_blocking_pooled	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	687086	87396	1902349	185386	59921912	395	3726	129843	101076	80000000	56596	0	0	0	current	320
pread_nowait	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	401859	37778	3097023	97459	31531458	371	2769	251459	43408	80000000	2840219	0	0	0	current	8
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	907041	41745	2473183	123603	40380702	392	9131	411238	40328	80000000	2278162	0	0	0	current	7
