arm	study	temp	trace	access	chunk	repeat	frames	asks	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	gap_p50_ns	gap_p99_ns	gap_max_ns	gap_samples	bytes_copied	hop_p50_ns	other_later_p50_ns	other_later_p99_ns	other_asks	runtime	hop_count
mmap_naive	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	1557227	50423	3233594	155578	51222297	423	19024	56950	28380	0	0	0	0	0	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	1866279	61562	5114145	370703	120175987	297	16266	2123265	86348	0	1814683	0	0	0	multi	23
mmap_blocking_touch	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	1420227	123700	2964287	201559	65825193	491	26215	136646	25939	0	33539	0	0	0	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	1432406	90579	8362964	542208	174487627	439	24470	1734360	75657	0	29021	0	0	0	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	708563	182285	1832248	509603	163409691	491	13512	103350	78886	80000000	69065	0	0	0	multi	320
pread_nowait	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	633418	42611	2588008	100385	32707160	417	10812	324406	22604	80000000	2343751	0	0	0	multi	7
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	884740	46800	2908401	146075	47542073	443	12360	292204	26454	80000000	1789515	0	0	0	multi	7
mmap_naive	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	2836746	42937	4751498	194920	65051979	459	30414	240705	22789	0	0	0	0	0	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	2012075	50772	4112674	236918	77632870	342	23097	210477	48494	0	1745294	0	0	0	multi	26
mmap_blocking_touch	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	5964834	117505	5490767	283811	96591986	409	27309	1075864	36261	0	33273	0	0	0	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	1949299	84488	5897964	284644	92831100	471	27164	182072	36130	0	23461	0	0	0	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	568317	174120	2259564	242394	78049612	498	19870	841026	34746	80000000	67266	0	0	0	multi	320
pread_nowait	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	593861	48201	1832730	162483	52484482	432	10954	139853	35022	80000000	2693038	0	0	0	multi	6
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	900560	52485	1396186	135158	44074550	421	13806	176920	27082	80000000	1425940	0	0	0	multi	6
mmap_naive	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	4132866	49107	3144930	162846	56120368	444	25513	270087	27717	0	0	0	0	0	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	1730933	50812	3362401	166977	55041126	372	20449	130750	35511	0	448880	0	0	0	multi	20
mmap_blocking_touch	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	1872297	142554	3159722	232890	76250340	527	28091	527264	25033	0	38804	0	0	0	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	1642744	73406	3659067	222025	72543672	502	25224	99270	29454	0	23729	0	0	0	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	757232	143347	1063987	245520	79205796	417	14094	90580	47135	80000000	55201	0	0	0	multi	320
pread_nowait	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	477744	51058	3033619	195371	62860388	371	13075	216903	43683	80000000	2675683	0	0	0	multi	6
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	602267	48622	2727618	97696	31816511	425	11339	161272	21463	80000000	2601664	0	0	0	multi	7
mmap_naive	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	1828634	51193	4553060	245158	80090192	395	27582	1762997	37161	0	0	0	0	0	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	6295226	59324	4404624	256023	88008302	503	28085	1341233	32133	0	1225193	0	0	0	multi	23
mmap_blocking_touch	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	2085788	151433	3714712	328135	106858852	458	27701	326180	42614	0	41259	0	0	0	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	1947795	84384	5218514	294310	95904013	431	27472	135128	39607	0	24734	0	0	0	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	610945	176714	2986690	274148	88197076	400	15311	305088	50893	80000000	90210	0	0	0	multi	320
pread_nowait	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	602617	47279	2839223	187024	60320235	363	12277	280361	41003	80000000	685322	0	0	0	multi	20
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	683259	56618	2763089	131691	42756040	352	12701	134779	33888	80000000	336635	0	0	0	multi	15
mmap_naive	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	2037317	44806	4484482	220665	72471583	374	23666	1996856	38615	0	0	0	0	0	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	2908550	52382	3209053	198116	66155275	377	22395	749936	39667	0	1183733	0	0	0	multi	24
mmap_blocking_touch	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	1834362	135543	3532446	245014	80074751	398	27545	99759	33902	0	34936	0	0	0	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	1742955	69323	3667608	221291	72422954	495	27010	129694	28580	0	24606	0	0	0	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	727869	143330	939551	170474	55215961	526	16909	449227	24083	80000000	53153	0	0	0	multi	320
pread_nowait	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	476623	45476	1742897	97017	31470086	494	11440	171721	18927	80000000	1562385	0	0	0	multi	7
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	659981	48782	2350293	99048	32306008	355	11651	124211	25491	80000000	2201041	0	0	0	multi	7
