arm	study	temp	trace	access	chunk	repeat	frames	asks	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	gap_p50_ns	gap_p99_ns	gap_max_ns	gap_samples	bytes_copied	hop_p50_ns	other_later_p50_ns	other_later_p99_ns	other_asks	runtime	hop_count
mmap_naive	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	43810	53288	169074	61967	19846765	610	29767	2230820	18488	0	0	95580	376819	1600	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	62176	60178	192812	68662	22000368	1075	32921	1668679	14095	0	0	90608	230396	1600	multi	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	174050	99309	496544	120421	38664139	764	28943	299891	18525	0	18557	100105	369403	1600	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	242291	91927	721339	124541	40052676	1130	36091	639388	15051	0	13207	109405	645186	1600	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	361418	159089	742635	184184	59257025	667	37642	471368	19767	80000000	60061	115044	488207	1600	multi	320
pread_nowait	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	155284	87156	195245	92159	29614134	1153	33467	622189	13892	80000000	0	94136	224936	1600	multi	0
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	140507	82953	197613	88806	28524642	840	27237	261976	16957	80000000	0	94698	217334	1600	multi	0
mmap_naive	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	51074	72337	195377	78552	25161336	1190	31876	357191	14316	0	0	96828	217778	1600	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	37826	55671	164861	63783	20425479	892	32401	1733928	14845	0	0	89130	213992	1600	multi	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	423864	91664	256392	113161	36612207	534	26940	326698	19827	0	18235	93550	286851	1600	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	58985	82536	318205	96661	30952294	828	25482	636052	16703	0	12096	93357	379375	1600	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	336681	139822	306622	148525	47821688	900	34964	780629	15468	80000000	53034	100771	287196	1600	multi	320
pread_nowait	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	300237	84526	187340	90123	29135938	956	32111	197394	16232	80000000	0	91632	201060	1600	multi	0
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	121697	81667	204059	89081	28602632	1152	36025	268380	12350	80000000	0	88777	193864	1600	multi	0
mmap_naive	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	30443	65360	153683	70173	22484623	1035	36540	153539	13251	0	0	89458	210178	1600	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	198986	65373	171997	74157	23890770	1022	31422	1365772	13777	0	0	93008	347904	1600	multi	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	281927	101121	242989	106702	34426110	1214	36984	232421	13078	0	18608	97542	287428	1600	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	238832	86632	692779	110022	35402941	743	33967	913767	15346	0	12579	100631	855099	1600	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	292664	132187	263371	137895	44414690	708	26783	670803	16932	80000000	51666	93382	243369	1600	multi	320
pread_nowait	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	146496	94952	227327	100818	32382436	292	21922	1219647	29498	80000000	0	94661	681913	1600	multi	0
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	185859	82594	189178	92305	29682987	601	24534	2847172	17079	80000000	0	91371	329995	1600	multi	0
mmap_naive	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	26843	59868	165176	66563	21297142	1078	36588	291164	13576	0	0	90031	341839	1600	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	63443	53520	166311	62059	19890763	621	24264	2654611	17225	0	0	84064	225538	1600	multi	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	225812	106315	537336	127709	41074612	1129	32709	290854	15543	0	18848	102603	415205	1600	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	62510	75572	801068	105954	33916539	1003	28249	666749	15555	0	11607	90820	548962	1600	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	420337	143830	481456	157503	50784116	741	29873	1294389	17586	80000000	49186	107659	409869	1600	multi	320
pread_nowait	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	226902	82962	208798	87373	28156424	1227	36141	359289	13831	80000000	0	94624	350584	1600	multi	0
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	104586	80882	184085	84933	27267941	1102	33345	570431	13145	80000000	0	85723	201051	1600	multi	0
mmap_naive	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	97469	40641	152127	52206	16782327	960	33250	1946980	13597	0	0	86704	221578	1600	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	70013	62518	166834	68015	21811427	1220	32532	319765	13165	0	0	88439	209767	1600	multi	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	536554	97758	410636	113899	36950950	1189	32659	1777620	13705	0	20685	97290	430619	1600	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	52074	77989	444402	97659	31262829	766	28670	1177407	17207	0	11944	97813	600971	1600	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	288836	138367	407520	154690	49764045	737	34271	261012	17894	80000000	54403	100537	310361	1600	multi	320
pread_nowait	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	249774	78790	193668	85507	27573272	823	32790	246210	15528	80000000	0	91724	208610	1600	multi	0
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	103576	65784	195428	74294	23849541	625	25031	181392	20062	80000000	0	84329	206133	1600	multi	0
mmap_naive	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	1635550	68144	1441681	155516	51279396	1032	32887	1048248	15553	0	0	101610	402780	1600	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	1871972	64909	1388861	144690	48064055	553	27455	1273132	19929	0	1306719	94388	399827	1600	multi	8
mmap_blocking_touch	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	2154056	141191	797150	180326	59771510	528	41381	918019	18476	0	28508	121150	932035	1600	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	2360409	94664	1200941	147655	49532821	530	25717	1067749	20307	0	14574	102728	697942	1600	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	640951	143348	551799	167120	54074352	340	18240	275363	31334	80000000	60891	96284	269426	1600	multi	320
pread_nowait	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	593728	84013	1738530	165267	53375237	737	27826	4046217	18656	80000000	1589404	98948	290022	1600	multi	5
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	681254	72328	1475808	145161	47028966	445	26142	1486208	22795	80000000	2392447	93541	283859	1600	multi	5
mmap_naive	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	1869373	75526	735362	105014	35401172	966	32669	2337928	14954	0	0	104238	327236	1600	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	1935003	71713	558615	88909	30336417	1015	38673	824249	13391	0	600894	96095	257550	1600	multi	7
mmap_blocking_touch	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	1530124	122693	333782	140414	46442248	1264	38761	302584	13009	0	27478	107337	273125	1600	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	2453030	960253	2299258	892862	287411690	426	15202	1334338	153544	0	859340	113583	1339446	1600	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	683056	145968	1859626	285966	92017084	357	17285	527565	49726	80000000	62360	103554	1376042	1600	multi	320
pread_nowait	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	514017	85684	1224258	137907	44560810	523	22696	1957475	21524	80000000	3023582	106304	552938	1600	multi	4
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	819902	83635	250510	109696	35874877	954	34511	3731493	13925	80000000	2439665	93440	271167	1600	multi	4
mmap_naive	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	1848099	69636	2368599	137272	45668823	501	23387	1840464	24552	0	0	99268	1023193	1600	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	1858007	73121	420998	101864	34394552	854	37861	793609	15128	0	327854	103177	457318	1600	multi	8
mmap_blocking_touch	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	2012592	127371	794125	155963	51852295	657	25900	1263559	16320	0	26865	110855	512749	1600	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	1903398	107680	1070089	153041	50797622	853	31117	799382	16027	0	15733	104785	580026	1600	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	661497	145314	826616	163478	52939229	536	34327	774203	19034	80000000	62731	99784	330739	1600	multi	320
pread_nowait	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	569540	65885	1791194	152383	49244031	595	24022	1190998	20521	80000000	2890576	91791	358025	1600	multi	6
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	794146	77239	1164934	145348	47223472	973	37235	850855	14277	80000000	2301478	101144	303883	1600	multi	4
mmap_naive	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	1826862	74428	332300	91435	31045296	1116	32675	853654	13675	0	0	93642	214460	1600	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	1991843	74300	842754	113345	38191476	845	31913	1261723	16542	0	748157	98742	704817	1600	multi	10
mmap_blocking_touch	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	1876146	123739	562630	145526	48384088	1220	35787	1087690	14722	0	23831	105443	449199	1600	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	2295585	100669	1015179	154079	51518457	526	23861	939270	22779	0	15956	101730	772222	1600	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	598193	143350	445658	160388	51862082	773	31008	829634	17487	80000000	56956	106549	467666	1600	multi	320
pread_nowait	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	598236	72567	2469167	125270	40631536	690	28223	3095787	14401	80000000	2320638	92958	1017446	1600	multi	6
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	660736	83974	241143	108674	35426136	932	28330	147650	15279	80000000	1933626	92204	214297	1600	multi	4
mmap_naive	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	1693758	76798	564355	103084	34625586	935	30239	877789	15075	0	0	97347	265131	1600	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	1807401	87317	404890	105644	35584337	874	24793	319480	17564	0	671462	95164	301107	1600	multi	6
mmap_blocking_touch	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	2095951	132771	525205	154228	51398357	1174	37346	564224	14109	0	29075	116360	379957	1600	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	1817796	102269	1717425	181499	59793641	679	30669	1281438	19243	0	16303	106062	697801	1600	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	577276	149077	882279	181621	58626552	632	40476	1112815	17597	80000000	60789	106631	488654	1600	multi	320
pread_nowait	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	643114	74515	1208739	162729	52615702	1054	26829	3344783	14643	80000000	1260923	92118	642999	1600	multi	5
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	3084064	86505	244359	115066	39845473	500	20278	441449	26266	80000000	2760865	92684	377696	1600	multi	4
