arm	study	temp	trace	access	chunk	repeat	frames	asks	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	gap_p50_ns	gap_p99_ns	gap_max_ns	gap_samples	bytes_copied	hop_p50_ns	other_later_p50_ns	other_later_p99_ns	other_asks	runtime	hop_count
mmap_naive	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	79766	59810	122015	60969	19608398	1096	11320	218940	12531	0	0	45394	109406	1600	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	66196	59230	126181	59750	19204688	1196	11207	72711	11684	0	0	43972	113466	1600	multi	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	488779	105191	246133	111454	36135531	1109	36916	604866	14272	0	21957	104850	268316	1600	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	465847	67931	1025778	136396	44044764	990	23556	606577	18556	0	12057	68918	901276	1600	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	455998	160228	498193	181050	58337242	549	33279	571599	24169	80000000	65385	159077	511568	1600	multi	320
pread_nowait	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	136616	64128	175169	74825	24059989	974	28733	310735	15533	80000000	0	72942	167586	1600	multi	0
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	122820	93914	169579	97008	31161912	1219	19510	85798	12887	80000000	0	74448	166096	1600	multi	0
mmap_naive	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	59228	43391	97045	46000	14823509	999	10529	72615	13600	0	0	46008	109770	1600	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	50871	38759	87369	41164	13214173	1058	11114	67413	11963	0	0	40398	105496	1600	multi	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	121594	101593	286566	117445	37677275	857	30193	630400	17202	0	20160	100034	618322	1600	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	308690	66578	1231443	133486	42975007	533	14645	1078063	39912	0	9995	65706	1522368	1600	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	676800	171738	493015	193842	62634684	519	32178	609185	27692	80000000	74565	172825	595383	1600	multi	320
pread_nowait	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	247321	59356	514006	79611	25704216	760	27918	611663	15929	80000000	0	64894	487582	1600	multi	0
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	134302	82817	140648	84349	27149914	836	14884	128348	16063	80000000	0	67342	142262	1600	multi	0
mmap_naive	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	41936	49367	116895	52358	16821587	1024	10181	57758	13821	0	0	48408	103693	1600	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	69575	62683	112276	61726	19906151	1125	12342	79407	11713	0	0	44061	107416	1600	multi	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	299283	95994	205961	101332	32730281	1160	33758	217301	13055	0	20383	91500	230562	1600	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	173992	73467	749905	110352	35506053	1051	19886	617456	18697	0	11610	64499	735994	1600	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	325999	167297	596291	190831	61361507	507	29925	528334	28695	80000000	71543	168505	532162	1600	multi	320
pread_nowait	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	103375	58521	172738	68747	22103164	706	26999	207634	16642	80000000	0	65961	156741	1600	multi	0
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	88671	81531	161888	87328	28039015	793	15615	78052	15309	80000000	0	64308	143997	1600	multi	0
mmap_naive	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	88356	39154	81078	41189	13256755	1039	9847	74242	12549	0	0	41292	97599	1600	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	49560	41549	90855	43738	14045779	1170	11360	69697	12003	0	0	44317	97164	1600	multi	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	364094	94700	208657	103708	33536815	668	25109	281324	18109	0	18938	93975	248405	1600	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	298719	74034	541393	107791	34755696	734	19939	782443	22947	0	12282	74158	860409	1600	multi	320
