arm	study	temp	trace	access	chunk	repeat	frames	asks	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	gap_p50_ns	gap_p99_ns	gap_max_ns	gap_samples	bytes_copied	hop_p50_ns	other_later_p50_ns	other_later_p99_ns	other_asks	runtime	hop_count
mmap_naive	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	81454	57922	119115	56859	18294785	1390	11674	248815	9252	0	0	50126	116563	1200	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	90962	56117	113340	52602	16952103	1171	11481	97171	9069	0	0	43323	108950	1200	multi	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	514659	102065	263817	108837	35330459	1094	44197	401670	9913	0	23376	99625	337018	1200	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	314949	71257	651526	98704	31886936	577	16982	662187	19582	0	12572	68651	854409	1200	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	430928	143581	429116	161167	51956172	529	29492	604472	19699	80000000	59728	142802	429755	1200	multi	320
pread_nowait	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	270179	56122	149554	62677	20310425	829	25817	286004	11586	80000000	0	65143	165719	1200	multi	0
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	179740	52354	173615	73122	23547904	556	13746	486777	20109	80000000	0	66981	187998	1200	multi	0
mmap_naive	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	86837	40077	89309	42734	13781034	1145	11427	88159	9400	0	0	42348	107514	1200	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	177082	51314	101674	48745	15785685	1272	12698	89712	8337	0	0	39455	103180	1200	multi	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	266261	100441	471746	116180	37426057	1120	29299	569419	12086	0	20187	96935	386729	1200	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	615385	74605	1057472	133181	43170992	632	20895	2612634	17864	0	12741	72546	881046	1200	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	386095	161094	480566	178394	57410489	529	29852	886991	18703	80000000	63840	160712	674853	1200	multi	320
pread_nowait	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	191577	63808	142277	69357	22390192	997	27932	301324	11382	80000000	0	73636	155275	1200	multi	0
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	115611	77041	138259	75683	24332326	1045	14539	71332	10953	80000000	0	67395	151636	1200	multi	0
mmap_naive	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	85219	53117	102242	51121	16462906	1228	12449	77035	9034	0	0	42334	104419	1200	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	118667	39952	106920	44375	14300389	1227	10990	73388	9190	0	0	43990	101106	1200	multi	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	206749	91459	529835	114708	36890505	1130	29878	382411	12102	0	18109	96709	422351	1200	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	83902	59527	2448384	159701	51119552	494	15487	1614291	28403	0	10933	62490	1966042	1200	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	389818	149499	378729	162342	52276337	540	24454	424400	20379	80000000	67437	147400	457241	1200	multi	320
pread_nowait	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	119176	60823	147815	66373	21369230	862	25705	187445	11510	80000000	0	71165	142072	1200	multi	0
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	125311	57992	116354	62541	20113825	674	13474	103877	16808	80000000	0	58645	156475	1200	multi	0
mmap_naive	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	59552	54662	107026	53551	17216079	1190	11392	83163	9898	0	0	44543	105360	1200	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	74570	56732	106769	53134	17090261	1098	11515	70449	9856	0	0	46291	105795	1200	multi	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	3775178	95690	285683	105474	37499240	898	38591	602038	11594	0	20261	98194	328510	1200	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	103608	64046	1998479	143212	45848484	492	13787	932922	30557	0	11541	67298	973881	1200	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	400895	150307	485484	173490	55865000	494	28321	467260	21888	80000000	65371	151533	466993	1200	multi	320
pread_nowait	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	266252	57715	145413	64774	20976540	936	27242	213731	11260	80000000	0	69893	161734	1200	multi	0
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	136583	60450	125683	64322	20709827	935	14214	82454	11588	80000000	0	68368	148378	1200	multi	0
