arm	study	temp	trace	access	chunk	repeat	frames	asks	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	gap_p50_ns	gap_p99_ns	gap_max_ns	gap_samples	bytes_copied	hop_p50_ns	other_later_p50_ns	other_later_p99_ns	other_asks
mmap_naive	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	469918	186158	453575	223201	71690158	1076	276548	1993202	5121	0	0	0	0	0
mmap_naive	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	364185	173995	408707	198666	63757437	1206	231098	1978879	5121	0	0	0	0	0
mmap_naive	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	301038	166648	374665	168865	54186607	1118	100249	2118816	5121	0	0	0	0	0
mmap_naive	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	364798	166591	490546	178446	57308665	1457	112720	1979701	5121	0	0	0	0	0
mmap_naive	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	226996	173139	432361	199503	63886925	1267	215596	2097946	5121	0	0	0	0	0
mmap_blocking_touch	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	699356	226032	476189	230859	74363038	334	2218	77781	169599	0	166966	0	0	0
mmap_blocking_touch	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	682076	230634	555949	231184	74448215	332	2314	60479	167711	0	170855	0	0	0
mmap_blocking_touch	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	728402	217775	405771	214705	69236837	332	6140	57381	147617	0	156951	0	0	0
mmap_blocking_touch	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	654799	229161	424649	247235	79542564	334	2434	64209	179633	0	174107	0	0	0
mmap_blocking_touch	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	678303	221116	510821	242403	78022124	332	2490	62134	175411	0	162342	0	0	0
mmap_hybrid_mincore	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	686023	283683	498402	281572	90526530	332	1988	2267895	205143	0	282478	0	0	0
mmap_hybrid_mincore	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	733014	243304	547862	258821	83315445	346	4860	77851	169902	0	180380	0	0	0
mmap_hybrid_mincore	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	564102	239678	514333	259751	83443690	346	2420	2267065	176034	0	177856	0	0	0
mmap_hybrid_mincore	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	719777	237059	446335	249968	80477318	332	2621	72479	178238	0	177582	0	0	0
mmap_hybrid_mincore	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	565140	224519	477447	218983	70440720	346	5332	71713	144067	0	162577	0	0	0
pread_blocking	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	762120	135995	410824	164014	53139583	346	1738	53209	128496	80000000	118272	0	0	0
pread_blocking	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	764612	127064	438352	140909	45778080	346	1700	54467	109542	80000000	109840	0	0	0
pread_blocking	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	515442	127949	434968	140170	45292755	346	1705	56676	108152	80000000	110579	0	0	0
pread_blocking	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	695104	127066	413703	149483	48437660	345	1612	53818	117807	80000000	110344	0	0	0
pread_blocking	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	394730	126593	257690	128934	41586130	345	1730	33266	98773	80000000	108936	0	0	0
