arm	study	temp	trace	access	chunk	repeat	frames	asks	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	gap_p50_ns	gap_p99_ns	gap_max_ns	gap_samples	bytes_copied	hop_p50_ns	other_later_p50_ns	other_later_p99_ns	other_asks
mmap_naive	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	56362	52805	66644	53352	17089286	2918	10273	2674681	6969	0	0	55714	70449	1600
mmap_naive	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	17031	45482	65517	46974	15016008	2328	10873	836563	7153	0	0	48453	66899	1600
mmap_naive	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	18430	47682	67159	48147	15390625	2389	11888	843560	6909	0	0	48961	68734	1600
mmap_naive	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	17148	47361	63359	47575	15207636	2442	11591	994804	6846	0	0	49199	65603	1600
mmap_naive	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	20055	45958	60932	46702	14932671	2435	10271	983172	6969	0	0	49140	64930	1600
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	213982	46321	65617	47299	15317956	2003	13910	960636	7033	0	6260	45162	65279	1600
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	206401	45669	60747	46478	15048514	2054	13305	930631	7153	0	6172	44845	61405	1600
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	228845	46213	65438	47451	15381202	2170	13038	939428	7246	0	6269	45380	68951	1600
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	122817	45599	61124	46671	15025891	2241	13587	1042231	6850	0	6387	44820	59639	1600
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	60286	46288	70240	47473	15223154	2240	13298	834580	6896	0	6533	45456	74560	1600
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	21662	45998	62093	45973	14700659	2402	10665	843208	7013	0	0	48492	65244	1600
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	18875	46751	61117	46526	14874553	2390	10290	926195	7056	0	0	49060	64868	1600
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	18104	46717	61156	46558	14883590	2363	11028	919878	7048	0	0	49075	66244	1600
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	21664	47518	62428	47864	15303512	2432	11496	859232	6893	0	0	49316	70938	1600
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	22002	46956	60668	47480	15181255	2406	11508	848080	6841	0	0	48751	67040	1600
pread_blocking	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	199000	84234	255088	87498	28177610	339	9768	912176	18502	80000000	35539	50105	97103	1600
