arm	study	temp	trace	access	chunk	repeat	frames	asks	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	gap_p50_ns	gap_p99_ns	gap_max_ns	gap_samples	bytes_copied	hop_p50_ns	other_later_p50_ns	other_later_p99_ns	other_asks
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	244736	36275	46348	37768	12307978	355	4558	38814	10394	0	6690	0	0	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	199990	22504	30916	23397	7678350	368	2730	26240	8898	0	5834	0	0	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	215911	22325	35337	23894	7853495	363	2709	27911	9474	0	5936	0	0	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	193656	22566	37520	23874	7826586	403	2969	27533	8766	0	5872	0	0	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	222067	22324	35505	23335	7680720	362	2628	26871	9060	0	5782	0	0	0
pread_blocking	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	323764	54995	63717	55544	18099732	339	2439	31001	35241	80000000	37576	0	0	0
pread_blocking	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	228365	54610	64197	55424	17969435	338	2350	33399	35279	80000000	37446	0	0	0
pread_blocking	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	227004	55244	65352	55961	18140303	337	2438	26880	35369	80000000	37898	0	0	0
pread_blocking	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	226225	55940	67398	56825	18415918	337	2500	29208	35104	80000000	37880	0	0	0
pread_blocking	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	250046	56160	68595	56813	18437448	337	2499	27642	35041	80000000	37907	0	0	0
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	242112	52946	65125	53408	17325136	339	2603	42480	31599	80000000	33993	0	0	0
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	144556	52807	62995	53681	17310818	339	2596	38470	31821	80000000	34208	0	0	0
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	294784	52559	63241	52992	17242746	337	2551	35395	32162	80000000	34293	0	0	0
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	238000	52832	80796	53920	17485049	340	2695	36067	31503	80000000	34180	0	0	0
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	230692	52787	60455	53129	17222635	338	2611	32753	31725	80000000	34180	0	0	0
mmap_blocking_touch	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	691316	187047	541041	215431	69431520	334	5293	55564	142315	0	123584	0	0	0
mmap_blocking_touch	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	591918	221279	455461	231812	74562573	333	3087	51184	154642	0	157867	0	0	0
mmap_blocking_touch	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	376111	190435	528658	220661	70784851	333	5059	42249	145556	0	131192	0	0	0
mmap_blocking_touch	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	451530	231950	419174	229964	73830805	332	3573	43711	164927	0	172363	0	0	0
mmap_blocking_touch	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	595215	188495	415928	202540	65224216	321	7312	52335	141367	0	127048	0	0	0
pread_blocking	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	478611	93648	285418	98645	31997921	324	1802	28818	77153	80000000	76106	0	0	0
pread_blocking	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	559757	80257	179745	87875	28646653	322	1774	52330	68283	80000000	62979	0	0	0
pread_blocking	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	603594	92657	254837	96563	31462596	324	1663	40970	76183	80000000	75923	0	0	0
pread_blocking	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	575354	115723	374479	125145	40558804	322	1747	45705	101764	80000000	98242	0	0	0
pread_blocking	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	373131	95813	441620	115741	37347215	322	1777	33106	92524	80000000	78275	0	0	0
pread_blocking_pooled	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	562860	91010	371230	100746	32741052	322	1788	53600	79350	80000000	73136	0	0	0
pread_blocking_pooled	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	606471	75331	385344	89498	29193634	322	1787	45266	69442	80000000	57724	0	0	0
pread_blocking_pooled	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	623395	92492	212298	96377	31407281	322	1808	57065	75543	80000000	74510	0	0	0
pread_blocking_pooled	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	696410	112841	755093	127219	41316046	324	1765	49998	103306	80000000	95328	0	0	0
pread_blocking_pooled	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	532005	91675	293048	99937	32454025	322	1780	45708	78389	80000000	73823	0	0	0
