arm	study	temp	trace	access	chunk	repeat	frames	asks	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	gap_p50_ns	gap_p99_ns	gap_max_ns	gap_samples	bytes_copied	hop_p50_ns	other_later_p50_ns	other_later_p99_ns	other_asks
mmap_blocking_touch	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	565615	201018	366231	193526	62314700	319	7253	48615	128038	0	142931	0	0	0
mmap_blocking_touch	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	544162	210700	460522	222159	71431555	331	2077	67136	164213	0	157253	0	0	0
mmap_blocking_touch	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	714834	232156	600522	265904	85553589	331	1955	57355	204795	0	181089	0	0	0
mmap_blocking_touch	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	655948	228197	481033	253387	81504031	331	2020	69600	190008	0	172017	0	0	0
mmap_blocking_touch	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	496743	219286	401142	204987	65905705	331	7294	65250	133428	0	158900	0	0	0
pread_blocking	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	754251	124466	355551	129059	41979144	331	1721	57703	103190	80000000	107096	0	0	0
pread_blocking	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	836574	125159	429749	139569	45417629	326	1704	54352	114557	80000000	107949	0	0	0
pread_blocking	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	670786	123305	281616	127157	41290332	325	1711	57696	103346	80000000	106066	0	0	0
pread_blocking	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	833869	125044	392190	136238	44349631	326	1704	54938	111653	80000000	107859	0	0	0
pread_blocking	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	805217	128900	451862	144158	46846420	325	1722	56681	118866	80000000	111530	0	0	0
pread_blocking_pooled	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	676580	119776	395335	129348	41978577	327	1723	75415	103604	80000000	102651	0	0	0
pread_blocking_pooled	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	462469	118695	172196	121705	39327456	333	1691	54268	95827	80000000	101629	0	0	0
pread_blocking_pooled	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	583130	119244	198155	120898	39190119	333	1714	49963	95481	80000000	101997	0	0	0
pread_blocking_pooled	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	553294	115499	441440	130906	42355825	332	1700	68008	104263	80000000	98215	0	0	0
pread_blocking_pooled	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	605452	119546	289709	123979	40195332	333	1700	69979	98065	80000000	102265	0	0	0
