label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct	peak_named	peak_in_flight	rss_kib	rings_built	monitors	short_reads	reads_per_ask
fill16_warm	product_fill	off	warm	sweep	16384	16384	1	1	0	0	256	3178	4476	5726	2843	1011227	253158	5	0	0	0.0	0.000	2	0	300	0	0	0	1.00
fill16_warm	product_fill_serial	off	warm	sweep	16384	16384	1	1	0	1	256	2683	3444	5271	5129	961554	266236	5	0	0	0.0	0.000	2	0	40	0	0	0	1.00
fill16_warm	product_fill_serial	off	warm	sweep	16384	16384	1	1	1	0	256	2437	3066	3718	3918	723539	353816	5	0	0	0.0	0.000	2	0	0	0	0	0	1.00
fill16_warm	product_fill	off	warm	sweep	16384	16384	1	1	1	1	256	2078	2467	2894	2518	622041	411548	5	0	0	0.0	0.000	2	0	0	0	0	0	1.00
fill16_warm	product_fill	off	warm	sweep	16384	16384	1	1	2	0	256	2113	2532	2953	3431	800010	319996	5	0	0	0.0	0.000	2	0	36	0	0	0	1.00
fill16_warm	product_fill_serial	off	warm	sweep	16384	16384	1	1	2	1	256	2060	2804	3533	2591	646049	396255	5	0	0	0.0	0.000	2	0	40	0	0	0	1.00
fill16_warm	product_fill_serial	off	warm	sweep	16384	16384	1	1	3	0	256	2024	2723	3672	4816	807788	316915	5	0	0	0.0	0.000	2	0	0	0	0	0	1.00
fill16_warm	product_fill	off	warm	sweep	16384	16384	1	1	3	1	256	1662	2094	2442	2181	513595	498447	5	0	0	0.0	0.000	2	0	0	0	0	0	1.00
fill16_warm	product_fill	off	warm	sweep	16384	16384	1	1	4	0	256	1838	2488	2907	2297	561301	456083	5	0	0	0.0	0.000	2	0	0	0	0	0	1.00
fill16_warm	product_fill_serial	off	warm	sweep	16384	16384	1	1	4	1	256	1651	2108	2461	2448	797778	320891	5	0	0	0.0	0.000	2	0	4	0	0	0	1.00
fill16_warm	product_fill_serial	off	warm	sweep	16384	16384	1	1	5	0	256	1515	1913	2152	2086	464675	550923	5	0	0	0.0	0.000	2	0	0	0	0	0	1.00
fill16_warm	product_fill	off	warm	sweep	16384	16384	1	1	5	1	256	1467	1769	1993	1892	446217	573712	5	0	0	0.0	0.000	2	0	0	0	0	0	1.00
fill16_warm	product_fill	off	warm	sweep	16384	16384	1	1	6	0	256	1530	1850	2240	1964	478891	534568	5	0	0	0.0	0.000	2	0	0	0	0	0	1.00
fill16_warm	product_fill_serial	off	warm	sweep	16384	16384	1	1	6	1	256	1468	1761	2109	1918	447846	571625	5	0	0	0.0	0.000	2	0	0	0	0	0	1.00
fill16_warm	product_fill_serial	off	warm	sweep	16384	16384	1	1	7	0	256	1371	1666	1966	1852	423356	604692	5	0	0	0.0	0.000	2	0	0	0	0	0	1.00
fill16_warm	product_fill	off	warm	sweep	16384	16384	1	1	7	1	256	1442	1664	1872	1777	434393	589328	5	0	0	0.0	0.000	2	0	0	0	0	0	1.00
fill16_warm	product_fill	off	warm	sweep	16384	16384	1	1	8	0	256	1422	1605	1820	1837	438689	583557	5	0	0	0.0	0.000	2	0	0	0	0	0	1.00
fill16_warm	product_fill_serial	off	warm	sweep	16384	16384	1	1	8	1	256	1346	1537	1700	1738	418032	612393	5	0	0	0.0	0.000	2	0	0	0	0	0	1.00
fill16_warm	product_fill_serial	off	warm	sweep	16384	16384	1	1	9	0	256	1284	1483	1691	1664	388527	658899	5	0	0	0.0	0.000	2	0	0	0	0	0	1.00
fill16_warm	product_fill	off	warm	sweep	16384	16384	1	1	9	1	256	1395	1587	1861	1828	422828	605447	5	0	0	0.0	0.000	2	0	0	0	0	0	1.00
fill16_warm	product_fill	off	warm	sweep	16384	16384	1	1	10	0	256	1308	1506	1796	1740	405929	630652	5	0	0	0.0	0.000	2	0	0	0	0	0	1.00
fill16_warm	product_fill_serial	off	warm	sweep	16384	16384	1	1	10	1	256	1273	1472	1659	1668	394140	649515	5	0	0	0.0	0.000	2	0	0	0	0	0	1.00
fill16_warm	product_fill_serial	off	warm	sweep	16384	16384	1	1	11	0	256	1365	1540	1720	1766	412719	620277	5	0	0	0.0	0.000	2	0	0	0	0	0	1.00
fill16_warm	product_fill	off	warm	sweep	16384	16384	1	1	11	1	256	1380	1564	1736	1703	418876	611159	5	0	0	0.0	0.000	2	0	0	0	0	0	1.00
fill16_pool	product_fill	off	warm	sweep	16384	16384	1	1	0	0	256	8819	11939	17340	13880	1985670	128924	10	0	0	100.0	0.000	2	2	380	0	0	0	1.00
fill16_pool	product_fill_serial	off	warm	sweep	16384	16384	1	1	0	1	256	12867	13410	19550	15283	3501616	73109	6	0	0	100.0	0.000	2	1	52	0	0	0	1.00
fill16_pool	product_fill_serial	off	warm	sweep	16384	16384	1	1	1	0	256	12908	13375	14308	14811	3418142	74894	6	0	0	100.0	0.000	2	1	48	0	0	0	1.00
fill16_pool	product_fill	off	warm	sweep	16384	16384	1	1	1	1	256	5136	14817	45235	13869	2388626	107175	9	0	0	100.0	0.000	2	2	36	0	0	0	1.00
fill16_pool	product_fill	off	warm	sweep	16384	16384	1	1	2	0	256	8553	14556	29675	13831	2214517	115601	10	0	0	100.0	0.000	2	2	40	0	0	0	1.00
fill16_pool	product_fill_serial	off	warm	sweep	16384	16384	1	1	2	1	256	14853	20997	22651	18648	4348085	58876	6	0	0	100.0	0.000	2	1	8	0	0	0	1.00
fill16_pool	product_fill_serial	off	warm	sweep	16384	16384	1	1	3	0	256	12816	13491	14611	15179	3504741	73044	6	0	0	100.0	0.000	2	1	36	0	0	0	1.00
fill16_pool	product_fill	off	warm	sweep	16384	16384	1	1	3	1	256	3809	17315	34978	14672	2335879	109595	12	0	0	100.0	0.000	2	2	60	0	0	0	1.00
fill16_pool	product_fill	off	warm	sweep	16384	16384	1	1	4	0	256	6723	16753	39763	14777	2371500	107949	11	0	0	100.0	0.000	2	2	24	0	0	0	1.00
fill16_pool	product_fill_serial	off	warm	sweep	16384	16384	1	1	4	1	256	15532	21777	23863	19053	4636147	55218	6	0	0	100.0	0.000	2	1	36	0	0	0	1.00
fill16_pool	product_fill_serial	off	warm	sweep	16384	16384	1	1	5	0	256	14765	19572	24151	18319	4287905	59703	6	0	0	100.0	0.000	2	1	12	0	0	0	1.00
fill16_pool	product_fill	off	warm	sweep	16384	16384	1	1	5	1	256	8959	14564	25385	13825	2183855	117224	9	0	0	100.0	0.000	2	2	0	0	0	0	1.00
fill16_pool	product_fill	off	warm	sweep	16384	16384	1	1	6	0	256	10517	12303	14453	11467	1874465	136572	7	0	0	100.0	0.000	2	2	0	0	0	0	1.00
fill16_pool	product_fill_serial	off	warm	sweep	16384	16384	1	1	6	1	256	13153	13636	16054	15238	3568058	71748	6	0	0	100.0	0.000	2	1	36	0	0	0	1.00
fill16_pool	product_fill_serial	off	warm	sweep	16384	16384	1	1	7	0	256	12909	13677	20638	15254	3468924	73798	6	0	0	100.0	0.000	2	1	0	0	0	0	1.00
