label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct
warm16_d1_r0	before	off	warm	sweep	16384	16384	1	1	0	0	256	2218	2897	5091	4115	904084	283160	5	0	0	0.0	0.000
cold16_d1_r0	before	off	cold	stride	16384	250000	1	1	0	0	256	55281	78777	133812	45166	16220059	15783	5	0	0	99.2	0.000
cold16_dW_r0	before	off	cold	stride	16384	250000	4	1	0	0	256	146957	233818	309381	68413	10487414	24410	5	0	0	98.8	0.000
seq1g_d1_r0	before	off	cold	sweep	16384	16384	1	1	0	0	256	2454	3014	46520	5389	2910291	87964	5	0	0	0.8	0.000
warm16_d1_r0	after	off	warm	sweep	16384	16384	1	1	0	0	256	2132	2643	3441	3526	767685	333470	5	0	0	0.0	0.000
cold16_d1_r0	after	off	cold	stride	16384	250000	1	1	0	0	256	74656	92472	156467	47818	19696911	12997	5	0	0	99.6	0.000
cold16_dW_r0	after	off	cold	stride	16384	250000	4	1	0	0	256	145833	232102	330261	67290	10536279	24297	5	0	0	98.8	0.000
seq1g_d1_r0	after	off	cold	sweep	16384	16384	1	1	0	0	256	2310	3209	47994	5197	2717952	94189	5	0	0	0.8	0.000
warm16_d1_r1	after	off	warm	sweep	16384	16384	1	1	0	0	256	2169	2634	6525	3558	766266	334088	5	0	0	0.0	0.000
cold16_d1_r1	after	off	cold	stride	16384	250000	1	1	0	0	256	69863	88581	133629	46331	19549380	13095	5	0	0	99.6	0.000
cold16_dW_r1	after	off	cold	stride	16384	250000	4	1	0	0	256	141250	220766	343967	66000	10106158	25331	5	0	0	98.8	0.000
seq1g_d1_r1	after	off	cold	sweep	16384	16384	1	1	0	0	256	2315	2793	51594	5859	2634448	97174	5	0	0	0.8	0.000
warm16_d1_r1	before	off	warm	sweep	16384	16384	1	1	0	0	256	1657	2105	2538	4566	686803	372742	5	0	0	0.0	0.000
cold16_d1_r1	before	off	cold	stride	16384	250000	1	1	0	0	256	75086	93186	163503	47156	20906091	12245	5	0	0	99.6	0.000
cold16_dW_r1	before	off	cold	stride	16384	250000	4	1	0	0	256	152170	227333	320311	66849	10784777	23737	5	0	0	99.2	0.000
seq1g_d1_r1	before	off	cold	sweep	16384	16384	1	1	0	0	256	1853	2592	80044	6608	3589796	71313	5	0	0	0.8	0.000
warm16_d1_r2	before	off	warm	sweep	16384	16384	1	1	0	0	256	2200	2675	7060	3637	766589	333947	5	0	0	0.0	0.000
cold16_d1_r2	before	off	cold	stride	16384	250000	1	1	0	0	256	66106	76507	138599	44602	18285661	14000	5	0	0	99.2	0.000
cold16_dW_r2	before	off	cold	stride	16384	250000	4	1	0	0	256	146308	224825	301685	64903	10374039	24677	5	0	0	98.8	0.000
seq1g_d1_r2	before	off	cold	sweep	16384	16384	1	1	0	0	256	1948	2560	47432	5042	2213166	115671	5	0	0	0.8	0.000
warm16_d1_r2	after	off	warm	sweep	16384	16384	1	1	0	0	256	2171	2606	4726	3563	802196	319124	5	0	0	0.0	0.000
cold16_d1_r2	after	off	cold	stride	16384	250000	1	1	0	0	256	55011	72973	115625	43735	15741599	16263	5	0	0	99.2	0.000
cold16_dW_r2	after	off	cold	stride	16384	250000	4	1	0	0	256	148650	218338	309291	67667	10453551	24489	5	0	0	99.2	0.000
seq1g_d1_r2	after	off	cold	sweep	16384	16384	1	1	0	0	256	2343	2946	51869	5598	2633884	97195	5	0	0	0.8	0.000
warm16_d1_r3	after	off	warm	sweep	16384	16384	1	1	0	0	256	1853	2227	2724	2939	655316	390651	5	0	0	0.0	0.000
cold16_d1_r3	after	off	cold	stride	16384	250000	1	1	0	0	256	65424	78936	129226	43982	18083707	14156	5	0	0	99.6	0.000
cold16_dW_r3	after	off	cold	stride	16384	250000	4	1	0	0	256	140157	241566	330750	64560	10451188	24495	5	0	0	99.6	0.000
seq1g_d1_r3	after	off	cold	sweep	16384	16384	1	1	0	0	256	1944	2959	65174	5231	2277545	112402	5	0	0	0.8	0.000
warm16_d1_r3	before	off	warm	sweep	16384	16384	1	1	0	0	256	2136	2525	3235	3489	743283	344418	5	0	0	0.0	0.000
cold16_d1_r3	before	off	cold	stride	16384	250000	1	1	0	0	256	79608	112470	169430	51013	22751180	11252	5	0	0	99.6	0.000
cold16_dW_r3	before	off	cold	stride	16384	250000	4	1	0	0	256	174496	273202	384681	80390	12334739	20754	5	0	0	98.0	0.000
seq1g_d1_r3	before	off	cold	sweep	16384	16384	1	1	0	0	256	2180	2731	52348	5379	2678110	95590	5	0	0	0.8	0.000
warm16_d1_r4	before	off	warm	sweep	16384	16384	1	1	0	0	256	2211	2671	3115	3749	847173	302181	5	0	0	0.0	0.000
cold16_d1_r4	before	off	cold	stride	16384	250000	1	1	0	0	256	65875	80143	120379	42218	18076761	14162	5	0	0	99.6	0.000
cold16_dW_r4	before	off	cold	stride	16384	250000	4	1	0	0	256	164802	252543	384830	74135	11671840	21933	5	0	0	99.6	0.000
seq1g_d1_r4	before	off	cold	sweep	16384	16384	1	1	0	0	256	2150	2658	93581	7321	3119066	82076	5	0	0	0.8	0.000
warm16_d1_r4	after	off	warm	sweep	16384	16384	1	1	0	0	256	1921	2525	14080	5089	734972	348313	5	0	0	0.0	0.000
cold16_d1_r4	after	off	cold	stride	16384	250000	1	1	0	0	256	70576	100872	186352	56314	20485176	12497	5	0	0	99.2	0.000
cold16_dW_r4	after	off	cold	stride	16384	250000	4	1	0	0	256	182477	261108	353178	70417	12758390	20065	5	0	0	99.6	0.000
seq1g_d1_r4	after	off	cold	sweep	16384	16384	1	1	0	0	256	2696	4458	48229	6441	2832944	90365	5	0	0	0.8	0.000
warm16_d1_r5	after	off	warm	sweep	16384	16384	1	1	0	0	256	1628	2059	2416	2993	580425	441056	5	0	0	0.0	0.000
cold16_d1_r5	after	off	cold	stride	16384	250000	1	1	0	0	256	93849	115711	170970	51697	24731830	10351	5	0	0	99.6	0.000
cold16_dW_r5	after	off	cold	stride	16384	250000	4	1	0	0	256	186380	268727	370901	74390	12954857	19761	5	0	0	99.2	0.000
seq1g_d1_r5	after	off	cold	sweep	16384	16384	1	1	0	0	256	2351	4368	81809	7163	3717272	68868	5	0	0	0.8	0.000
warm16_d1_r5	before	off	warm	sweep	16384	16384	1	1	0	0	256	1630	2130	7457	3858	747165	342628	5	0	0	0.0	0.000
cold16_d1_r5	before	off	cold	stride	16384	250000	1	1	0	0	256	67883	90735	196985	51999	19175252	13351	5	0	0	99.2	0.000
cold16_dW_r5	before	off	cold	stride	16384	250000	4	1	0	0	256	158794	240852	331753	72064	11084739	23095	5	0	0	98.8	0.000
