label	arm	temp	mode	depth	asks	p50_ns	p90_ns	p99_ns	wall_ns	asks_per_s	cpu_ns_per_ask	rss_kib	miss_pct
cold_d1_r0	before	cold	on-demand	1	256	351944	427436	519308	95536918	2680	359440	712	0.99609375
cold_d2_r0	before	cold	on-demand	2	256	431251	703994	2408744	74037167	3458	275234	264	0.984375
cold_d4_r0	before	cold	on-demand	4	256	694386	886705	1037637	47366867	5405	271894	148	0.984375
warm_d1_r0	before	warm	on-demand	1	256	218738	282336	400982	61462523	4165	240117	0	0.0
warm_d4_r0	before	warm	on-demand	4	256	362010	557519	680918	26288893	9738	125737	40	0.0
fill_r0	before	cold	fill	1	256	20942	131046	705061	18853549	13578	82861	1696	0.012618296529968454
cold_d1_r0	after	cold	on-demand	1	256	319719	391989	434264	85878330	2981	354721	640	1.0
cold_d2_r0	after	cold	on-demand	2	256	346047	465152	623724	49058221	5218	233656	268	0.9921875
cold_d4_r0	after	cold	on-demand	4	256	657542	889743	1114355	46164372	5545	232538	272	0.99609375
warm_d1_r0	after	warm	on-demand	1	256	216495	272588	321183	59590204	4296	272077	28	0.0
warm_d4_r0	after	warm	on-demand	4	256	363671	541960	868283	26911124	9513	131872	100	0.0
fill_r0	after	cold	fill	1	256	19667	139197	731301	18674500	13709	81528	1968	0.015060240963855422
cold_d1_r1	after	cold	on-demand	1	256	301956	377409	448271	82961595	3086	307459	8	1.0
cold_d2_r1	after	cold	on-demand	2	256	390102	550233	688610	55411297	4620	250170	8	0.98828125
cold_d4_r1	after	cold	on-demand	4	256	610256	784249	1005510	42659301	6001	188158	8	1.0
warm_d1_r1	after	warm	on-demand	1	256	230731	300574	363210	63728417	4017	216992	0	0.0
warm_d4_r1	after	warm	on-demand	4	256	344750	463178	658740	24746357	10345	115800	36	0.0
fill_r1	after	cold	fill	1	256	38545	152060	734179	21899434	11690	99539	1700	0.01644736842105263
cold_d1_r1	before	cold	on-demand	1	256	307080	384904	468386	83869202	3052	297029	32	1.0
cold_d2_r1	before	cold	on-demand	2	256	427423	590035	792123	59663950	4291	237173	0	0.9921875
cold_d4_r1	before	cold	on-demand	4	256	683121	863150	1061355	46825470	5467	251770	8	0.99609375
warm_d1_r1	before	warm	on-demand	1	256	209765	316056	733614	65234742	3924	227229	0	0.0
warm_d4_r1	before	warm	on-demand	4	256	383444	629600	788664	29029031	8819	129150	84	0.0
fill_r1	before	cold	fill	1	256	31769	180481	746314	25236678	10144	118150	1528	0.010452961672473868
cold_d1_r2	before	cold	on-demand	1	256	272922	351765	435334	75982749	3369	282745	8	0.9921875
cold_d2_r2	before	cold	on-demand	2	256	362294	488430	639571	50475662	5072	228662	8	0.984375
cold_d4_r2	before	cold	on-demand	4	256	638085	822135	1051905	45440394	5634	249265	8	1.0
warm_d1_r2	before	warm	on-demand	1	256	199234	266379	313088	56723714	4513	203871	0	0.0
warm_d4_r2	before	warm	on-demand	4	256	366849	562545	762571	27007009	9479	131085	0	0.0
fill_r2	before	cold	fill	1	256	35493	142569	396655	19551449	13094	79071	1744	0.016722408026755852
