label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct
run1_A_stride	pool	off	cold	stride	16384	250000	1	1	0	0	512	100755	180821	397591	86785	57785436	8860	6	0	0	87.9	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	1	1	0	1	512	69147	87968	393095	35975	38817946	13190	5	0	0	100.0	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	1	1	0	2	512	67247	85409	150621	36927	35970542	14234	5	0	0	87.5	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	1	1	0	3	512	121049	150433	366996	87870	65238524	7848	6	0	0	100.0	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	1	1	1	0	512	76264	88517	477771	38720	42129627	12153	5	0	0	100.0	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	1	1	1	1	512	79399	99500	241314	43379	42994961	11908	5	0	0	87.9	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	1	1	1	2	512	115880	144432	246961	86071	62579295	8182	6	0	0	100.0	0.000
run1_A_stride	pool	off	cold	stride	16384	250000	1	1	1	3	512	92920	117804	556798	79092	49747973	10292	6	0	0	87.9	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	1	1	2	0	512	66986	83323	608380	36926	36393935	14068	5	0	0	87.9	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	1	1	2	1	512	110898	137041	247352	84754	60589598	8450	6	0	0	100.0	0.000
run1_A_stride	pool	off	cold	stride	16384	250000	1	1	2	2	512	91986	114972	492519	75694	49772877	10287	6	0	0	87.7	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	1	1	2	3	512	69549	85719	742095	34978	38787899	13200	5	0	0	100.0	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	1	1	3	0	512	107796	131754	204002	80167	58563424	8743	6	0	0	100.0	0.000
run1_A_stride	pool	off	cold	stride	16384	250000	1	1	3	1	512	93065	116892	787009	75947	49861211	10269	6	0	0	88.3	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	1	1	3	2	512	65138	84722	168198	34941	36521725	14019	5	0	0	100.0	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	1	1	3	3	512	64635	85938	711229	38192	36695465	13953	5	0	0	88.3	0.000
run1_A_stride	pool	off	cold	stride	16384	250000	1	1	4	0	512	111271	144103	313417	92273	56917741	8995	7	0	0	86.9	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	1	1	4	1	512	93178	116343	241093	42850	50900389	10059	5	0	0	100.0	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	1	1	4	2	512	83872	105141	513415	38798	45163640	11337	5	0	0	88.1	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	1	1	4	3	512	113234	161664	255866	82919	62110306	8243	7	0	0	100.0	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	1	1	5	0	512	70451	92858	186770	36428	39733462	12886	5	0	0	100.0	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	1	1	5	1	512	75413	97529	198754	36487	41225633	12419	5	0	0	87.3	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	1	1	5	2	512	119879	146363	212623	90817	62892306	8141	6	0	0	100.0	0.000
run1_A_stride	pool	off	cold	stride	16384	250000	1	1	5	3	512	112444	145370	684792	90553	61179602	8369	6	0	0	88.1	0.000
run1_A_stride	pool	off	cold	stride	16384	250000	2	1	0	0	512	132929	178163	945562	88304	37104631	13799	8	0	0	88.7	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	2	1	0	1	512	97129	115932	891590	30210	27585611	18560	5	0	0	100.0	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	2	1	0	2	512	71980	109345	923209	28835	26412261	19385	5	0	0	88.7	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	2	1	0	3	512	150146	179557	822870	87435	41606703	12306	9	0	0	100.0	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	2	1	1	0	512	85796	104247	905964	28070	24953678	20518	5	0	0	100.0	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	2	1	1	1	512	94472	117661	747763	27602	29436288	17393	5	0	0	88.7	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	2	1	1	2	512	148104	189229	835944	85180	41174079	12435	9	0	0	100.0	0.000
run1_A_stride	pool	off	cold	stride	16384	250000	2	1	1	3	512	148788	196571	905775	92554	40756166	12563	8	0	0	89.3	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	2	1	2	0	512	96182	128678	870285	30460	31109016	16458	5	0	0	88.5	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	2	1	2	1	512	147252	186789	791924	82068	41468681	12347	9	0	0	100.0	0.000
run1_A_stride	pool	off	cold	stride	16384	250000	2	1	2	2	512	127688	165720	952762	82837	35283797	14511	8	0	0	88.5	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	2	1	2	3	512	96014	120621	837122	31116	27380725	18699	5	0	0	100.0	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	2	1	3	0	512	149321	196725	775113	83088	42550411	12033	8	0	0	100.0	0.000
run1_A_stride	pool	off	cold	stride	16384	250000	2	1	3	1	512	135255	188597	965438	93480	38482046	13305	8	0	0	88.9	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	2	1	3	2	512	100017	122177	870162	27245	29450131	17385	5	0	0	100.0	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	2	1	3	3	512	81933	117973	828163	28051	28841108	17752	5	0	0	88.3	0.000
run1_A_stride	pool	off	cold	stride	16384	250000	2	1	4	0	512	131660	165617	911592	83675	36232490	14131	9	0	0	89.3	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	2	1	4	1	512	102080	126779	846774	28684	29960908	17089	5	0	0	100.0	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	2	1	4	2	512	72879	109674	887361	28638	26677318	19192	5	0	0	88.7	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	2	1	4	3	512	150050	205571	771851	87106	42437860	12065	9	0	0	100.0	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	2	1	5	0	512	83897	104774	878559	24336	25824543	19826	5	0	0	100.0	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	2	1	5	1	512	76854	107483	624361	32918	25332911	20211	5	0	0	88.1	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	2	1	5	2	512	139607	185788	724662	80040	39376628	13003	9	0	0	100.0	0.000
run1_A_stride	pool	off	cold	stride	16384	250000	2	1	5	3	512	125223	169862	905686	82629	35249914	14525	10	0	0	89.3	0.000
run1_A_stride	pool	off	cold	stride	16384	250000	4	1	0	0	512	178651	262922	931635	75188	26549957	19284	12	0	0	91.2	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	4	1	0	1	512	131795	168870	840443	15531	20618122	24833	5	0	0	100.0	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	4	1	0	2	512	106224	169026	804895	26420	22421114	22836	5	0	0	91.0	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	4	1	0	3	512	172061	260672	851871	69834	25830557	19821	14	0	0	100.0	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	4	1	1	0	512	123191	169422	947982	15437	19717955	25966	5	0	0	100.0	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	4	1	1	1	512	106752	149064	222720	24069	20307641	25212	5	0	0	87.7	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	4	1	1	2	512	166228	263639	841352	71408	25383018	20171	18	0	0	100.0	0.000
run1_A_stride	pool	off	cold	stride	16384	250000	4	1	1	3	512	207215	728272	3330082	93063	43473800	11777	13	0	0	90.6	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	4	1	2	0	512	96242	155338	907098	26310	21286066	24053	5	0	0	89.8	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	4	1	2	1	512	177997	262731	883467	77516	26668441	19199	15	0	0	100.0	0.000
run1_A_stride	pool	off	cold	stride	16384	250000	4	1	2	2	512	163655	241944	891087	72608	24206431	21151	13	0	0	91.6	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	4	1	2	3	512	191072	234747	1031103	20412	27899125	18352	5	0	0	100.0	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	4	1	3	0	512	163174	251907	1047560	74828	25490422	20086	16	0	0	100.0	0.000
run1_A_stride	pool	off	cold	stride	16384	250000	4	1	3	1	512	158186	248314	1085215	71698	24145116	21205	13	0	0	91.0	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	4	1	3	2	512	158574	212856	915878	19195	23729506	21577	5	0	0	100.0	0.000
