# crossover_bench · lab/fixtures/frames_16k_big/frames_16k_big.sbnd · asks=256 size=16384 stride=250000 repeats=6
arm	warm_frac	depth	repeat	miss_pct	p50_ns	p99_ns	cpu_ns_per_ask	asks_per_s
pool	0	1	0	100.0	116111	207894	106099	8313
uring	0	1	0	100.0	110010	171650	98134	8438
hybrid	0	1	0	99.6	126040	199641	102044	7513
uring	0	1	1	100.0	126289	204511	101536	7390
hybrid	0	1	1	100.0	132314	211192	111079	7140
pool	0	1	1	99.6	116254	175475	96759	8412
hybrid	0	1	2	100.0	130636	214412	94019	7327
pool	0	1	2	100.0	116517	179759	108529	8270
uring	0	1	2	100.0	116339	187858	92546	8030
pool	0	1	3	100.0	121050	207801	102565	7859
uring	0	1	3	100.0	117492	197754	93107	8086
hybrid	0	1	3	100.0	114695	176718	90929	8281
uring	0	1	4	100.0	119103	227385	96958	7464
hybrid	0	1	4	100.0	133554	270096	106461	6863
pool	0	1	4	100.0	110656	171899	106919	8586
hybrid	0	1	5	100.0	158981	263303	125710	6009
pool	0	1	5	100.0	108561	192204	107659	8781
uring	0	1	5	100.0	114884	176779	89651	8191
pool	0	8	0	99.6	246977	926040	83118	27112
uring	0	8	0	100.0	325630	558961	25175	23133
hybrid	0	8	0	100.0	227962	391636	26636	26775
uring	0	8	1	100.0	327405	581492	25681	22687
hybrid	0	8	1	100.0	226473	442558	25612	27489
pool	0	8	1	100.0	256236	992149	93745	25510
hybrid	0	8	2	100.0	197381	429448	26423	30280
pool	0	8	2	99.2	266589	628178	80874	27151
uring	0	8	2	100.0	345813	599128	25749	21690
pool	0	8	3	100.0	240089	636010	82683	28668
uring	0	8	3	100.0	425192	1077867	30199	17471
hybrid	0	8	3	100.0	252312	445469	28446	24597
uring	0	8	4	100.0	359844	618424	24582	21171
hybrid	0	8	4	100.0	260917	382124	30337	24210
pool	0	8	4	100.0	283202	832785	91473	25293
hybrid	0	8	5	100.0	267388	427740	30280	23269
pool	0	8	5	100.0	266694	520013	77331	27982
uring	0	8	5	100.0	357401	644760	28575	20657
pool	0.5	1	0	52.3	100752	156625	53499	16393
uring	0.5	1	0	100.0	116263	199914	65632	12457
hybrid	0.5	1	0	52.3	114370	164832	51683	14493
uring	0.5	1	1	100.0	103311	193683	67100	12456
hybrid	0.5	1	1	50.0	114383	191385	54237	14483
pool	0.5	1	1	50.0	109529	192984	64112	13736
hybrid	0.5	1	2	51.2	109290	165059	58286	15154
pool	0.5	1	2	52.0	107878	177234	60447	14678
uring	0.5	1	2	100.0	125332	193508	75417	11108
pool	0.5	1	3	51.6	123574	200246	65707	12329
uring	0.5	1	3	100.0	121126	182905	78733	11813
hybrid	0.5	1	3	51.6	114144	202818	52796	13545
uring	0.5	1	4	100.0	31157	362172	67342	11764
hybrid	0.5	1	4	49.2	10064	186901	55949	13911
pool	0.5	1	4	48.8	15310	162512	67263	15134
hybrid	0.5	1	5	45.7	10112	185605	53297	14828
pool	0.5	1	5	45.3	13711	145807	55646	17355
uring	0.5	1	5	100.0	33743	279232	75842	11121
pool	0.5	8	0	52.3	127492	565166	57551	45633
uring	0.5	8	0	100.0	134797	349828	24920	45123
hybrid	0.5	8	0	52.0	91127	226870	24584	41979
uring	0.5	8	1	100.0	163177	410655	23419	41054
hybrid	0.5	8	1	50.0	74118	306790	24679	35932
pool	0.5	8	1	50.0	128179	695331	49175	47766
hybrid	0.5	8	2	52.0	102606	298181	25935	36635
pool	0.5	8	2	52.0	178578	703996	54731	37296
uring	0.5	8	2	100.0	191637	393200	24481	39706
pool	0.5	8	3	51.6	152961	556496	46911	45303
uring	0.5	8	3	100.0	158611	364018	20868	46134
hybrid	0.5	8	3	51.6	65092	249247	23245	45437
uring	0.5	8	4	100.0	131553	344509	20511	50791
hybrid	0.5	8	4	49.2	21004	256994	25190	43487
pool	0.5	8	4	48.8	89359	1623471	45432	29113
hybrid	0.5	8	5	45.7	8962	331970	25525	33017
pool	0.5	8	5	44.9	36544	978999	58416	43875
uring	0.5	8	5	100.0	122478	386668	22660	48530
pool	0.8	1	0	25.4	5761	166627	32996	27583
uring	0.8	1	0	100.0	18385	161151	45091	21114
hybrid	0.8	1	0	26.2	5127	175901	32196	24163
uring	0.8	1	1	100.0	19695	190461	48171	18554
hybrid	0.8	1	1	25.0	4848	161264	30739	27469
pool	0.8	1	1	25.0	5797	190929	31306	27499
hybrid	0.8	1	2	21.9	4661	139804	25934	32687
pool	0.8	1	2	21.9	6023	147007	28119	34034
uring	0.8	1	2	100.0	16914	169701	37552	24328
pool	0.8	1	3	17.6	4435	163555	24190	36705
uring	0.8	1	3	100.0	24259	206725	51531	19215
hybrid	0.8	1	3	17.6	4837	173222	22933	35074
uring	0.8	1	4	100.0	16114	183664	33225	28617
hybrid	0.8	1	4	15.6	3612	143683	20561	40625
pool	0.8	1	4	15.6	3984	153567	19888	45583
hybrid	0.8	1	5	19.5	4217	181149	25444	31415
pool	0.8	1	5	19.5	3912	123301	23658	40627
uring	0.8	1	5	100.0	18611	157700	41810	23931
pool	0.8	8	0	26.2	7284	649493	38503	76510
uring	0.8	8	0	100.0	113153	363026	21375	54366
hybrid	0.8	8	0	26.2	5418	220525	22569	49001
uring	0.8	8	1	100.0	105871	313784	19160	60211
hybrid	0.8	8	1	25.0	5165	214350	17962	60673
pool	0.8	8	1	25.0	5672	647906	31080	87466
hybrid	0.8	8	2	21.9	4619	175128	16405	62068
pool	0.8	8	2	21.9	6035	618111	32331	91198
uring	0.8	8	2	100.0	113824	419420	20817	51938
pool	0.8	8	3	17.6	6151	617310	24742	109822
uring	0.8	8	3	100.0	83256	234739	16467	75094
hybrid	0.8	8	3	17.6	4949	176635	16830	61294
uring	0.8	8	4	100.0	77175	244084	15839	75791
hybrid	0.8	8	4	15.6	4835	167597	15758	62072
pool	0.8	8	4	15.6	6952	552149	27781	118393
hybrid	0.8	8	5	19.5	5446	220087	18883	55932
pool	0.8	8	5	19.5	7126	623609	32711	98950
uring	0.8	8	5	100.0	91307	310296	19872	62318
pool	0.9	1	0	11.7	4343	160848	21772	46810
uring	0.9	1	0	100.0	18266	182810	35326	27027
hybrid	0.9	1	0	12.1	4769	198052	19957	40721
uring	0.9	1	1	100.0	21430	189699	40255	25940
hybrid	0.9	1	1	10.9	5113	259679	21667	33742
pool	0.9	1	1	10.9	6054	177235	22428	42822
hybrid	0.9	1	2	10.9	5384	171031	20739	45797
pool	0.9	1	2	11.3	6805	228316	22592	41320
uring	0.9	1	2	100.0	21110	195930	38705	27022
pool	0.9	1	3	8.6	6803	163693	19797	48515
uring	0.9	1	3	100.0	22508	194304	41465	26495
hybrid	0.9	1	3	8.6	5832	239178	20861	39216
uring	0.9	1	4	100.0	18975	158499	30313	35633
hybrid	0.9	1	4	5.9	5331	218035	14637	56583
pool	0.9	1	4	5.9	6416	169287	19211	57088
hybrid	0.9	1	5	8.2	5564	191718	17768	51883
pool	0.9	1	5	8.2	6414	172826	18938	52390
uring	0.9	1	5	100.0	22080	160994	37792	30492
pool	0.9	8	0	12.1	7380	442685	24468	138675
uring	0.9	8	0	100.0	77047	240609	14037	85746
hybrid	0.9	8	0	12.1	4610	165610	15825	66515
uring	0.9	8	1	100.0	94008	288337	17931	64431
hybrid	0.9	8	1	10.9	5990	207882	17796	56516
pool	0.9	8	1	10.9	5879	505500	22885	151307
hybrid	0.9	8	2	11.3	4652	170045	15490	68242
pool	0.9	8	2	11.3	7050	606833	22135	147560
uring	0.9	8	2	100.0	94703	303434	16534	65690
pool	0.9	8	3	8.6	6497	340257	18617	216481
uring	0.9	8	3	100.0	87043	275135	16992	73593
hybrid	0.9	8	3	8.6	4524	161340	13182	84617
uring	0.9	8	4	100.0	72861	228492	13760	88712
hybrid	0.9	8	4	5.9	4547	202058	13981	77689
pool	0.9	8	4	5.9	6049	579629	18917	176034
hybrid	0.9	8	5	8.2	4691	179174	12553	74682
pool	0.9	8	5	8.2	5503	470912	19128	183745
uring	0.9	8	5	100.0	89157	257738	17835	69791
pool	0.95	1	0	6.2	6175	176431	15531	60672
uring	0.95	1	0	100.0	19997	146581	32959	35348
hybrid	0.95	1	0	6.2	5335	159216	15237	64949
uring	0.95	1	1	100.0	19884	138433	29410	40490
hybrid	0.95	1	1	4.3	4990	162449	12332	77952
pool	0.95	1	1	4.3	6571	167811	15893	65725
hybrid	0.95	1	2	7.0	5233	152478	17230	61567
pool	0.95	1	2	7.0	4352	218845	17313	59196
uring	0.95	1	2	100.0	16832	126467	26942	43040
pool	0.95	1	3	3.1	4349	141554	10580	102362
uring	0.95	1	3	100.0	16966	140915	24508	48889
hybrid	0.95	1	3	3.1	3553	172839	9673	103199
uring	0.95	1	4	100.0	17237	168695	26412	41554
hybrid	0.95	1	4	4.3	3655	178566	11110	83763
pool	0.95	1	4	4.3	3581	173223	10083	86819
hybrid	0.95	1	5	3.5	3383	161357	9762	97513
pool	0.95	1	5	3.5	3975	181265	9562	93690
uring	0.95	1	5	100.0	17126	147518	24707	46228
pool	0.95	8	0	6.2	4743	271185	13874	267933
uring	0.95	8	0	100.0	66446	201034	12376	99446
hybrid	0.95	8	0	6.2	3855	157458	11565	88360
uring	0.95	8	1	100.0	48593	168253	9942	118259
hybrid	0.95	8	1	4.3	3070	146989	8752	111197
