# crossover_bench placement A/B · lab/fixtures/frames_16k_big/frames_16k_big.sbnd · asks=256 size=16384 stride=250000 repeats=6
# placement=inline reproduces the old harness (ring loop on the block_on calling thread); placement=spawned runs every arm on a runtime worker
placement	arm	warm_frac	depth	repeat	miss_pct	p50_ns	p99_ns	cpu_ns_per_ask	asks_per_s
inline	pool	0	1	0	100.0	108226	194892	93109	8663
inline	uring	0	1	0	100.0	122140	198818	94923	7570
inline	hybrid	0	1	0	100.0	130628	270364	106249	7061
inline	uring	0	1	1	100.0	128142	285738	100189	7100
inline	hybrid	0	1	1	100.0	122210	174634	95522	7785
inline	pool	0	1	1	100.0	126439	171827	94656	7590
inline	hybrid	0	1	2	100.0	132261	207422	96292	7334
inline	pool	0	1	2	100.0	107645	164477	93760	8694
inline	uring	0	1	2	100.0	116396	194571	94050	8030
inline	pool	0	1	3	100.0	98480	173543	92301	9468
inline	uring	0	1	3	100.0	121189	186313	91186	7781
inline	hybrid	0	1	3	100.0	123269	188945	93950	7651
inline	uring	0	1	4	100.0	135472	231067	106113	7023
inline	hybrid	0	1	4	99.6	126534	210229	98509	7097
inline	pool	0	1	4	99.6	103180	183802	109846	9018
inline	hybrid	0	1	5	100.0	122453	206444	95302	7622
inline	pool	0	1	5	100.0	103121	176624	98466	9064
inline	uring	0	1	5	100.0	97442	157731	88317	9715
inline	pool	0	8	0	100.0	252376	620125	74437	28937
inline	uring	0	8	0	100.0	286189	575425	22995	25630
inline	hybrid	0	8	0	100.0	206361	380406	25451	29668
inline	uring	0	8	1	100.0	293022	622942	22082	24240
inline	hybrid	0	8	1	100.0	189448	394221	23200	31017
inline	pool	0	8	1	100.0	253896	662345	67874	28225
inline	hybrid	0	8	2	100.0	206798	381888	23699	28831
inline	pool	0	8	2	100.0	224480	444291	62537	33006
inline	uring	0	8	2	100.0	355132	641685	26393	21312
inline	pool	0	8	3	100.0	232218	475047	60471	31405
inline	uring	0	8	3	100.0	366879	658430	26959	20956
inline	hybrid	0	8	3	100.0	262202	456441	28688	24008
inline	uring	0	8	4	100.0	417008	689944	29336	18030
inline	hybrid	0	8	4	100.0	243887	492003	26063	25070
inline	pool	0	8	4	100.0	262474	1326013	91119	23327
inline	hybrid	0	8	5	100.0	241966	451914	26651	25293
inline	pool	0	8	5	100.0	299143	908604	99066	22049
inline	uring	0	8	5	100.0	369898	620937	27237	20001
inline	pool	0.9	1	0	12.1	5957	136204	20453	47491
inline	uring	0.9	1	0	100.0	20690	179640	39608	26704
inline	hybrid	0.9	1	0	12.1	5361	169371	19370	43155
inline	uring	0.9	1	1	100.0	20732	190340	38689	26568
inline	hybrid	0.9	1	1	10.9	4908	172180	18813	45295
inline	pool	0.9	1	1	10.9	5165	190451	23278	44326
inline	hybrid	0.9	1	2	11.3	4324	166558	17389	49830
inline	pool	0.9	1	2	10.9	5724	157196	19760	50367
inline	uring	0.9	1	2	100.0	19067	172159	35593	27445
inline	pool	0.9	1	3	8.6	6646	175705	19324	47062
inline	uring	0.9	1	3	100.0	19623	180192	34033	32142
inline	hybrid	0.9	1	3	8.6	5469	181988	15511	50168
inline	uring	0.9	1	4	100.0	18993	188385	30016	34145
inline	hybrid	0.9	1	4	5.9	5524	184631	14868	59174
inline	pool	0.9	1	4	5.9	5792	192972	15167	64400
inline	hybrid	0.9	1	5	7.8	5673	165399	16818	53395
inline	pool	0.9	1	5	8.2	6073	193423	20730	51046
inline	uring	0.9	1	5	100.0	20326	180726	34303	31421
inline	pool	0.9	8	0	12.1	6398	422645	17544	159255
inline	uring	0.9	8	0	100.0	101466	273510	16933	67724
inline	hybrid	0.9	8	0	12.1	5652	184597	15538	62593
inline	uring	0.9	8	1	100.0	87290	237807	15917	75519
inline	hybrid	0.9	8	1	10.9	5997	214223	15812	58486
inline	pool	0.9	8	1	10.9	7429	476003	21678	140819
inline	hybrid	0.9	8	2	11.3	6147	176608	16359	61766
inline	pool	0.9	8	2	11.3	7485	612320	25618	114267
inline	uring	0.9	8	2	100.0	89286	260889	17082	70848
inline	pool	0.9	8	3	8.6	4755	566695	19530	168417
inline	uring	0.9	8	3	100.0	73370	231904	14049	86864
inline	hybrid	0.9	8	3	8.6	4485	158956	13307	87330
inline	uring	0.9	8	4	100.0	65626	200242	13145	92603
inline	hybrid	0.9	8	4	5.9	4503	211950	12582	71026
