# v14 warm concurrency shape · frames_16k_big.sbnd · warm, monitors=0, 512 asks per reader, 6 repeats
# The same total reads in flight, held two ways: depth (ring slots inside one task) vs readers (independent sessions).
label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct
v14_warm_d	pool	off	warm	stride	16384	250000	1	1	0	0	512	3758	5567	9926	4883	2347765	218080	5	0	0	0.0	0.000
v14_warm_d	uring	off	warm	stride	16384	250000	1	1	0	1	512	16899	21359	41705	19713	8456189	60547	5	0	0	100.0	0.000
v14_warm_d	hybrid	off	warm	stride	16384	250000	1	1	0	2	512	2525	3049	4141	3368	1624665	315142	5	0	0	0.0	0.000
v14_warm_d	uring	off	warm	stride	16384	250000	1	1	1	0	512	16069	17396	36121	17359	7296046	70175	5	0	0	100.0	0.000
v14_warm_d	hybrid	off	warm	stride	16384	250000	1	1	1	1	512	2316	2802	3492	3113	1513696	338245	5	0	0	0.0	0.000
v14_warm_d	pool	off	warm	stride	16384	250000	1	1	1	2	512	2252	2685	3820	2939	1445104	354300	5	0	0	0.0	0.000
v14_warm_d	hybrid	off	warm	stride	16384	250000	1	1	2	0	512	2180	2628	3268	3057	1474622	347208	5	0	0	0.0	0.000
v14_warm_d	pool	off	warm	stride	16384	250000	1	1	2	1	512	2241	2656	3976	2878	1378213	371496	5	0	0	0.0	0.000
v14_warm_d	uring	off	warm	stride	16384	250000	1	1	2	2	512	15126	17799	30169	15174	6351156	80615	5	0	0	100.0	0.000
v14_warm_d	pool	off	warm	stride	16384	250000	1	1	3	0	512	2165	2593	3160	2740	1310924	390564	5	0	0	0.0	0.000
v14_warm_d	uring	off	warm	stride	16384	250000	1	1	3	1	512	15029	18948	35427	15499	6566270	77974	5	0	0	100.0	0.000
v14_warm_d	hybrid	off	warm	stride	16384	250000	1	1	3	2	512	2268	2648	3671	2944	1475340	347039	5	0	0	0.0	0.000
v14_warm_d	uring	off	warm	stride	16384	250000	1	1	4	0	512	14844	16710	25917	14957	6276203	81578	5	0	0	100.0	0.000
v14_warm_d	hybrid	off	warm	stride	16384	250000	1	1	4	1	512	2154	2582	3828	3148	1537158	333082	5	0	0	0.0	0.000
v14_warm_d	pool	off	warm	stride	16384	250000	1	1	4	2	512	2177	2598	4716	2803	1346421	380267	5	0	0	0.0	0.000
v14_warm_d	hybrid	off	warm	stride	16384	250000	1	1	5	0	512	2134	2532	3531	2975	1435570	356653	5	0	0	0.0	0.000
v14_warm_d	pool	off	warm	stride	16384	250000	1	1	5	1	512	2131	2514	3505	2764	1318106	388436	5	0	0	0.0	0.000
v14_warm_d	uring	off	warm	stride	16384	250000	1	1	5	2	512	14375	16635	26410	13538	5646564	90675	5	0	0	100.0	0.000
v14_warm_d	pool	off	warm	stride	16384	250000	4	1	0	0	512	2079	2474	3748	2598	1285400	398320	5	0	0	0.0	0.000
v14_warm_d	uring	off	warm	stride	16384	250000	4	1	0	1	512	22313	23898	43668	7220	3115834	164322	5	0	0	100.0	0.000
v14_warm_d	hybrid	off	warm	stride	16384	250000	4	1	0	2	512	2164	2556	3017	2863	1369755	373789	5	0	0	0.0	0.000
v14_warm_d	uring	off	warm	stride	16384	250000	4	1	1	0	512	21974	23351	45017	7106	3098182	165258	5	0	0	100.0	0.000
v14_warm_d	hybrid	off	warm	stride	16384	250000	4	1	1	1	512	2185	2498	3889	2981	1426076	359027	5	0	0	0.0	0.000
v14_warm_d	pool	off	warm	stride	16384	250000	4	1	1	2	512	2254	2571	2944	2818	735573	696056	5	0	0	0.0	0.000
v14_warm_d	hybrid	off	warm	stride	16384	250000	4	1	2	0	512	1984	2409	5304	2969	1450025	353097	5	0	0	0.0	0.000
v14_warm_d	pool	off	warm	stride	16384	250000	4	1	2	1	512	2351	2837	3650	2988	568608	900445	5	0	0	0.0	0.000
v14_warm_d	uring	off	warm	stride	16384	250000	4	1	2	2	512	22347	23836	45016	7066	3080030	166232	5	0	0	100.0	0.000
v14_warm_d	pool	off	warm	stride	16384	250000	4	1	3	0	512	2299	2685	4275	3110	578438	885142	5	0	0	0.0	0.000
v14_warm_d	uring	off	warm	stride	16384	250000	4	1	3	1	512	22156	24976	43026	7148	3195000	160250	5	0	0	100.0	0.000
v14_warm_d	hybrid	off	warm	stride	16384	250000	4	1	3	2	512	2214	2648	3428	3063	1475866	346915	5	0	0	0.0	0.000
v14_warm_d	uring	off	warm	stride	16384	250000	4	1	4	0	512	9562	11251	22151	3821	1757326	291352	5	0	0	100.0	0.000
v14_warm_d	hybrid	off	warm	stride	16384	250000	4	1	4	1	512	2111	2567	4535	2992	1462493	350087	5	0	0	0.0	0.000
v14_warm_d	pool	off	warm	stride	16384	250000	4	1	4	2	512	2319	2721	3617	3102	778174	657951	5	0	0	0.0	0.000
v14_warm_d	hybrid	off	warm	stride	16384	250000	4	1	5	0	512	2105	2562	2981	2938	1412815	362397	5	0	0	0.0	0.000
v14_warm_d	pool	off	warm	stride	16384	250000	4	1	5	1	512	2425	2812	4306	3180	502512	1018881	5	0	0	0.0	0.000
