label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct
v17_ra128_fm_r5	pool	off	cold	trace	250000	0	1	1	0	0	300	243370	380134	858437	182727	75988440	3948	6	0	0	61.7	0.000
v17_ra128_fm_r5	uring	off	cold	trace	250000	0	1	1	0	1	300	163289	229254	368668	81332	47609504	6301	5	0	0	100.0	0.000
v17_ra128_fm_r5	hybrid	off	cold	trace	250000	0	1	1	0	2	300	182495	309375	395979	84767	55112323	5443	5	0	0	75.7	0.000
v17_ra128_fm_r5	uring	off	cold	trace	250000	0	1	1	1	0	300	159455	225246	289398	76716	46871063	6401	5	0	0	100.0	0.000
v17_ra128_fm_r5	hybrid	off	cold	trace	250000	0	1	1	1	1	300	182856	310610	481121	83193	55634108	5392	5	0	0	75.0	0.000
v17_ra128_fm_r5	pool	off	cold	trace	250000	0	1	1	1	2	300	183138	250899	421977	110290	49728715	6033	6	0	0	69.3	0.000
v17_ra128_fm_r5	hybrid	off	cold	trace	250000	0	1	1	2	0	300	178073	287196	350993	70409	51992912	5770	5	0	0	79.3	0.000
v17_ra128_fm_r5	pool	off	cold	trace	250000	0	1	1	2	1	300	184419	249527	300589	112107	49069984	6114	6	0	0	69.0	0.000
v17_ra128_fm_r5	uring	off	cold	trace	250000	0	1	1	2	2	300	156381	219933	263638	73822	44718985	6709	5	0	0	100.0	0.000
v17_ra128_fm_r5	pool	off	cold	trace	250000	0	1	1	3	0	300	173525	231172	270247	108893	44822047	6693	6	0	0	67.7	0.000
v17_ra128_fm_r5	uring	off	cold	trace	250000	0	1	1	3	1	300	153791	221417	270548	73076	44450071	6749	5	0	0	100.0	0.000
v17_ra128_fm_r5	hybrid	off	cold	trace	250000	0	1	1	3	2	300	206439	278011	428126	99510	57949519	5177	5	0	0	85.3	0.000
v17_ra128_fm_r5	uring	off	cold	trace	250000	0	1	1	4	0	300	166706	224615	283165	74158	46633490	6433	5	0	0	100.0	0.000
v17_ra128_fm_r5	hybrid	off	cold	trace	250000	0	1	1	4	1	300	146760	262263	441307	79306	46361915	6471	5	0	0	78.3	0.000
v17_ra128_fm_r5	pool	off	cold	trace	250000	0	1	1	4	2	300	194777	291481	356248	150354	56246253	5334	6	0	0	56.0	0.000
v17_ra128_fm_r5	hybrid	off	cold	trace	250000	0	1	1	5	0	300	168610	281163	330939	76852	50291921	5965	5	0	0	76.3	0.000
v17_ra128_fm_r5	pool	off	cold	trace	250000	0	1	1	5	1	300	193842	284481	348233	142589	53880612	5568	6	0	0	56.7	0.000
v17_ra128_fm_r5	uring	off	cold	trace	250000	0	1	1	5	2	300	168555	255503	299029	114838	50625572	5926	5	0	0	100.0	0.000
v17_ra128_fm_r5	pool	off	cold	trace	250000	0	1	1	6	0	300	185726	261871	298934	148741	52307845	5735	6	0	0	56.3	0.000
v17_ra128_fm_r5	uring	off	cold	trace	250000	0	1	1	6	1	300	169250	257083	313052	110351	50811844	5904	5	0	0	100.0	0.000
v17_ra128_fm_r5	hybrid	off	cold	trace	250000	0	1	1	6	2	300	168154	279144	355880	73605	50823173	5903	5	0	0	79.0	0.000
v17_ra128_fm_r5	uring	off	cold	trace	250000	0	1	1	7	0	300	151707	215402	310831	73620	44064081	6808	5	0	0	100.0	0.000
v17_ra128_fm_r5	hybrid	off	cold	trace	250000	0	1	1	7	1	300	143852	254348	326673	71281	45228789	6633	5	0	0	79.3	0.000
v17_ra128_fm_r5	pool	off	cold	trace	250000	0	1	1	7	2	300	192766	281061	341194	131011	52934611	5667	6	0	0	63.0	0.000
v17_ra128_fm_r5	hybrid	off	cold	trace	250000	0	1	1	8	0	300	266287	363449	590139	155403	85821675	3496	5	0	0	97.7	0.000
v17_ra128_fm_r5	pool	off	cold	trace	250000	0	1	1	8	1	300	199112	324571	706475	164477	63751035	4706	6	0	0	63.3	0.000
v17_ra128_fm_r5	uring	off	cold	trace	250000	0	1	1	8	2	300	158904	249107	305976	113512	48955464	6128	5	0	0	100.0	0.000
v17_ra128_fm_r5	pool	off	cold	trace	250000	0	1	1	9	0	300	197575	286274	362514	142512	54830212	5471	6	0	0	58.0	0.000
v17_ra128_fm_r5	uring	off	cold	trace	250000	0	1	1	9	1	300	152354	216624	262381	74420	43855944	6841	5	0	0	100.0	0.000
v17_ra128_fm_r5	hybrid	off	cold	trace	250000	0	1	1	9	2	300	279494	369944	476037	140066	84864058	3535	5	0	0	97.7	0.000
v17_ra128_fm_r5	uring	off	cold	trace	250000	0	1	1	10	0	300	157901	225225	270425	83287	46643025	6432	5	0	0	100.0	0.000
v17_ra128_fm_r5	hybrid	off	cold	trace	250000	0	1	1	10	1	300	290004	420972	516348	142197	91631158	3274	5	0	0	98.3	0.000
v17_ra128_fm_r5	pool	off	cold	trace	250000	0	1	1	10	2	300	191427	261724	892024	140648	55622533	5393	6	0	0	68.0	0.000
v17_ra128_fm_r5	hybrid	off	cold	trace	250000	0	1	1	11	0	300	152011	279829	356707	74790	48807307	6147	5	0	0	77.7	0.000
v17_ra128_fm_r5	pool	off	cold	trace	250000	0	1	1	11	1	300	183025	269437	614060	155766	55237683	5431	6	0	0	55.3	0.000
v17_ra128_fm_r5	uring	off	cold	trace	250000	0	1	1	11	2	300	161915	237968	276407	105691	47854296	6269	5	0	0	100.0	0.000
v17_ra128_fm_r5	pool	off	cold	trace	250000	0	8	1	0	0	300	1095663	1651800	2103386	207594	43969353	6823	15	0	0	100.0	0.000
v17_ra128_fm_r5	uring	off	cold	trace	250000	0	8	1	0	1	300	1221553	1895586	2266307	125853	51464243	5829	5	0	0	100.0	0.000
v17_ra128_fm_r5	hybrid	off	cold	trace	250000	0	8	1	0	2	300	1190074	1672891	2326486	123099	50701037	5917	5	0	0	98.7	0.000
v17_ra128_fm_r5	uring	off	cold	trace	250000	0	8	1	1	0	300	1225701	4984485	9931245	247174	86635290	3463	5	0	0	100.0	0.000
v17_ra128_fm_r5	hybrid	off	cold	trace	250000	0	8	1	1	1	300	1159311	5665845	10104912	850167	262408730	1143	5	0	0	39.0	0.000
v17_ra128_fm_r5	pool	off	cold	trace	250000	0	8	1	1	2	300	1160187	1651994	2099083	211008	44356330	6763	15	0	0	100.0	0.000
v17_ra128_fm_r5	hybrid	off	cold	trace	250000	0	8	1	2	0	300	1126871	1953060	2935014	138966	53423195	5616	5	0	0	98.3	0.000
v17_ra128_fm_r5	pool	off	cold	trace	250000	0	8	1	2	1	300	1022424	1577118	2242494	221655	41684293	7197	15	0	0	100.0	0.000
v17_ra128_fm_r5	uring	off	cold	trace	250000	0	8	1	2	2	300	1089878	1870269	2330972	111974	47475537	6319	5	0	0	100.0	0.000
v17_ra128_fm_r5	pool	off	cold	trace	250000	0	8	1	3	0	300	1068854	2653300	4354103	394519	54632404	5491	17	0	0	99.3	0.000
v17_ra128_fm_r5	uring	off	cold	trace	250000	0	8	1	3	1	300	1158874	1867244	2867353	119236	49845492	6019	5	0	0	100.0	0.000
v17_ra128_fm_r5	hybrid	off	cold	trace	250000	0	8	1	3	2	300	1090723	1587268	2033188	115842	47803960	6276	5	0	0	99.0	0.000
v17_ra128_fm_r5	uring	off	cold	trace	250000	0	8	1	4	0	300	1019836	1937755	6794003	119577	52847593	5677	5	0	0	100.0	0.000
v17_ra128_fm_r5	hybrid	off	cold	trace	250000	0	8	1	4	1	300	1107122	1411822	2363236	120035	48018222	6248	5	0	0	99.0	0.000
v17_ra128_fm_r5	pool	off	cold	trace	250000	0	8	1	4	2	300	1144169	1786619	4203077	282257	48008299	6249	18	0	0	100.0	0.000
v17_ra128_fm_r5	hybrid	off	cold	trace	250000	0	8	1	5	0	300	1280224	1658287	5765182	104909	51152034	5865	5	0	0	99.7	0.000
v17_ra128_fm_r5	pool	off	cold	trace	250000	0	8	1	5	1	300	1164879	1785277	2875930	244106	47874652	6266	16	0	0	100.0	0.000
v17_ra128_fm_r5	uring	off	cold	trace	250000	0	8	1	5	2	300	1238822	1998108	3702300	125446	53159738	5643	5	0	0	100.0	0.000
