label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct
v19rm_cap2048M	pool	off	warm	trace	12939	0	1	1	0	0	15900	2095	3963	9317	2693	42316263	375742	5	0	0	0.0	0.000
v19rm_cap2048M	uring	off	warm	trace	12939	0	1	1	0	1	15900	14002	18634	32995	13461	177730667	89461	5	0	0	100.0	0.000
v19rm_cap2048M	hybrid	off	warm	trace	12939	0	1	1	0	2	15900	2053	3856	8012	2611	40937858	388394	5	0	0	0.0	0.000
v19rm_cap2048M	uring	off	warm	trace	12939	0	1	1	1	0	15900	5460	19380	30922	12555	163855582	97037	5	0	0	100.0	0.000
v19rm_cap2048M	hybrid	off	warm	trace	12939	0	1	1	1	1	15900	2110	4031	8706	2666	42318589	375721	5	0	0	0.0	0.000
v19rm_cap2048M	pool	off	warm	trace	12939	0	1	1	1	2	15900	2200	4111	9072	2762	43872317	362415	5	0	0	0.0	0.000
v19rm_cap2048M	hybrid	off	warm	trace	12939	0	1	1	2	0	15900	2087	3892	8419	2599	41185089	386062	5	0	0	0.0	0.000
v19rm_cap2048M	pool	off	warm	trace	12939	0	1	1	2	1	15900	2104	3957	8845	2657	42011422	378469	5	0	0	0.0	0.000
v19rm_cap2048M	uring	off	warm	trace	12939	0	1	1	2	2	15900	13991	18336	30114	13485	177740655	89456	5	0	0	100.0	0.000
v19rm_cap2048M	pool	off	warm	trace	12939	0	1	1	3	0	15900	2088	3937	8465	2624	41577971	382414	5	0	0	0.0	0.000
v19rm_cap2048M	uring	off	warm	trace	12939	0	1	1	3	1	15900	4851	18507	29313	12321	159025379	99984	5	0	0	100.0	0.000
v19rm_cap2048M	hybrid	off	warm	trace	12939	0	1	1	3	2	15900	2146	4064	8495	2696	42631739	372962	5	0	0	0.0	0.000
v19rm_cap2048M	uring	off	warm	trace	12939	0	1	1	4	0	15900	15814	20736	34357	16059	213134408	74601	5	0	0	100.0	0.000
v19rm_cap2048M	hybrid	off	warm	trace	12939	0	1	1	4	1	15900	2167	4100	8895	2714	42950403	370194	5	0	0	0.0	0.000
v19rm_cap2048M	pool	off	warm	trace	12939	0	1	1	4	2	15900	2079	3845	8199	2585	40765796	390033	5	0	0	0.0	0.000
v19rm_cap2048M	pool	off	warm	trace	12939	0	8	1	0	0	15900	3034	5433	12076	3791	15451669	1029015	5	0	0	0.0	0.000
v19rm_cap2048M	uring	off	warm	trace	12939	0	8	1	0	1	15900	35777	47959	73970	5362	77300208	205692	5	0	0	100.0	0.000
v19rm_cap2048M	hybrid	off	warm	trace	12939	0	8	1	0	2	15900	2577	4894	11797	3324	52399311	303439	5	0	0	0.0	0.000
v19rm_cap2048M	uring	off	warm	trace	12939	0	8	1	1	0	15900	34927	46750	72605	5462	75129209	211635	5	0	0	100.0	0.000
v19rm_cap2048M	hybrid	off	warm	trace	12939	0	8	1	1	1	15900	2150	4105	9025	2753	43678705	364022	5	0	0	0.0	0.000
v19rm_cap2048M	pool	off	warm	trace	12939	0	8	1	1	2	15900	2609	4621	10989	3324	15400695	1032421	5	0	0	0.0	0.000
v19rm_cap2048M	hybrid	off	warm	trace	12939	0	8	1	2	0	15900	2121	3999	8480	2710	42988951	369862	5	0	0	0.0	0.000
v19rm_cap2048M	pool	off	warm	trace	12939	0	8	1	2	1	15900	2589	4477	9388	3207	13049323	1218454	5	0	0	0.0	0.000
v19rm_cap2048M	uring	off	warm	trace	12939	0	8	1	2	2	15900	34831	47588	72116	5219	75513624	210558	5	0	0	100.0	0.000
v19rm_cap2048M	pool	off	warm	trace	12939	0	8	1	3	0	15900	2634	4660	10066	3330	13503870	1177440	5	0	0	0.0	0.000
v19rm_cap2048M	uring	off	warm	trace	12939	0	8	1	3	1	15900	34966	46887	73237	5249	75342196	211037	5	0	0	100.0	0.000
v19rm_cap2048M	hybrid	off	warm	trace	12939	0	8	1	3	2	15900	2340	4441	9602	2985	47226349	336676	5	0	0	0.0	0.000
v19rm_cap2048M	uring	off	warm	trace	12939	0	8	1	4	0	15900	34590	45787	68790	5156	74342367	213875	5	0	0	100.0	0.000
v19rm_cap2048M	hybrid	off	warm	trace	12939	0	8	1	4	1	15900	2093	3922	8325	2649	42010269	378479	5	0	0	0.0	0.000
v19rm_cap2048M	pool	off	warm	trace	12939	0	8	1	4	2	15900	2561	4473	9416	3195	12998477	1223220	5	0	0	0.0	0.000
v19rm_cap256M	pool	off	warm	trace	12939	0	1	1	0	0	15900	2100	4021	8760	2686	42404115	374964	5	0	0	0.0	0.000
v19rm_cap256M	uring	off	warm	trace	12939	0	1	1	0	1	15900	14048	17698	33412	13747	180036616	88315	5	0	0	100.0	0.000
v19rm_cap256M	hybrid	off	warm	trace	12939	0	1	1	0	2	15900	2036	3835	8061	2536	40242338	395106	5	0	0	0.0	0.000
v19rm_cap256M	uring	off	warm	trace	12939	0	1	1	1	0	15900	14182	17769	33183	13884	182006239	87360	5	0	0	100.0	0.000
v19rm_cap256M	hybrid	off	warm	trace	12939	0	1	1	1	1	15900	2088	3857	7756	2586	41003078	387776	5	0	0	0.0	0.000
v19rm_cap256M	pool	off	warm	trace	12939	0	1	1	1	2	15900	2025	3808	7725	2525	40048066	397023	5	0	0	0.0	0.000
v19rm_cap256M	hybrid	off	warm	trace	12939	0	1	1	2	0	15900	2056	3894	8216	2573	40788058	389820	5	0	0	0.0	0.000
v19rm_cap256M	pool	off	warm	trace	12939	0	1	1	2	1	15900	2030	3837	7798	2541	40320308	394342	5	0	0	0.0	0.000
v19rm_cap256M	uring	off	warm	trace	12939	0	1	1	2	2	15900	14120	17641	31946	13630	179262441	88697	5	0	0	100.0	0.000
v19rm_cap256M	pool	off	warm	trace	12939	0	1	1	3	0	15900	2026	3794	7740	2512	39810534	399392	5	0	0	0.0	0.000
v19rm_cap256M	uring	off	warm	trace	12939	0	1	1	3	1	15900	14150	17812	32228	13727	180866009	87910	5	0	0	100.0	0.000
v19rm_cap256M	hybrid	off	warm	trace	12939	0	1	1	3	2	15900	2027	3776	7837	2525	39825532	399241	5	0	0	0.0	0.000
v19rm_cap256M	uring	off	warm	trace	12939	0	1	1	4	0	15900	13779	17515	29049	12837	169353415	93887	5	0	0	100.0	0.000
v19rm_cap256M	hybrid	off	warm	trace	12939	0	1	1	4	1	15900	2052	3888	8658	2584	40984208	387954	5	0	0	0.0	0.000
