label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct
v20fm_cliff_cap1024M	pool	off	warm	trace	12939	0	1	1	0	0	15900	2927	6111	12452	3833	60757782	261695	5	0	0	0.0	0.000
v20fm_cliff_cap1024M	hybrid	off	warm	trace	12939	0	1	1	0	1	15900	3158	5588	11192	3827	60351733	263456	5	0	0	0.0	0.000
v20fm_cliff_cap1024M	hybrid	off	warm	trace	12939	0	1	1	1	0	15900	3449	6127	12897	4164	66030658	240797	5	0	0	0.0	0.000
v20fm_cliff_cap1024M	pool	off	warm	trace	12939	0	1	1	1	1	15900	3429	6100	12030	4164	65617464	242314	5	0	0	0.0	0.000
v20fm_cliff_cap1024M	pool	off	warm	trace	12939	0	1	1	2	0	15900	3377	5984	11902	4086	64550106	246320	5	0	0	0.0	0.000
v20fm_cliff_cap1024M	hybrid	off	warm	trace	12939	0	1	1	2	1	15900	3435	6097	12508	4334	68381355	232520	5	0	0	0.0	0.000
v20fm_cliff_cap1024M	hybrid	off	warm	trace	12939	0	1	1	3	0	15900	3424	6065	12191	4124	65055308	244407	5	0	0	0.0	0.000
v20fm_cliff_cap1024M	pool	off	warm	trace	12939	0	1	1	3	1	15900	3421	6109	12541	4131	65363337	243256	5	0	0	0.0	0.000
v20fm_cliff_cap512M	pool	off	warm	trace	12939	0	1	1	0	0	15900	3374	6806	14041	4341	68064407	233602	5	0	0	0.0	0.000
v20fm_cliff_cap512M	hybrid	off	warm	trace	12939	0	1	1	0	1	15900	3126	5572	11459	3814	60067697	264701	5	0	0	0.0	0.000
v20fm_cliff_cap512M	hybrid	off	warm	trace	12939	0	1	1	1	0	15900	3502	6222	12535	4222	66890733	237701	5	0	0	0.0	0.000
v20fm_cliff_cap512M	pool	off	warm	trace	12939	0	1	1	1	1	15900	2534	4517	9302	3112	49162937	323414	5	0	0	0.0	0.000
v20fm_cliff_cap512M	pool	off	warm	trace	12939	0	1	1	2	0	15900	3133	5607	11368	3798	60317044	263607	5	0	0	0.0	0.000
v20fm_cliff_cap512M	hybrid	off	warm	trace	12939	0	1	1	2	1	15900	2573	4605	9703	3158	49943392	318360	5	0	0	0.0	0.000
v20fm_cliff_cap512M	hybrid	off	warm	trace	12939	0	1	1	3	0	15900	2561	4485	8863	3123	49365774	322085	5	0	0	0.0	0.000
v20fm_cliff_cap512M	pool	off	warm	trace	12939	0	1	1	3	1	15900	2535	4495	8970	3084	48717251	326373	5	0	0	0.0	0.000
v20fm_cliff_cap448M	pool	off	warm	trace	12939	0	1	1	0	0	15900	3318	6841	13906	4381	69511231	228740	5	0	0	0.0	0.000
v20fm_cliff_cap448M	hybrid	off	warm	trace	12939	0	1	1	0	1	15900	3479	6184	12657	4193	66201426	240176	5	0	0	0.0	0.000
v20fm_cliff_cap448M	hybrid	off	warm	trace	12939	0	1	1	1	0	15900	3531	6521	13470	4583	72401388	219609	5	0	0	0.0	0.000
v20fm_cliff_cap448M	pool	off	warm	trace	12939	0	1	1	1	1	15900	3475	6243	12851	4214	66468075	239213	5	0	0	0.0	0.000
v20fm_cliff_cap448M	pool	off	warm	trace	12939	0	1	1	2	0	15900	3477	6228	12295	4230	66984126	237370	5	0	0	0.0	0.000
v20fm_cliff_cap448M	hybrid	off	warm	trace	12939	0	1	1	2	1	15900	2970	5202	10235	3564	56350589	282162	5	0	0	0.0	0.000
v20fm_cliff_cap448M	hybrid	off	warm	trace	12939	0	1	1	3	0	15900	3106	5523	10658	3739	59335934	267966	5	0	0	0.0	0.000
v20fm_cliff_cap448M	pool	off	warm	trace	12939	0	1	1	3	1	15900	3138	5595	10999	4004	63087312	252032	5	0	0	0.0	0.000
v20fm_cliff_cap384M	pool	off	warm	trace	12939	0	1	1	0	0	15900	3530	7052	13727	4469	70583080	225266	5	0	0	0.0	0.000
v20fm_cliff_cap384M	hybrid	off	warm	trace	12939	0	1	1	0	1	15900	2614	4657	10059	3270	51366187	309542	5	0	0	0.0	0.000
v20fm_cliff_cap384M	hybrid	off	warm	trace	12939	0	1	1	1	0	15900	3473	6175	12873	4220	66598537	238744	5	0	0	0.0	0.000
v20fm_cliff_cap384M	pool	off	warm	trace	12939	0	1	1	1	1	15900	3428	6144	12063	4153	65533611	242624	5	0	0	0.0	0.000
v20fm_cliff_cap384M	pool	off	warm	trace	12939	0	1	1	2	0	15900	2507	4440	9110	3082	48340699	328915	5	0	0	0.0	0.000
v20fm_cliff_cap384M	hybrid	off	warm	trace	12939	0	1	1	2	1	15900	2519	4563	9473	3096	49062675	324075	5	0	0	0.0	0.000
v20fm_cliff_cap384M	hybrid	off	warm	trace	12939	0	1	1	3	0	15900	3081	5993	11700	3869	61044367	260466	5	0	0	0.0	0.000
v20fm_cliff_cap384M	pool	off	warm	trace	12939	0	1	1	3	1	15900	3051	5772	11348	3779	59637767	266610	5	0	0	0.0	0.000
v20fm_cliff_cap320M	pool	off	warm	trace	12939	0	1	1	0	0	15900	3444	6791	12718	4373	69064877	230218	5	0	0	0.0	0.000
v20fm_cliff_cap320M	hybrid	off	warm	trace	12939	0	1	1	0	1	15900	3546	6332	12529	4281	67896261	234181	5	0	0	0.0	0.000
v20fm_cliff_cap320M	hybrid	off	warm	trace	12939	0	1	1	1	0	15900	3050	5371	9924	3704	58459218	271984	5	0	0	0.0	0.000
v20fm_cliff_cap320M	pool	off	warm	trace	12939	0	1	1	1	1	15900	2612	4599	9681	3219	50657036	313875	5	0	0	0.0	0.000
v20fm_cliff_cap320M	pool	off	warm	trace	12939	0	1	1	2	0	15900	3221	5738	11191	3925	62046083	256261	5	0	0	0.0	0.000
v20fm_cliff_cap320M	hybrid	off	warm	trace	12939	0	1	1	2	1	15900	2611	4641	9721	3175	50367743	315678	5	0	0	0.0	0.000
v20fm_cliff_cap320M	hybrid	off	warm	trace	12939	0	1	1	3	0	15900	2628	4702	9549	3221	51068331	311348	5	0	0	0.0	0.000
