label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct
run1_A_stride	pool	off	cold	stride	16384	250000	1	1	0	0	512	74322	91232	466205	63406	40216312	12731	7	0	0	88.1	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	1	1	0	1	512	48056	61427	160136	25544	26449991	19357	5	0	0	100.0	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	1	1	0	2	512	44731	55852	168596	23609	24245965	21117	5	0	0	88.1	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	1	1	0	3	512	77134	88974	143537	56977	39914516	12827	6	0	0	100.0	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	1	1	1	0	512	44310	55397	132886	21558	23993452	21339	5	0	0	100.0	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	1	1	1	1	512	42236	48293	168727	20495	22321322	22938	5	0	0	88.1	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	1	1	1	2	512	69389	85265	192962	54774	36556495	14006	6	0	0	100.0	0.000
run1_A_stride	pool	off	cold	stride	16384	250000	1	1	1	3	512	66426	81364	374318	60236	35012242	14623	6	0	0	88.1	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	1	1	2	0	512	46299	57000	291762	25507	25407322	20152	5	0	0	87.9	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	1	1	2	1	512	67349	87779	173701	57795	37537824	13640	6	0	0	100.0	0.000
run1_A_stride	pool	off	cold	stride	16384	250000	1	1	2	2	512	66466	79327	237449	55859	34557743	14816	6	0	0	88.1	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	1	1	2	3	512	43932	54723	332902	23594	24251126	21112	5	0	0	100.0	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	1	1	3	0	512	76614	89238	174557	59209	38295536	13370	7	0	0	100.0	0.000
run1_A_stride	pool	off	cold	stride	16384	250000	1	1	3	1	512	67285	79109	146344	55476	34387074	14889	6	0	0	88.1	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	1	1	3	2	512	44045	54814	230374	24783	24138095	21211	5	0	0	100.0	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	1	1	3	3	512	41533	49991	140123	22409	22150021	23115	5	0	0	88.1	0.000
run1_A_stride	pool	off	cold	stride	16384	250000	1	1	4	0	512	51357	64887	180240	51704	27382754	18698	6	0	0	88.1	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	1	1	4	1	512	41824	53087	278532	22148	22578805	22676	5	0	0	100.0	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	1	1	4	2	512	40822	51051	149287	22268	22141184	23124	5	0	0	87.9	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	1	1	4	3	512	71440	88204	147979	54066	37669378	13592	8	0	0	100.0	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	1	1	5	0	512	40670	48681	280334	20078	21440227	23880	5	0	0	100.0	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	1	1	5	1	512	43197	52739	163545	23248	23285752	21988	5	0	0	88.1	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	1	1	5	2	512	64722	85256	177484	55988	35516000	14416	6	0	0	100.0	0.000
run1_A_stride	pool	off	cold	stride	16384	250000	1	1	5	3	512	63801	75568	184854	53358	32334826	15834	6	0	0	88.1	0.000
run1_A_stride	pool	off	cold	stride	16384	250000	2	1	0	0	512	78496	99943	339371	57751	20708817	24724	9	0	0	89.5	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	2	1	0	1	512	37033	54680	371549	19002	12033181	42549	5	0	0	100.0	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	2	1	0	2	512	43424	64625	222656	18164	15338001	33381	5	0	0	88.3	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	2	1	0	3	512	88624	112174	329540	53773	24124946	21223	10	0	0	100.0	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	2	1	1	0	512	52309	66298	383064	16144	15057978	34002	5	0	0	100.0	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	2	1	1	1	512	39686	62316	323769	16106	14787815	34623	5	0	0	88.7	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	2	1	1	2	512	87147	108679	348055	52843	23552558	21739	10	0	0	100.0	0.000
run1_A_stride	pool	off	cold	stride	16384	250000	2	1	1	3	512	76971	105887	439149	54704	21255830	24088	9	0	0	88.5	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	2	1	2	0	512	40524	59880	376802	17432	14467524	35390	5	0	0	88.5	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	2	1	2	1	512	90524	118819	346196	54957	24274316	21092	9	0	0	100.0	0.000
run1_A_stride	pool	off	cold	stride	16384	250000	2	1	2	2	512	82143	105724	373568	56169	21769558	23519	11	0	0	88.7	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	2	1	2	3	512	54925	80058	389631	18686	16106004	31789	5	0	0	100.0	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	2	1	3	0	512	94000	119706	348438	55957	25295016	20241	10	0	0	100.0	0.000
run1_A_stride	pool	off	cold	stride	16384	250000	2	1	3	1	512	84685	114591	371649	63477	22435772	22821	8	0	0	88.9	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	2	1	3	2	512	38586	56437	384261	18027	12821968	39931	5	0	0	100.0	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	2	1	3	3	512	39002	63286	280457	17479	14163952	36148	5	0	0	88.5	0.000
run1_A_stride	pool	off	cold	stride	16384	250000	2	1	4	0	512	77532	99490	366157	57098	20621951	24828	8	0	0	89.3	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	2	1	4	1	512	49830	63157	335472	14613	14314502	35768	5	0	0	100.0	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	2	1	4	2	512	38110	58913	337436	17689	13413202	38171	5	0	0	88.7	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	2	1	4	3	512	92622	120436	299827	56248	24327905	21046	9	0	0	100.0	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	2	1	5	0	512	37624	63050	340254	18439	12698440	40320	5	0	0	100.0	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	2	1	5	1	512	42747	59215	186282	16013	15109993	33885	5	0	0	87.7	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	2	1	5	2	512	90305	112892	299708	56099	23890983	21431	9	0	0	100.0	0.000
run1_A_stride	pool	off	cold	stride	16384	250000	2	1	5	3	512	81917	116405	203134	62100	21088254	24279	9	0	0	88.1	0.000
run1_A_stride	pool	off	cold	stride	16384	250000	4	1	0	0	512	102079	179249	447122	48483	14949710	34248	12	0	0	91.4	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	4	1	0	1	512	78091	103324	361443	11114	11547655	44338	5	0	0	100.0	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	4	1	0	2	512	52084	80480	320943	15809	10598708	48308	5	0	0	90.8	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	4	1	0	3	512	109011	196832	403692	52770	15946788	32107	14	0	0	100.0	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	4	1	1	0	512	71261	93305	391847	10066	10428725	49095	5	0	0	100.0	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	4	1	1	1	512	52718	74051	328182	9768	10205133	50171	5	0	0	89.3	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	4	1	1	2	512	108363	150217	465329	48168	15191100	33704	17	0	0	100.0	0.000
run1_A_stride	pool	off	cold	stride	16384	250000	4	1	1	3	512	108758	222845	479332	49674	16572399	30895	13	0	0	91.2	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	4	1	2	0	512	54153	75928	412413	11460	10741055	47668	5	0	0	90.0	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	4	1	2	1	512	108446	212415	438370	47253	17071332	29992	17	0	0	100.0	0.000
run1_A_stride	pool	off	cold	stride	16384	250000	4	1	2	2	512	99839	154738	411247	47303	14221050	36003	12	0	0	91.0	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	4	1	2	3	512	70385	99029	366964	10010	10583837	48376	5	0	0	100.0	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	4	1	3	0	512	124154	191279	362322	48709	17002945	30112	13	0	0	100.0	0.000
run1_A_stride	pool	off	cold	stride	16384	250000	4	1	3	1	512	103168	193674	552202	53755	16498353	31033	13	0	0	91.2	0.000
