label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct
run1_A_stride	pool	off	cold	stride	16384	250000	1	1	0	0	512	212820	661381	816197	142933	152061578	3367	11	0	0	88.3	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	1	1	0	1	512	230653	688993	1748383	102255	165875209	3087	9	0	0	100.0	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	1	1	0	2	512	227396	301802	631561	78616	113599884	4507	9	0	0	88.3	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	1	1	0	3	512	214932	326891	599975	87267	113312658	4518	11	0	0	100.0	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	1	1	1	0	512	180558	238092	300963	51967	88512945	5784	9	0	0	100.0	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	1	1	1	1	512	172125	234240	314293	51307	86583920	5913	9	0	0	90.4	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	1	1	1	2	512	186559	266552	315024	65481	96742332	5292	11	0	0	100.0	0.000
run1_A_stride	pool	off	cold	stride	16384	250000	1	1	1	3	512	173950	235278	308105	58051	86155164	5943	10	0	0	90.0	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	1	1	2	0	512	172119	233533	310667	47730	85312640	6001	9	0	0	90.2	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	1	1	2	1	512	192454	255560	321687	62756	94402960	5424	10	0	0	100.0	0.000
run1_A_stride	pool	off	cold	stride	16384	250000	1	1	2	2	512	201966	314573	1457749	79534	121490088	4214	11	0	0	89.3	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	1	1	2	3	512	177425	230030	333510	43426	87007601	5885	9	0	0	100.0	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	1	1	3	0	512	204595	288950	403380	65708	102893740	4976	12	0	0	100.0	0.000
run1_A_stride	pool	off	cold	stride	16384	250000	1	1	3	1	512	180466	232417	310245	53979	87397452	5858	10	0	0	89.6	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	1	1	3	2	512	187519	242164	322087	48624	91467773	5598	9	0	0	100.0	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	1	1	3	3	512	196295	262503	336639	56974	97088575	5274	9	0	0	89.8	0.000
run1_A_stride	pool	off	cold	stride	16384	250000	1	1	4	0	512	185766	245778	329804	65749	91533594	5594	10	0	0	89.8	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	1	1	4	1	512	186045	246046	328335	49570	90538682	5655	9	0	0	100.0	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	1	1	4	2	512	182216	249039	398930	53447	96592706	5301	9	0	0	90.2	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	1	1	4	3	512	182022	249336	364633	53914	90412392	5663	10	0	0	100.0	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	1	1	5	0	512	180760	244645	345089	50947	89161018	5742	9	0	0	100.0	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	1	1	5	1	512	185345	249160	344956	50066	91277673	5609	9	0	0	89.6	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	1	1	5	2	512	181784	253520	371691	57307	91241963	5611	10	0	0	100.0	0.000
run1_A_stride	pool	off	cold	stride	16384	250000	1	1	5	3	512	175355	237722	350635	58170	87538668	5849	10	0	0	90.2	0.000
run1_A_stride	pool	off	cold	stride	16384	250000	2	1	0	0	512	174140	232914	345229	61884	44880934	11408	12	0	0	92.4	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	2	1	0	1	512	166905	227228	318880	40121	43075034	11886	9	0	0	100.0	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	2	1	0	2	512	169459	225888	300561	38222	43285618	11828	9	0	0	90.8	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	2	1	0	3	512	184595	265234	353166	57398	47827094	10705	12	0	0	100.0	0.000
