label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct
run1_A_stride	pool	off	cold	stride	16384	250000	1	1	0	0	512	100141	134813	385209	82573	56195926	9111	6	0	0	87.9	0.000
run1_A_stride	pool_ringloop	off	cold	stride	16384	250000	1	1	0	1	512	96920	125838	664872	81456	53488011	9572	6	0	0	88.1	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	1	1	0	2	512	70487	88816	376230	39197	40429745	12664	5	0	0	87.9	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	1	1	0	3	512	68741	85127	718667	36841	38475969	13307	5	0	0	100.0	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	1	1	0	4	512	100457	140378	319804	84232	58690292	8724	6	0	0	100.0	0.000
run1_A_stride	pool_ringloop	off	cold	stride	16384	250000	1	1	1	0	512	95424	120673	743570	81328	52313893	9787	6	0	0	88.1	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	1	1	1	1	512	68916	81182	508761	37742	37932547	13498	5	0	0	87.7	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	1	1	1	2	512	69380	81856	386593	35992	38200668	13403	5	0	0	100.0	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	1	1	1	3	512	111192	139041	297228	84048	60431159	8472	6	0	0	100.0	0.000
run1_A_stride	pool	off	cold	stride	16384	250000	1	1	1	4	512	96220	126834	527593	79838	53621729	9548	6	0	0	88.1	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	1	1	2	0	512	71860	92630	710277	39083	42372314	12083	5	0	0	87.9	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	1	1	2	1	512	68260	88222	834777	40076	40874074	12526	5	0	0	100.0	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	1	1	2	2	512	111089	142397	534709	84381	69402168	7377	6	0	0	100.0	0.000
run1_A_stride	pool	off	cold	stride	16384	250000	1	1	2	3	512	108046	131041	741667	82044	57396718	8920	6	0	0	88.1	0.000
run1_A_stride	pool_ringloop	off	cold	stride	16384	250000	1	1	2	4	512	99434	130889	794617	83686	56710314	9028	6	0	0	88.3	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	1	1	3	0	512	67909	89139	557565	38971	38367048	13345	5	0	0	100.0	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	1	1	3	1	512	100553	123917	494629	84291	57083934	8969	6	0	0	100.0	0.000
run1_A_stride	pool	off	cold	stride	16384	250000	1	1	3	2	512	96839	128908	452929	80332	53224442	9620	6	0	0	87.9	0.000
run1_A_stride	pool_ringloop	off	cold	stride	16384	250000	1	1	3	3	512	96973	118688	697303	81958	51488759	9944	6	0	0	88.1	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	1	1	3	4	512	71407	88260	459823	36916	40227109	12728	5	0	0	88.1	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	1	1	4	0	512	110570	144238	523366	84479	64312211	7961	6	0	0	100.0	0.000
run1_A_stride	pool	off	cold	stride	16384	250000	1	1	4	1	512	107833	126468	777715	83249	55625326	9204	6	0	0	87.7	0.000
