label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct
run1_r5rings	pool	off	cold	stride	16384	250000	4	1	0	0	256	171075	362041	871488	78365	15405897	16617	12	0	0	96.5	0.000
run1_r5rings	hybrid	off	cold	stride	16384	250000	4	1	0	1	256	99101	161907	758897	21713	12756896	20068	5	0	0	94.9	0.000
run1_r5rings	uring	off	cold	stride	16384	250000	4	1	0	2	256	167147	285068	797845	22795	14498128	17657	5	0	0	100.0	0.000
run1_r5rings	hybrid	off	cold	stride	16384	250000	4	1	1	0	256	101972	223869	756353	20781	13012988	19673	5	0	0	94.9	0.000
run1_r5rings	uring	off	cold	stride	16384	250000	4	1	1	1	256	144186	332478	987425	17994	14069006	18196	5	0	0	100.0	0.000
run1_r5rings	pool	off	cold	stride	16384	250000	4	1	1	2	256	158627	539441	951289	66193	14889957	17193	12	0	0	97.7	0.000
run1_r5rings	uring	off	cold	stride	16384	250000	4	1	2	0	256	152208	495172	809426	18073	14007094	18276	5	0	0	100.0	0.000
run1_r5rings	pool	off	cold	stride	16384	250000	4	1	2	1	256	159835	551501	916174	70480	14702135	17412	12	0	0	97.7	0.000
run1_r5rings	hybrid	off	cold	stride	16384	250000	4	1	2	2	256	118499	179627	843934	23599	13913417	18400	5	0	0	93.4	0.000
run1_r5rings	pool	off	cold	stride	16384	250000	4	1	3	0	256	197779	544300	1055793	81011	17499016	14629	11	0	0	96.9	0.000
run1_r5rings	hybrid	off	cold	stride	16384	250000	4	1	3	1	256	115549	191831	812613	23824	13956670	18342	5	0	0	94.9	0.000
run1_r5rings	uring	off	cold	stride	16384	250000	4	1	3	2	256	171546	245460	811578	20667	14720259	17391	5	0	0	100.0	0.000
run1_r5rings	hybrid	off	cold	stride	16384	250000	4	1	4	0	256	107477	177333	874036	24604	13664850	18734	5	0	0	94.1	0.000
run1_r5rings	uring	off	cold	stride	16384	250000	4	1	4	1	256	162139	293747	782454	20472	14459973	17704	5	0	0	100.0	0.000
run1_r5rings	pool	off	cold	stride	16384	250000	4	1	4	2	256	169313	329674	1514555	73144	14809217	17287	11	0	0	96.1	0.000
run1_r5rings	pool	off	cold	stride	16384	250000	4	16	0	0	4096	776866	3240562	14712033	42988	98649758	41521	80	0	0	53.7	0.000
run1_r5rings	hybrid	off	cold	stride	16384	250000	4	16	0	1	4096	738502	2706509	6976850	30284	95087394	43076	5	0	0	54.1	0.000
run1_r5rings	uring	off	cold	stride	16384	250000	4	16	0	2	4096	896916	3892614	13194265	30396	98536577	41568	5	0	0	100.0	0.000
run1_r5rings	hybrid	off	cold	stride	16384	250000	4	16	1	0	4096	741521	2445280	6582718	30457	98010100	41792	5	0	0	55.9	0.000
run1_r5rings	uring	off	cold	stride	16384	250000	4	16	1	1	4096	800472	3752640	14348412	31190	100853396	40613	5	0	0	100.0	0.000
run1_r5rings	pool	off	cold	stride	16384	250000	4	16	1	2	4096	659759	3671163	10900671	42425	94944689	43141	79	0	0	52.7	0.000
run1_r5rings	uring	off	cold	stride	16384	250000	4	16	2	0	4096	716732	3827195	15379126	30544	96632744	42387	5	0	0	100.0	0.000
run1_r5rings	pool	off	cold	stride	16384	250000	4	16	2	1	4096	882707	3765653	14747421	44825	107536966	38089	89	0	0	57.7	0.000
run1_r5rings	hybrid	off	cold	stride	16384	250000	4	16	2	2	4096	625494	3281922	8934651	32508	108073328	37900	5	0	0	53.4	0.000
run1_r5rings	pool	off	cold	stride	16384	250000	4	16	3	0	4096	763262	3759023	14434131	44510	102371728	40011	80	0	0	53.9	0.000
run1_r5rings	hybrid	off	cold	stride	16384	250000	4	16	3	1	4096	670345	2921553	7253771	29700	96277999	42543	5	0	0	53.4	0.000
run1_r5rings	uring	off	cold	stride	16384	250000	4	16	3	2	4096	733328	3749542	13870391	32475	101554691	40333	5	0	0	100.0	0.000
run1_r5rings	hybrid	off	cold	stride	16384	250000	4	16	4	0	4096	731280	3303065	8116281	35597	113935375	35950	5	0	0	53.6	0.000
run1_r5rings	uring	off	cold	stride	16384	250000	4	16	4	1	4096	827977	4209370	16633845	35720	116075392	35287	5	0	0	100.0	0.000
run1_r5rings	pool	off	cold	stride	16384	250000	4	16	4	2	4096	1025877	3947336	14619989	50062	113468975	36098	82	0	0	55.0	0.000
run1_r5rings	pool	off	cold	stride	16384	250000	4	64	0	0	16384	3845842	8705218	18659462	51794	319142587	51338	280	0	0	74.3	0.000
run1_r5rings	hybrid	off	cold	stride	16384	250000	4	64	0	1	16384	3156696	8940906	22171464	37437	352395111	46493	5	0	0	61.7	0.000
run1_r5rings	uring	off	cold	stride	16384	250000	4	64	0	2	16384	3535340	9907254	24208351	34665	316781327	51720	5	0	0	100.0	0.000
run1_r5rings	hybrid	off	cold	stride	16384	250000	4	64	1	0	16384	3260325	9291653	17818257	51230	351437079	46620	5	0	0	60.7	0.000
run1_r5rings	uring	off	cold	stride	16384	250000	4	64	1	1	16384	3961556	12332757	29079949	49104	353535652	46343	5	0	0	100.0	0.000
run1_r5rings	pool	off	cold	stride	16384	250000	4	64	1	2	16384	4366987	13994937	27105151	65881	412553402	39714	273	0	0	60.8	0.000
run1_r5rings	uring	off	cold	stride	16384	250000	4	64	2	0	16384	1613547	15942936	31003596	73646	382523714	42831	5	0	0	100.0	0.000
run1_r5rings	pool	off	cold	stride	16384	250000	4	64	2	1	16384	5230226	13315865	20989837	77682	393681251	41617	235	0	0	67.5	0.000
run1_r5rings	hybrid	off	cold	stride	16384	250000	4	64	2	2	16384	2885867	9546326	15717584	77191	391351421	41865	5	0	0	57.6	0.000
run1_r5rings	pool	off	cold	stride	16384	250000	4	64	3	0	16384	3923336	14685336	27459029	80428	389560666	42058	212	0	0	58.8	0.000
run1_r5rings	hybrid	off	cold	stride	16384	250000	4	64	3	1	16384	2623989	9333496	15585599	73883	376281061	43542	5	0	0	55.5	0.000
run1_r5rings	uring	off	cold	stride	16384	250000	4	64	3	2	16384	4328987	11331573	22741248	47870	338901491	48344	5	0	0	100.0	0.000
run1_r5rings	hybrid	off	cold	stride	16384	250000	4	64	4	0	16384	3694085	9373629	18004631	48110	342575481	47826	5	0	0	66.2	0.000
run1_r5rings	uring	off	cold	stride	16384	250000	4	64	4	1	16384	4331774	11486118	23776283	47455	345243205	47456	5	0	0	100.0	0.000
run1_r5rings	pool	off	cold	stride	16384	250000	4	64	4	2	16384	4793195	13091581	23173155	61184	382273462	42859	265	0	0	63.3	0.000
run1_r5rings	pool	off	cold	stride	16384	250000	4	128	0	0	32768	8615012	18367273	32224109	64349	637986246	51362	287	0	0	81.6	0.000
run1_r5rings	hybrid	off	cold	stride	16384	250000	4	128	0	1	32768	7952417	18801073	27089054	83729	797817630	41072	5	0	0	63.4	0.000
run1_r5rings	uring	off	cold	stride	16384	250000	4	128	0	2	32768	6984579	30244299	48665768	84133	791499359	41400	5	0	0	100.0	0.000
run1_r5rings	hybrid	off	cold	stride	16384	250000	4	128	1	0	32768	8272812	15219394	26801956	59405	702980269	46613	5	0	0	72.8	0.000
run1_r5rings	uring	off	cold	stride	16384	250000	4	128	1	1	32768	9509595	18175877	29067811	46667	629010767	52094	5	0	0	100.0	0.000
run1_r5rings	pool	off	cold	stride	16384	250000	4	128	1	2	32768	8773829	17965322	29209645	61477	614252869	53346	342	0	0	77.3	0.000
