label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct
run1_A_stride	pool	off	cold	stride	16384	250000	1	1	0	0	512	212153	2320010	2982556	143770	285345151	1794	10	0	0	90.2	0.000
run1_A_stride	pool_ringloop	off	cold	stride	16384	250000	1	1	0	1	512	173581	251988	360289	57466	91305058	5608	10	0	0	90.6	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	1	1	0	2	512	181085	257141	347452	48117	92772172	5519	9	0	0	90.6	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	1	1	0	3	512	188959	268962	380116	50546	95645854	5353	9	0	0	100.0	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	1	1	0	4	512	189495	266588	429146	63489	99063743	5168	10	0	0	100.0	0.000
run1_A_stride	pool_ringloop	off	cold	stride	16384	250000	1	1	1	0	512	185458	265752	2238770	61799	109675364	4668	10	0	0	89.8	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	1	1	1	1	512	170982	231402	572921	44724	90112705	5682	9	0	0	92.0	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	1	1	1	2	512	176186	263580	367768	46294	91610301	5589	9	0	0	100.0	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	1	1	1	3	512	196842	286365	428373	58091	101731451	5033	10	0	0	100.0	0.000
run1_A_stride	pool	off	cold	stride	16384	250000	1	1	1	4	512	174446	243019	334709	57307	90132136	5681	10	0	0	89.6	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	1	1	2	0	512	184847	256439	362996	49027	94076979	5442	9	0	0	90.2	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	1	1	2	1	512	217472	308303	397887	62273	109428525	4679	9	0	0	100.0	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	1	1	2	2	512	196502	345452	449189	71529	109256387	4686	11	0	0	100.0	0.000
run1_A_stride	pool	off	cold	stride	16384	250000	1	1	2	3	512	187167	261479	381102	60240	96034428	5331	10	0	0	89.8	0.000
