label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct
run1_A_stride	pool	off	cold	stride	16384	250000	1	1	0	0	512	182227	251228	349358	65936	92125388	5558	10	0	0	90.2	0.000
run1_A_stride	pool_ringloop	off	cold	stride	16384	250000	1	1	0	1	512	175835	250243	315234	59409	89204466	5740	10	0	0	90.8	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	1	1	0	2	512	169966	229673	329710	44528	85051417	6020	9	0	0	90.2	0.000
run1_A_stride	hybrid_lazyring	off	cold	stride	16384	250000	1	1	0	3	512	205929	293227	376220	58985	101852553	5027	9	0	0	89.5	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	1	1	0	4	512	212412	307208	373691	61800	105470553	4854	9	0	0	100.0	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	1	1	0	5	512	171319	248075	337128	53042	88151724	5808	10	0	0	100.0	0.000
run1_A_stride	pool_ringloop	off	cold	stride	16384	250000	1	1	1	0	512	172332	236230	350532	55992	85837845	5965	10	0	0	90.2	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	1	1	1	1	512	172550	229912	305202	44379	85373257	5997	9	0	0	90.8	0.000
run1_A_stride	hybrid_lazyring	off	cold	stride	16384	250000	1	1	1	2	512	193488	272034	1109357	54302	105193599	4867	9	0	0	89.1	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	1	1	1	3	512	228336	312276	400795	69394	114180524	4484	9	0	0	100.0	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	1	1	1	4	512	196919	284503	385731	63590	101255845	5056	11	0	0	100.0	0.000
run1_A_stride	pool	off	cold	stride	16384	250000	1	1	1	5	512	172957	241873	325705	54886	87161275	5874	10	0	0	89.8	0.000
run1_A_stride	hybrid	off	cold	stride	16384	250000	1	1	2	0	512	174317	231392	312819	45071	85689659	5975	9	0	0	90.0	0.000
run1_A_stride	hybrid_lazyring	off	cold	stride	16384	250000	1	1	2	1	512	176073	239061	327680	44691	87020479	5884	9	0	0	90.6	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	1	1	2	2	512	182340	249750	396125	46090	92517330	5534	9	0	0	100.0	0.000
run1_A_stride	pooled_pread	off	cold	stride	16384	250000	1	1	2	3	512	188240	292039	2638025	59627	142476836	3594	10	0	0	100.0	0.000
run1_A_stride	pool	off	cold	stride	16384	250000	1	1	2	4	512	185011	259103	341392	56965	92337006	5545	10	0	0	89.8	0.000
run1_A_stride	pool_ringloop	off	cold	stride	16384	250000	1	1	2	5	512	173067	238364	316319	56676	85928610	5958	10	0	0	89.8	0.000
run1_A_stride	hybrid_lazyring	off	cold	stride	16384	250000	1	1	3	0	512	165485	223143	306918	43582	83347972	6143	9	0	0	90.2	0.000
run1_A_stride	uring	off	cold	stride	16384	250000	1	1	3	1	512	172200	231603	335134	43486	85550851	5985	9	0	0	100.0	0.000
