arm	study	temp	trace	access	chunk	repeat	frames	asks	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	gap_p50_ns	gap_p99_ns	gap_max_ns	gap_samples	bytes_copied	hop_p50_ns	other_later_p50_ns	other_later_p99_ns	other_asks	runtime	hop_count
mmap_naive	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	40888	31122	100529	34978	11225759	2117	8472	256535	5121	0	0	0	0	0	current	0
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	45060	26049	81865	29017	9328211	1745	7764	81460	5121	0	0	0	0	0	current	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	497853	45911	98461	49440	16315515	514	14213	167136	10112	0	19185	0	0	0	current	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	412345	80166	125955	83668	27238540	394	11263	251050	33131	80000000	50646	0	0	0	current	320
pread_nowait	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	223878	36725	101219	41535	13510197	771	37080	220448	5121	80000000	0	0	0	0	current	0
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	49040	37094	109985	41552	13342046	806	13342	105734	5121	80000000	0	0	0	0	current	0
mmap_naive	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	26700	20677	81889	23562	7566475	1426	4223	72024	5121	0	0	0	0	0	current	0
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	41329	20815	88040	24802	7977621	1356	7643	88825	5121	0	0	0	0	0	current	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	286004	41427	97179	45492	14855696	590	13591	126885	8747	0	17388	0	0	0	current	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	316463	81310	131500	84801	27503035	397	11138	137359	31868	80000000	49809	0	0	0	current	320
pread_nowait	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	73322	38658	101042	43070	13855062	792	39653	104730	5121	80000000	0	0	0	0	current	0
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	46410	37464	103488	42310	13582391	765	14211	74449	5121	80000000	0	0	0	0	current	0
mmap_naive	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	28610	22251	79439	25746	8267316	1559	7530	58714	5121	0	0	0	0	0	current	0
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	31054	21279	78203	24778	7958885	1440	7287	72837	5121	0	0	0	0	0	current	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	369353	43035	92303	46610	15279129	551	13382	87039	9251	0	17477	0	0	0	current	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	344421	75854	117810	79286	25762790	400	11167	141382	30949	80000000	47620	0	0	0	current	320
pread_nowait	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	65640	37852	100670	42989	13819109	767	39017	136293	5121	80000000	0	0	0	0	current	0
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	101888	40375	101647	43959	14159094	798	13561	75345	5121	80000000	0	0	0	0	current	0
mmap_naive	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	29234	22552	80703	25871	8305433	1553	4856	75761	5121	0	0	0	0	0	current	0
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	32411	22221	79486	25071	8053751	1466	6241	76954	5121	0	0	0	0	0	current	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	336861	43430	79607	46873	15387364	593	13620	105773	8846	0	17916	0	0	0	current	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	306779	74742	118383	78435	25456646	402	11190	111769	30290	80000000	45889	0	0	0	current	320
pread_nowait	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	66633	36769	87588	40793	13114286	743	38230	86359	5121	80000000	0	0	0	0	current	0
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	48074	39288	86419	42370	13595363	755	14643	107647	5121	80000000	0	0	0	0	current	0
mmap_naive	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	24310	20822	61290	23395	7508716	1435	5758	66563	5121	0	0	0	0	0	current	0
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	40244	19717	57812	22039	7092790	1256	6418	49770	5121	0	0	0	0	0	current	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	212607	39095	78792	41710	13558388	606	13017	82491	8127	0	15876	0	0	0	current	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	257609	75903	130951	80287	25979890	378	10659	102026	32480	80000000	46516	0	0	0	current	320
pread_nowait	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	97310	35117	96473	39284	12662322	756	35245	93558	5121	80000000	0	0	0	0	current	0
