arm	study	temp	trace	access	chunk	repeat	frames	asks	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	gap_p50_ns	gap_p99_ns	gap_max_ns	gap_samples	bytes_copied	hop_p50_ns	other_later_p50_ns	other_later_p99_ns	other_asks	runtime	hop_count
mmap_naive	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	84882	29658	120333	38358	12348644	287	9873	1894549	16852	0	0	0	0	0	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	137461	30900	91547	36366	11769066	331	11040	123009	10740	0	0	0	0	0	multi	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	363175	105308	205273	109083	35279312	327	17347	172605	20818	0	22196	0	0	0	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	104381	41779	169698	63522	20413955	274	11570	170937	24448	0	12187	0	0	0	multi	320
mmap_populate_read	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	252316	95464	167112	95377	30757791	490	19250	72960	13571	0	20490	0	0	0	multi	320
pread_blocking	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	391851	154548	213682	151846	49006848	373	14497	90369	27919	80000000	67760	0	0	0	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	370534	141837	221750	140214	45218792	332	14649	187372	27588	80000000	53034	0	0	0	multi	320
pread_nowait	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	298078	36826	95771	44343	14507504	385	10990	317336	11519	80000000	0	0	0	0	multi	0
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	78833	48131	104424	49740	15985326	361	10851	60939	11768	80000000	0	0	0	0	multi	0
mmap_naive	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	101396	31536	76340	36092	11641079	520	11639	44223	7478	0	0	0	0	0	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	44793	22363	68170	27092	8713974	266	10333	49362	11579	0	0	0	0	0	multi	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	133824	90667	139952	88203	28343743	481	18733	51835	13254	0	19656	0	0	0	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	102013	38206	134858	44669	14396580	321	11425	63314	12772	0	12007	0	0	0	multi	320
mmap_populate_read	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	256668	106752	170132	103366	33305369	542	19832	55947	12946	0	21164	0	0	0	multi	320
pread_blocking	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	305548	146551	189899	144693	46668962	503	16934	79452	22758	80000000	57979	0	0	0	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	374511	126303	181524	124627	40238087	342	13820	150985	25473	80000000	48994	0	0	0	multi	320
pread_nowait	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	113944	47814	99075	48489	15630166	359	12097	107300	12989	80000000	0	0	0	0	multi	0
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	136411	51136	109789	58140	18732315	292	11078	70860	17739	80000000	0	0	0	0	multi	0
mmap_naive	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	47855	23771	61989	28550	9203753	293	10361	53723	10376	0	0	0	0	0	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	80158	26564	68366	28988	9356504	303	11562	42223	10103	0	0	0	0	0	multi	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	196890	93689	158243	91703	29530520	505	19225	60023	12601	0	20036	0	0	0	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	58479	37290	93309	42729	13723850	521	11634	52697	8595	0	11530	0	0	0	multi	320
mmap_populate_read	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	202689	108256	170178	104752	33708098	591	20164	89332	11907	0	21638	0	0	0	multi	320
pread_blocking	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	333382	149248	224996	148308	47840885	340	13887	62530	31055	80000000	64799	0	0	0	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	394614	128916	184584	127332	41120871	348	13477	187260	26141	80000000	51226	0	0	0	multi	320
pread_nowait	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	123239	48721	99178	50785	16368329	520	11462	116394	9487	80000000	0	0	0	0	multi	0
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	156416	48441	116418	50068	16170289	528	13492	56669	8981	80000000	0	0	0	0	multi	0
mmap_naive	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	100172	23683	57513	27544	8916067	315	10342	87289	9528	0	0	0	0	0	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	66626	24515	56779	29371	9463866	302	10237	26181	8278	0	0	0	0	0	multi	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	195209	104769	174233	100538	32354772	554	20492	64134	12302	0	20996	0	0	0	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	153649	36898	117439	41320	13366727	486	11517	96860	10669	0	9818	0	0	0	multi	320
mmap_populate_read	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	264456	97326	200233	99355	32060006	365	17854	61406	16149	0	21619	0	0	0	multi	320
pread_blocking	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	324481	118370	282122	126566	40902841	292	13669	80883	34248	80000000	60163	0	0	0	multi	320
