label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct
hit_16k	pool	off	warm	stride	16384	250000	1	1	0	0	256	4643	7265	16361	6912	1580405	161984	5	0	0	0.0	0.000
hit_16k	hybrid	off	warm	stride	16384	250000	1	1	0	1	256	3236	4209	7606	6260	1464115	174850	5	0	0	0.0	0.000
hit_16k	hybrid_lazyring	off	warm	stride	16384	250000	1	1	0	2	256	2423	2886	3798	3479	802817	318877	5	0	0	0.0	0.000
hit_16k	uring	off	warm	stride	16384	250000	1	1	0	3	256	14762	17423	27127	14610	3093397	82757	5	0	0	100.0	0.000
hit_16k	product	off	warm	stride	16384	250000	1	1	0	4	256	2539	3016	7947	3531	832786	307402	5	0	0	0.0	0.000
hit_16k	hybrid	off	warm	stride	16384	250000	1	1	1	0	256	2369	2775	3179	3629	857422	298569	5	0	0	0.0	0.000
hit_16k	hybrid_lazyring	off	warm	stride	16384	250000	1	1	1	1	256	2067	2341	2687	3352	632500	404743	5	0	0	0.0	0.000
hit_16k	uring	off	warm	stride	16384	250000	1	1	1	2	256	13969	17587	23937	14291	2953359	86681	5	0	0	100.0	0.000
hit_16k	product	off	warm	stride	16384	250000	1	1	1	3	256	2170	2534	3262	3032	714789	358148	5	0	0	0.0	0.000
hit_16k	pool	off	warm	stride	16384	250000	1	1	1	4	256	2151	2381	2755	2986	734041	348754	5	0	0	0.0	0.000
hit_16k	hybrid_lazyring	off	warm	stride	16384	250000	1	1	2	0	256	2009	2208	4058	2830	669073	382619	5	0	0	0.0	0.000
hit_16k	uring	off	warm	stride	16384	250000	1	1	2	1	256	6968	16229	24032	12663	2648478	96659	5	0	0	100.0	0.000
hit_16k	product	off	warm	stride	16384	250000	1	1	2	2	256	2050	2307	2638	2757	671836	381045	5	0	0	0.0	0.000
