label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct
gap250k	pool	off	cold	stride	250000	4194304	1	1	0	0	128	914511	3354473	63204680	497635	532374415	240	6	0	0	99.2	0.000
gap250k	hybrid	off	cold	stride	250000	4194304	1	1	0	1	128	337462	488030	1043271	219918	53426284	2396	5	0	0	99.2	0.000
gap250k	hybrid_lazyring	off	cold	stride	250000	4194304	1	1	0	2	128	297536	1532518	2112413	602020	97915997	1307	5	0	0	99.2	0.000
gap250k	product	off	cold	stride	250000	4194304	1	1	0	3	128	1452585	1751712	2850090	1139661	176343469	726	5	0	0	99.2	0.000
gap250k	hybrid	off	cold	stride	250000	4194304	1	1	1	0	128	214652	552446	1570693	238582	45428649	2818	5	0	0	99.2	0.000
gap250k	hybrid_lazyring	off	cold	stride	250000	4194304	1	1	1	1	128	267426	308313	416376	114213	34267122	3735	5	0	0	99.2	0.000
gap250k	product	off	cold	stride	250000	4194304	1	1	1	2	128	315746	460949	1786901	199422	49641687	2578	5	0	0	99.2	0.000
gap250k	pool	off	cold	stride	250000	4194304	1	1	1	3	128	303568	395153	609275	202860	40742016	3142	6	0	0	99.2	0.000
gap250k	hybrid_lazyring	off	cold	stride	250000	4194304	1	1	2	0	128	251395	2313678	3560641	603916	101366368	1263	5	0	0	99.2	0.000
gap250k	product	off	cold	stride	250000	4194304	1	1	2	1	128	314804	380336	598824	158300	45148157	2835	5	0	0	99.2	0.000
gap250k	pool	off	cold	stride	250000	4194304	1	1	2	2	128	264391	432272	777808	188169	39324087	3255	6	0	0	99.2	0.000
gap250k	hybrid	off	cold	stride	250000	4194304	1	1	2	3	128	285685	338323	421737	127164	38139359	3356	5	0	0	99.2	0.000
gap250k	product	off	cold	stride	250000	4194304	1	1	3	0	128	1551125	1720017	3327298	1096747	177390584	722	5	0	0	99.2	0.000
gap250k	pool	off	cold	stride	250000	4194304	1	1	3	1	128	353019	433905	528708	181485	45011549	2844	6	0	0	99.2	0.000
