label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct
depth	pool	off	cold	stride	16384	4194304	1	1	0	0	256	107217	133947	173865	100555	29051278	8812	6	0	0	99.6	0.000
depth	hybrid_lazyring	off	cold	stride	16384	4194304	1	1	0	1	256	68270	80990	118335	41474	18326017	13969	5	0	0	99.2	0.000
depth	uring	off	cold	stride	16384	4194304	1	1	0	2	256	65795	82663	140354	40725	18613459	13753	5	0	0	100.0	0.000
depth	hybrid_lazyring	off	cold	stride	16384	4194304	1	1	1	0	256	74053	94887	122519	42963	19856639	12892	5	0	0	99.2	0.000
depth	uring	off	cold	stride	16384	4194304	1	1	1	1	256	72413	88345	132372	43814	19728567	12976	5	0	0	100.0	0.000
depth	pool	off	cold	stride	16384	4194304	1	1	1	2	256	109245	137005	211872	102036	29455738	8691	7	0	0	99.2	0.000
depth	uring	off	cold	stride	16384	4194304	1	1	2	0	256	78304	100171	133792	51606	21334999	11999	5	0	0	100.0	0.000
depth	pool	off	cold	stride	16384	4194304	1	1	2	1	256	118366	159683	232685	106451	32485598	7880	6	0	0	99.6	0.000
depth	hybrid_lazyring	off	cold	stride	16384	4194304	1	1	2	2	256	66950	84740	128398	42479	18449240	13876	5	0	0	99.2	0.000
depth	pool	off	cold	stride	16384	4194304	1	1	3	0	256	115160	141215	192692	100291	30060461	8516	6	0	0	99.6	0.000
depth	hybrid_lazyring	off	cold	stride	16384	4194304	1	1	3	1	256	82126	106877	143961	51268	22176864	11544	5	0	0	99.6	0.000
depth	uring	off	cold	stride	16384	4194304	1	1	3	2	256	70907	91290	128004	43307	19437083	13171	5	0	0	100.0	0.000
depth	hybrid_lazyring	off	cold	stride	16384	4194304	1	1	4	0	256	68325	86582	142870	45425	18536853	13810	5	0	0	99.2	0.000
depth	uring	off	cold	stride	16384	4194304	1	1	4	1	256	85975	102848	148795	49080	22846437	11205	5	0	0	100.0	0.000
depth	pool	off	cold	stride	16384	4194304	1	1	4	2	256	106143	130953	183960	96085	28067113	9121	6	0	0	99.6	0.000
depth	uring	off	cold	stride	16384	4194304	1	1	5	0	256	81958	98774	132210	48174	22088507	11590	5	0	0	100.0	0.000
depth	pool	off	cold	stride	16384	4194304	1	1	5	1	256	116655	141245	181002	107100	30656244	8351	6	0	0	99.6	0.000
depth	hybrid_lazyring	off	cold	stride	16384	4194304	1	1	5	2	256	80684	97712	139657	49095	21666656	11815	5	0	0	99.2	0.000
depth	pool	off	cold	stride	16384	4194304	4	1	0	0	256	196455	324593	507730	96709	13825434	18517	13	0	0	98.8	0.000
depth	hybrid_lazyring	off	cold	stride	16384	4194304	4	1	0	1	256	113709	163056	230759	28347	10505087	24369	5	0	0	99.2	0.000
depth	uring	off	cold	stride	16384	4194304	4	1	0	2	256	170240	225834	246327	21816	11785459	21722	5	0	0	100.0	0.000
depth	hybrid_lazyring	off	cold	stride	16384	4194304	4	1	1	0	256	127865	180540	233246	29070	11059076	23148	5	0	0	99.6	0.000
depth	uring	off	cold	stride	16384	4194304	4	1	1	1	256	168112	209944	271426	21598	11322837	22609	5	0	0	100.0	0.000
depth	pool	off	cold	stride	16384	4194304	4	1	1	2	256	165415	221439	338400	73041	11123491	23014	11	0	0	99.6	0.000
depth	uring	off	cold	stride	16384	4194304	4	1	2	0	256	139830	165940	189702	18833	9454239	27078	5	0	0	100.0	0.000
depth	pool	off	cold	stride	16384	4194304	4	1	2	1	256	178194	254204	325284	90745	12236923	20920	13	0	0	99.6	0.000
depth	hybrid_lazyring	off	cold	stride	16384	4194304	4	1	2	2	256	101971	141338	178016	26455	9216778	27775	5	0	0	99.2	0.000
depth	pool	off	cold	stride	16384	4194304	4	1	3	0	256	177384	249575	482838	86786	12222131	20946	13	0	0	99.2	0.000
depth	hybrid_lazyring	off	cold	stride	16384	4194304	4	1	3	1	256	106993	149325	189307	27109	9738485	26287	5	0	0	99.6	0.000
depth	uring	off	cold	stride	16384	4194304	4	1	3	2	256	191812	229891	261124	26382	12655415	20228	5	0	0	100.0	0.000
