label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct
cross	pool	off	cold	stride	16384	4194304	1	1	0	0	128	238358	406291	49347022	132090	325328738	393	6	0	0	99.2	0.000
cross	hybrid_lazyring	off	cold	stride	16384	4194304	1	1	0	1	128	93149	123391	349139	88601	15407286	8308	5	0	0	98.4	0.000
cross	uring	off	cold	stride	16384	4194304	1	1	0	2	128	87318	107254	170194	48828	12521312	10223	5	0	0	100.0	0.000
cross	hybrid_lazyring	off	cold	stride	16384	4194304	1	1	1	0	128	101072	120786	173399	75894	13750094	9309	5	0	0	97.7	0.000
cross	uring	off	cold	stride	16384	4194304	1	1	1	1	128	75136	100877	229072	50201	10767912	11887	5	0	0	100.0	0.000
cross	pool	off	cold	stride	16384	4194304	1	1	1	2	128	137031	164107	241150	128626	18149124	7053	6	0	0	99.2	0.000
cross	uring	off	cold	stride	16384	4194304	1	1	2	0	128	73995	108692	205952	63195	11047252	11587	5	0	0	100.0	0.000
cross	pool	off	cold	stride	16384	4194304	1	1	2	1	128	107291	137549	209645	107368	14623829	8753	6	0	0	99.2	0.000
cross	hybrid_lazyring	off	cold	stride	16384	4194304	1	1	2	2	128	81460	98730	160067	51507	11251839	11376	5	0	0	99.2	0.000
cross	pool	off	cold	stride	16384	4194304	1	1	3	0	128	92071	122336	164952	102763	12857014	9956	6	0	0	99.2	0.000
cross	hybrid_lazyring	off	cold	stride	16384	4194304	1	1	3	1	128	54779	73940	309420	48605	8569467	14937	5	0	0	99.2	0.000
cross	uring	off	cold	stride	16384	4194304	1	1	3	2	128	74130	97753	203605	50412	10758687	11897	5	0	0	100.0	0.000
cross	pool	off	cold	stride	16384	4194304	4	1	0	0	128	174413	304233	484065	95894	6356157	20138	12	0	0	98.4	0.000
cross	hybrid_lazyring	off	cold	stride	16384	4194304	4	1	0	1	128	139039	223628	472158	53866	6899874	18551	5	0	0	99.2	0.000
cross	uring	off	cold	stride	16384	4194304	4	1	0	2	128	122497	155697	288049	23153	4594122	27862	5	0	0	100.0	0.000
cross	hybrid_lazyring	off	cold	stride	16384	4194304	4	1	1	0	128	117280	508758	733663	53455	7787812	16436	5	0	0	99.2	0.000
cross	uring	off	cold	stride	16384	4194304	4	1	1	1	128	155059	212490	259408	26947	5382524	23781	5	0	0	100.0	0.000
cross	pool	off	cold	stride	16384	4194304	4	1	1	2	128	214142	314244	545035	120523	7842932	16320	15	0	0	99.2	0.000
cross	uring	off	cold	stride	16384	4194304	4	1	2	0	128	149042	189240	264171	23117	5508589	23236	5	0	0	100.0	0.000
cross	pool	off	cold	stride	16384	4194304	4	1	2	1	128	183154	262702	407140	100890	6743752	18981	12	0	0	98.4	0.000
cross	hybrid_lazyring	off	cold	stride	16384	4194304	4	1	2	2	128	104710	146958	188391	39993	4761636	26882	5	0	0	99.2	0.000
cross	pool	off	cold	stride	16384	4194304	4	1	3	0	128	160058	250010	506225	87194	5788523	22113	10	0	0	98.4	0.000
cross	hybrid_lazyring	off	cold	stride	16384	4194304	4	1	3	1	128	90348	132683	224610	27163	4430400	28891	5	0	0	99.2	0.000
cross	uring	off	cold	stride	16384	4194304	4	1	3	2	128	128130	151834	208177	24866	4764227	26867	5	0	0	100.0	0.000
cross	pool	off	cold	stride	16384	4194304	16	1	0	0	128	662162	1203471	1564508	136124	6879674	18606	35	0	0	99.2	0.000
cross	hybrid_lazyring	off	cold	stride	16384	4194304	16	1	0	1	128	238733	486764	544892	22912	3436452	37248	5	0	0	99.2	0.000
cross	uring	off	cold	stride	16384	4194304	16	1	0	2	128	486322	653863	654424	19881	4689027	27298	5	0	0	100.0	0.000
cross	hybrid_lazyring	off	cold	stride	16384	4194304	16	1	1	0	128	286274	382072	436502	24207	3748596	34146	5	0	0	99.2	0.000
cross	uring	off	cold	stride	16384	4194304	16	1	1	1	128	408885	522685	523509	15330	3923827	32621	5	0	0	100.0	0.000
cross	pool	off	cold	stride	16384	4194304	16	1	1	2	128	436277	922718	1265942	93899	4964628	25782	25	0	0	99.2	0.000
cross	uring	off	cold	stride	16384	4194304	16	1	2	0	128	452449	594655	595155	17205	4184991	30585	5	0	0	100.0	0.000
cross	pool	off	cold	stride	16384	4194304	16	1	2	1	128	426953	812659	1385056	112319	4826575	26520	29	0	0	99.2	0.000
cross	hybrid_lazyring	off	cold	stride	16384	4194304	16	1	2	2	128	228914	365555	469291	23172	3666764	34908	5	0	0	99.2	0.000
cross	pool	off	cold	stride	16384	4194304	16	1	3	0	128	389429	582933	777555	94077	4033246	31736	27	0	0	99.2	0.000
cross	hybrid_lazyring	off	cold	stride	16384	4194304	16	1	3	1	128	307713	369632	413191	23738	3764028	34006	5	0	0	99.2	0.000
cross	uring	off	cold	stride	16384	4194304	16	1	3	2	128	457269	532115	533030	19306	4430010	28894	5	0	0	100.0	0.000
cross	pool	off	cold	stride	16384	4194304	1	4	0	0	512	531387	46289316	58836290	113732	826687844	619	11	0	0	99.8	0.000
cross	hybrid_lazyring	off	cold	stride	16384	4194304	1	4	0	1	512	157289	242326	349717	73821	22338583	22920	5	0	0	99.2	0.000
cross	uring	off	cold	stride	16384	4194304	1	4	0	2	512	163745	232389	324199	63882	22330439	22928	5	0	0	100.0	0.000
cross	hybrid_lazyring	off	cold	stride	16384	4194304	1	4	1	0	512	157631	230151	452106	67424	23371535	21907	5	0	0	99.0	0.000
cross	uring	off	cold	stride	16384	4194304	1	4	1	1	512	167818	255461	450420	73740	24276021	21091	5	0	0	100.0	0.000
cross	pool	off	cold	stride	16384	4194304	1	4	1	2	512	184434	270545	489746	96670	25645292	19965	11	0	0	99.8	0.000
cross	uring	off	cold	stride	16384	4194304	1	4	2	0	512	171758	277357	460067	76546	25171590	20340	5	0	0	100.0	0.000
cross	pool	off	cold	stride	16384	4194304	1	4	2	1	512	171514	259629	528618	89762	25291356	20244	12	0	0	98.4	0.000
cross	hybrid_lazyring	off	cold	stride	16384	4194304	1	4	2	2	512	162776	247203	395047	69561	23111887	22153	5	0	0	99.4	0.000
cross	pool	off	cold	stride	16384	4194304	1	4	3	0	512	171004	257973	458358	83949	24513669	20886	13	0	0	99.4	0.000
cross	hybrid_lazyring	off	cold	stride	16384	4194304	1	4	3	1	512	159651	225895	288465	65083	21626675	23674	5	0	0	99.4	0.000
cross	uring	off	cold	stride	16384	4194304	1	4	3	2	512	166284	242846	349087	69023	22652259	22603	5	0	0	100.0	0.000
cross	pool	off	cold	stride	16384	4194304	4	4	0	0	512	440635	718128	1012943	76568	15607395	32805	34	0	0	99.6	0.000
cross	hybrid_lazyring	off	cold	stride	16384	4194304	4	4	0	1	512	350181	533774	1054305	41564	13746422	37246	5	0	0	99.8	0.000
cross	uring	off	cold	stride	16384	4194304	4	4	0	2	512	422133	561904	693053	35622	14380676	35603	5	0	0	100.0	0.000
cross	hybrid_lazyring	off	cold	stride	16384	4194304	4	4	1	0	512	375574	525767	841335	39884	13519536	37871	5	0	0	99.8	0.000
cross	uring	off	cold	stride	16384	4194304	4	4	1	1	512	460058	651047	872885	38861	15834909	32334	5	0	0	100.0	0.000
cross	pool	off	cold	stride	16384	4194304	4	4	1	2	512	422986	806933	1521109	83300	16557314	30923	31	0	0	99.8	0.000
cross	uring	off	cold	stride	16384	4194304	4	4	2	0	512	431662	580252	692451	37428	14668687	34904	5	0	0	100.0	0.000
cross	pool	off	cold	stride	16384	4194304	4	4	2	1	512	410893	764230	1323319	81277	15912965	32175	26	0	0	99.6	0.000
cross	hybrid_lazyring	off	cold	stride	16384	4194304	4	4	2	2	512	360420	633721	1086111	44000	14661678	34921	5	0	0	99.8	0.000
cross	pool	off	cold	stride	16384	4194304	4	4	3	0	512	378116	718945	1184494	74429	14401152	35553	30	0	0	99.8	0.000
cross	hybrid_lazyring	off	cold	stride	16384	4194304	4	4	3	1	512	354766	540489	960481	46103	14299455	35806	5	0	0	99.8	0.000
cross	uring	off	cold	stride	16384	4194304	4	4	3	2	512	477123	941083	2014677	43131	20175725	25377	5	0	0	100.0	0.000
cross	pool	off	cold	stride	16384	4194304	16	4	0	0	512	1733622	3412984	4864052	96461	17878834	28637	70	0	0	99.6	0.000
cross	hybrid_lazyring	off	cold	stride	16384	4194304	16	4	0	1	512	1056843	1468451	1629152	33459	10543403	48561	5	0	0	99.8	0.000
cross	uring	off	cold	stride	16384	4194304	16	4	0	2	512	1027268	1511535	1817509	23690	9790763	52294	5	0	0	100.0	0.000
cross	hybrid_lazyring	off	cold	stride	16384	4194304	16	4	1	0	512	895343	1457719	1638833	28139	9420284	54351	5	0	0	99.8	0.000
cross	uring	off	cold	stride	16384	4194304	16	4	1	1	512	1140838	1629081	2058768	30037	10468903	48907	5	0	0	100.0	0.000
cross	pool	off	cold	stride	16384	4194304	16	4	1	2	512	1662220	2483941	4492655	84329	15697887	32616	58	0	0	99.8	0.000
cross	uring	off	cold	stride	16384	4194304	16	4	2	0	512	1112665	1517650	1605662	24865	10103913	50673	5	0	0	100.0	0.000
cross	pool	off	cold	stride	16384	4194304	16	4	2	1	512	1554519	2780320	4083319	82447	14673343	34893	60	0	0	99.6	0.000
cross	hybrid_lazyring	off	cold	stride	16384	4194304	16	4	2	2	512	1029797	2110305	2381403	41677	14106973	36294	5	0	0	99.8	0.000
cross	pool	off	cold	stride	16384	4194304	16	4	3	0	512	1991970	3713896	6272710	116194	20458758	25026	62	0	0	99.8	0.000
cross	hybrid_lazyring	off	cold	stride	16384	4194304	16	4	3	1	512	967434	2177890	2432107	46261	11894481	43045	5	0	0	99.8	0.000
cross	uring	off	cold	stride	16384	4194304	16	4	3	2	512	1204414	2030999	2153707	27629	11479103	44603	5	0	0	100.0	0.000
cross	pool	off	cold	stride	16384	4194304	1	16	0	0	2048	1425073	2397117	57787524	94587	716099522	2860	30	0	0	99.9	0.000
cross	hybrid_lazyring	off	cold	stride	16384	4194304	1	16	0	1	2048	426111	592410	949253	51617	57844268	35405	5	0	0	99.9	0.000
cross	uring	off	cold	stride	16384	4194304	1	16	0	2	2048	441449	787054	1193469	56169	65526188	31255	5	0	0	100.0	0.000
cross	hybrid_lazyring	off	cold	stride	16384	4194304	1	16	1	0	2048	392772	630441	1313816	53039	58892537	34775	5	0	0	99.9	0.000
cross	uring	off	cold	stride	16384	4194304	1	16	1	1	2048	499806	1267030	2355323	76974	87781170	23331	5	0	0	100.0	0.000
cross	pool	off	cold	stride	16384	4194304	1	16	1	2	2048	437552	849791	1353586	77191	65392080	31319	32	0	0	99.9	0.000
cross	uring	off	cold	stride	16384	4194304	1	16	2	0	2048	429562	587840	1198379	49926	58577052	34962	5	0	0	100.0	0.000
cross	pool	off	cold	stride	16384	4194304	1	16	2	1	2048	425442	801977	1555949	78082	64869004	31571	29	0	0	99.8	0.000
cross	hybrid_lazyring	off	cold	stride	16384	4194304	1	16	2	2	2048	419926	686897	1110177	47308	60105157	34074	5	0	0	99.9	0.000
cross	pool	off	cold	stride	16384	4194304	1	16	3	0	2048	383727	611351	1048275	56677	53942028	37967	29	0	0	99.9	0.000
cross	hybrid_lazyring	off	cold	stride	16384	4194304	1	16	3	1	2048	381284	565941	723518	44727	51572850	39711	5	0	0	100.0	0.000
cross	uring	off	cold	stride	16384	4194304	1	16	3	2	2048	377003	538394	749899	42936	50881087	40251	5	0	0	100.0	0.000
cross	pool	off	cold	stride	16384	4194304	4	16	0	0	2048	1057074	1912504	3137925	51505	40865792	50115	83	0	0	100.0	0.000
cross	hybrid_lazyring	off	cold	stride	16384	4194304	4	16	0	1	2048	941230	1979731	3478701	32915	42282693	48436	5	0	0	99.9	0.000
cross	uring	off	cold	stride	16384	4194304	4	16	0	2	2048	1036159	2770418	3848716	33729	45651086	44862	5	0	0	100.0	0.000
cross	hybrid_lazyring	off	cold	stride	16384	4194304	4	16	1	0	2048	1052558	2564026	3939432	38267	48187038	42501	5	0	0	100.0	0.000
cross	uring	off	cold	stride	16384	4194304	4	16	1	1	2048	2625022	5535059	9329198	73593	105226685	19463	5	0	0	100.0	0.000
cross	pool	off	cold	stride	16384	4194304	4	16	1	2	2048	1976188	5200841	8390925	94093	83738572	24457	80	0	0	99.8	0.000
cross	uring	off	cold	stride	16384	4194304	4	16	2	0	2048	1285944	1573816	1712008	23585	39413771	51962	5	0	0	100.0	0.000
cross	pool	off	cold	stride	16384	4194304	4	16	2	1	2048	1206948	1939798	2799589	52479	43943370	46605	81	0	0	99.9	0.000
cross	hybrid_lazyring	off	cold	stride	16384	4194304	4	16	2	2	2048	1076340	2654890	4808949	37631	49617533	41276	5	0	0	100.0	0.000
cross	pool	off	cold	stride	16384	4194304	4	16	3	0	2048	2236040	3191561	5040263	102289	74643708	27437	92	0	0	99.8	0.000
