label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct
scale	pool	off	cold	stride	16384	8388608	1	1	0	0	256	1966512	2917256	5125917	112668	445211867	575	10	0	0	99.6	0.000
scale	hybrid_lazyring	off	cold	stride	16384	8388608	1	1	0	1	256	205611	304487	902520	34897	60263683	4248	9	0	0	99.6	0.000
scale	uring	off	cold	stride	16384	8388608	1	1	0	2	256	219110	278051	652049	36423	60607814	4224	9	0	0	100.0	0.000
scale	product	off	cold	stride	16384	8388608	1	1	0	3	256	212938	279830	371150	33355	57152727	4479	9	0	0	0.0	0.000
scale	hybrid_lazyring	off	cold	stride	16384	8388608	1	1	1	0	256	202634	256113	289009	34296	53731988	4764	9	0	0	99.6	0.000
scale	uring	off	cold	stride	16384	8388608	1	1	1	1	256	195456	238450	334243	29231	51470033	4974	9	0	0	100.0	0.000
scale	product	off	cold	stride	16384	8388608	1	1	1	2	256	198192	315000	400517	32312	56004597	4571	9	0	0	0.0	0.000
scale	pool	off	cold	stride	16384	8388608	1	1	1	3	256	192944	267939	399310	44279	53689372	4768	10	0	0	99.6	0.000
scale	uring	off	cold	stride	16384	8388608	1	1	2	0	256	207686	304142	385842	32565	57308348	4467	9	0	0	100.0	0.000
scale	product	off	cold	stride	16384	8388608	1	1	2	1	256	230988	344401	733365	37701	66633421	3842	9	0	0	0.0	0.000
scale	pool	off	cold	stride	16384	8388608	1	1	2	2	256	197379	239290	388494	45585	52631692	4864	10	0	0	99.6	0.000
scale	hybrid_lazyring	off	cold	stride	16384	8388608	1	1	2	3	256	195758	253774	329160	32607	52082308	4915	9	0	0	99.6	0.000
scale	product	off	cold	stride	16384	8388608	1	1	3	0	256	208611	285809	373196	31789	56351488	4543	9	0	0	0.0	0.000
scale	pool	off	cold	stride	16384	8388608	1	1	3	1	256	181223	245256	378640	39929	49969438	5123	10	0	0	99.6	0.000
scale	hybrid_lazyring	off	cold	stride	16384	8388608	1	1	3	2	256	193472	266742	389962	33269	53324301	4801	9	0	0	99.6	0.000
scale	uring	off	cold	stride	16384	8388608	1	1	3	3	256	210611	275475	361848	32294	56669464	4517	9	0	0	100.0	0.000
scale	pool	off	cold	stride	16384	8388608	1	1	4	0	256	217847	296097	425818	45701	59338350	4314	10	0	0	99.6	0.000
scale	hybrid_lazyring	off	cold	stride	16384	8388608	1	1	4	1	256	187505	252706	392850	30062	51372931	4983	9	0	0	99.6	0.000
scale	uring	off	cold	stride	16384	8388608	1	1	4	2	256	279639	377849	642392	69729	76942442	3327	9	0	0	100.0	0.000
scale	product	off	cold	stride	16384	8388608	1	1	4	3	256	202992	301970	385040	32408	57069576	4486	9	0	0	0.0	0.000
scale	hybrid_lazyring	off	cold	stride	16384	8388608	1	1	5	0	256	224541	318387	566012	40700	66306966	3861	9	0	0	99.6	0.000
scale	uring	off	cold	stride	16384	8388608	1	1	5	1	256	218219	267159	430034	50493	58997068	4339	9	0	0	100.0	0.000
scale	product	off	cold	stride	16384	8388608	1	1	5	2	256	225618	280402	361660	49225	60060625	4262	9	0	0	0.0	0.000
scale	pool	off	cold	stride	16384	8388608	1	1	5	3	256	191733	238514	333997	44741	50986962	5021	10	0	0	99.6	0.000
scale	pool	off	cold	stride	16384	8388608	2	1	0	0	256	203903	264874	380316	51981	27556060	9290	12	0	0	99.6	0.000
scale	hybrid_lazyring	off	cold	stride	16384	8388608	2	1	0	1	256	197352	240770	304944	30336	26036340	9832	9	0	0	99.6	0.000
scale	uring	off	cold	stride	16384	8388608	2	1	0	2	256	199743	250489	352250	28904	26741561	9573	9	0	0	100.0	0.000
scale	product	off	cold	stride	16384	8388608	2	1	0	3	256	198387	239419	300326	37080	26331608	9722	9	0	0	0.0	0.000
scale	hybrid_lazyring	off	cold	stride	16384	8388608	2	1	1	0	256	201947	250983	2195387	36664	33224168	7705	9	0	0	99.6	0.000
scale	uring	off	cold	stride	16384	8388608	2	1	1	1	256	203815	249945	347169	29956	26815786	9547	9	0	0	100.0	0.000
scale	product	off	cold	stride	16384	8388608	2	1	1	2	256	199723	251329	298634	36382	26682937	9594	9	0	0	0.0	0.000
scale	pool	off	cold	stride	16384	8388608	2	1	1	3	256	205045	250931	318954	48402	27074055	9456	11	0	0	99.6	0.000
scale	uring	off	cold	stride	16384	8388608	2	1	2	0	256	199639	243737	292339	29133	26218861	9764	9	0	0	100.0	0.000
scale	product	off	cold	stride	16384	8388608	2	1	2	1	256	208684	320660	418230	36049	29009959	8825	9	0	0	0.0	0.000
scale	pool	off	cold	stride	16384	8388608	2	1	2	2	256	199208	264657	327863	44472	27242044	9397	12	0	0	99.6	0.000
scale	hybrid_lazyring	off	cold	stride	16384	8388608	2	1	2	3	256	196504	269347	339716	30473	26895202	9518	9	0	0	99.6	0.000
scale	product	off	cold	stride	16384	8388608	2	1	3	0	256	202284	256996	338119	33500	26916365	9511	9	0	0	0.0	0.000
scale	pool	off	cold	stride	16384	8388608	2	1	3	1	256	202819	262282	363276	45306	27489123	9313	11	0	0	99.6	0.000
scale	hybrid_lazyring	off	cold	stride	16384	8388608	2	1	3	2	256	198910	252335	343748	30886	26834111	9540	9	0	0	99.6	0.000
scale	uring	off	cold	stride	16384	8388608	2	1	3	3	256	208661	341314	390824	29106	29805502	8589	9	0	0	100.0	0.000
scale	pool	off	cold	stride	16384	8388608	2	1	4	0	256	207294	264957	372496	49804	28005385	9141	12	0	0	99.6	0.000
scale	hybrid_lazyring	off	cold	stride	16384	8388608	2	1	4	1	256	196950	268895	330122	32212	26839813	9538	9	0	0	99.6	0.000
scale	uring	off	cold	stride	16384	8388608	2	1	4	2	256	205581	278153	338384	31279	27900533	9175	9	0	0	100.0	0.000
scale	product	off	cold	stride	16384	8388608	2	1	4	3	256	197292	234338	291673	34406	25850049	9903	9	0	0	0.0	0.000
scale	hybrid_lazyring	off	cold	stride	16384	8388608	2	1	5	0	256	195935	248538	308279	31217	26255508	9750	9	0	0	99.6	0.000
scale	uring	off	cold	stride	16384	8388608	2	1	5	1	256	205146	268736	387811	31833	27702837	9241	9	0	0	100.0	0.000
scale	product	off	cold	stride	16384	8388608	2	1	5	2	256	200314	259277	289841	32825	26585147	9629	9	0	0	0.0	0.000
scale	pool	off	cold	stride	16384	8388608	2	1	5	3	256	199533	251953	330238	44883	26616546	9618	12	0	0	99.6	0.000
scale	pool	off	cold	stride	16384	8388608	4	1	0	0	256	244948	331044	395668	50548	16353063	15655	16	0	0	99.6	0.000
scale	hybrid_lazyring	off	cold	stride	16384	8388608	4	1	0	1	256	232714	322894	378724	25166	16131369	15870	9	0	0	99.6	0.000
scale	uring	off	cold	stride	16384	8388608	4	1	0	2	256	243320	344380	488972	27422	16462894	15550	9	0	0	100.0	0.000
scale	product	off	cold	stride	16384	8388608	4	1	0	3	256	240716	315559	408719	34131	15937856	16062	9	0	0	0.0	0.000
scale	hybrid_lazyring	off	cold	stride	16384	8388608	4	1	1	0	256	238376	316614	372017	26727	16224512	15779	9	0	0	99.6	0.000
scale	uring	off	cold	stride	16384	8388608	4	1	1	1	256	244103	318718	548080	26427	16222687	15780	9	0	0	100.0	0.000
scale	product	off	cold	stride	16384	8388608	4	1	1	2	256	241109	326211	393534	33525	15971828	16028	9	0	0	0.0	0.000
scale	pool	off	cold	stride	16384	8388608	4	1	1	3	256	235084	330994	450171	44975	15972706	16027	14	0	0	99.6	0.000
scale	uring	off	cold	stride	16384	8388608	4	1	2	0	256	246231	329379	381876	27446	16184805	15817	9	0	0	100.0	0.000
scale	product	off	cold	stride	16384	8388608	4	1	2	1	256	244868	343654	426577	36672	16419951	15591	9	0	0	0.0	0.000
scale	pool	off	cold	stride	16384	8388608	4	1	2	2	256	243505	341246	419174	49729	16482250	15532	14	0	0	99.6	0.000
scale	hybrid_lazyring	off	cold	stride	16384	8388608	4	1	2	3	256	231092	323387	390258	26742	16297716	15708	9	0	0	99.6	0.000
scale	product	off	cold	stride	16384	8388608	4	1	3	0	256	243290	333446	424231	37226	16594827	15426	9	0	0	0.0	0.000
scale	pool	off	cold	stride	16384	8388608	4	1	3	1	256	242049	326375	370870	47974	15967013	16033	14	0	0	99.6	0.000
scale	hybrid_lazyring	off	cold	stride	16384	8388608	4	1	3	2	256	242505	314645	387903	27601	16226752	15776	9	0	0	99.6	0.000
scale	uring	off	cold	stride	16384	8388608	4	1	3	3	256	246799	320195	399618	32566	16427320	15584	9	0	0	100.0	0.000
scale	pool	off	cold	stride	16384	8388608	4	1	4	0	256	239580	320398	378303	48794	15943640	16057	14	0	0	99.6	0.000
scale	hybrid_lazyring	off	cold	stride	16384	8388608	4	1	4	1	256	234577	316239	384611	24795	15858851	16142	9	0	0	99.6	0.000
scale	uring	off	cold	stride	16384	8388608	4	1	4	2	256	240808	323966	381684	25801	16065750	15935	9	0	0	100.0	0.000
scale	product	off	cold	stride	16384	8388608	4	1	4	3	256	240156	322601	425883	36562	16083442	15917	9	0	0	0.0	0.000
scale	hybrid_lazyring	off	cold	stride	16384	8388608	4	1	5	0	256	234923	337754	384595	25634	16305618	15700	9	0	0	99.6	0.000
scale	uring	off	cold	stride	16384	8388608	4	1	5	1	256	240910	339613	401529	27179	16442015	15570	9	0	0	100.0	0.000
scale	product	off	cold	stride	16384	8388608	4	1	5	2	256	242491	330649	457795	35443	16258945	15745	9	0	0	0.0	0.000
scale	pool	off	cold	stride	16384	8388608	4	1	5	3	256	238012	320274	385147	47015	15807398	16195	14	0	0	99.6	0.000
scale	pool	off	cold	stride	16384	8388608	1	16	0	0	4096	330615	527551	773467	45020	95219543	43016	33	0	0	100.0	0.000
scale	hybrid_lazyring	off	cold	stride	16384	8388608	1	16	0	1	4096	331649	523221	758510	36991	94869479	43175	9	0	0	100.0	0.000
scale	uring	off	cold	stride	16384	8388608	1	16	0	2	4096	329515	525087	763898	35936	95637748	42828	9	0	0	100.0	0.000
scale	product	off	cold	stride	16384	8388608	1	16	0	3	4096	332955	546148	780004	38338	97649585	41946	9	0	0	0.0	0.000
scale	hybrid_lazyring	off	cold	stride	16384	8388608	1	16	1	0	4096	330718	535328	796285	37342	95100617	43070	9	0	0	100.0	0.000
scale	uring	off	cold	stride	16384	8388608	1	16	1	1	4096	335643	525196	743300	38089	96210181	42573	9	0	0	100.0	0.000
scale	product	off	cold	stride	16384	8388608	1	16	1	2	4096	354333	620990	1339525	40634	109415974	37435	9	0	0	0.0	0.000
scale	pool	off	cold	stride	16384	8388608	1	16	1	3	4096	355315	635317	1832982	49309	112367419	36452	41	0	0	100.0	0.000
scale	uring	off	cold	stride	16384	8388608	1	16	2	0	4096	342365	558523	912390	38166	99500064	41166	9	0	0	100.0	0.000
scale	product	off	cold	stride	16384	8388608	1	16	2	1	4096	337978	538847	779879	38555	95470048	42904	9	0	0	0.0	0.000
