label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct
d2_16k	hybrid_lazyring	off	cold	stride	16384	250000	1	1	0	0	256	75964	106848	174169	53909	21887089	11696	5	0	0	99.2	0.000
d2_16k	product	off	cold	stride	16384	250000	1	1	0	1	256	74142	101687	161837	50962	20883129	12259	5	0	0	0.0	0.000
d2_16k	product	off	cold	stride	16384	250000	1	1	1	0	256	74943	105855	187966	50942	21351431	11990	5	0	0	0.0	0.000
d2_16k	hybrid_lazyring	off	cold	stride	16384	250000	1	1	1	1	256	76892	96468	139376	56567	20896147	12251	5	0	0	98.8	0.000
d2_16k	hybrid_lazyring	off	cold	stride	16384	250000	1	1	2	0	256	75598	94141	202309	58853	21599455	11852	5	0	0	98.8	0.000
d2_16k	product	off	cold	stride	16384	250000	1	1	2	1	256	56117	79974	133182	46078	16282745	15722	5	0	0	0.0	0.000
d2_16k	product	off	cold	stride	16384	250000	1	1	3	0	256	57673	88865	136860	48901	17116170	14957	5	0	0	0.0	0.000
d2_16k	hybrid_lazyring	off	cold	stride	16384	250000	1	1	3	1	256	75754	98091	168221	47369	20932106	12230	5	0	0	99.6	0.000
d2_16k	hybrid_lazyring	off	cold	stride	16384	250000	1	1	4	0	256	69555	94587	166723	52789	19909031	12858	5	0	0	98.8	0.000
d2_16k	product	off	cold	stride	16384	250000	1	1	4	1	256	80229	108065	168061	53498	22244776	11508	5	0	0	0.0	0.000
d2_16k	product	off	cold	stride	16384	250000	1	1	5	0	256	79249	101134	150453	52896	21315965	12010	5	0	0	0.0	0.000
d2_16k	hybrid_lazyring	off	cold	stride	16384	250000	1	1	5	1	256	79657	105612	152685	50453	22015893	11628	5	0	0	99.6	0.000
d2_16k	hybrid_lazyring	off	cold	stride	16384	250000	1	1	6	0	256	71795	96215	207659	56576	20547790	12459	5	0	0	99.6	0.000
