label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct
ahead16k	pool	off	cold	stride	16384	250000	1	1	0	0	256	101779	129034	188664	95634	26237562	9757	7	0	0	99.2	0.000
ahead16k	product	off	cold	stride	16384	250000	1	1	0	1	256	64724	79652	217472	45560	18557069	13795	5	0	0	99.6	0.000
ahead16k	product_ahead	off	cold	stride	16384	250000	1	1	0	2	256	45028	62959	119818	47033	12573045	20361	5	0	0	98.8	0.000
ahead16k	product	off	cold	stride	16384	250000	1	1	1	0	256	65785	82227	111163	53525	18365763	13939	5	0	0	99.2	0.000
ahead16k	product_ahead	off	cold	stride	16384	250000	1	1	1	1	256	29531	36079	96289	32608	8691134	29455	5	0	0	99.6	0.000
ahead16k	pool	off	cold	stride	16384	250000	1	1	1	2	256	113020	142365	188903	98180	29312367	8734	6	0	0	99.6	0.000
ahead16k	product_ahead	off	cold	stride	16384	250000	1	1	2	0	256	34480	49555	103794	38064	10065779	25433	5	0	0	99.2	0.000
ahead16k	pool	off	cold	stride	16384	250000	1	1	2	1	256	132974	162254	223410	118845	35235461	7265	6	0	0	99.6	0.000
ahead16k	product	off	cold	stride	16384	250000	1	1	2	2	256	77133	90730	144882	47224	21060648	12155	5	0	0	99.6	0.000
ahead16k	pool	off	cold	stride	16384	250000	1	1	3	0	256	129426	160298	218214	113420	34429188	7436	6	0	0	99.6	0.000
ahead16k	product	off	cold	stride	16384	250000	1	1	3	1	256	70246	88897	118089	44921	19120229	13389	5	0	0	99.6	0.000
ahead16k	product_ahead	off	cold	stride	16384	250000	1	1	3	2	256	29291	51944	131254	35461	9462933	27053	5	0	0	99.6	0.000
ahead16k	product	off	cold	stride	16384	250000	1	1	4	0	256	65197	79114	148274	44278	18005202	14218	5	0	0	99.2	0.000
ahead16k	product_ahead	off	cold	stride	16384	250000	1	1	4	1	256	30532	41703	120775	35744	9191562	27852	5	0	0	99.2	0.000
ahead16k	pool	off	cold	stride	16384	250000	1	1	4	2	256	92898	124714	188804	95400	25120113	10191	6	0	0	99.6	0.000
ahead16k	product_ahead	off	cold	stride	16384	250000	1	1	5	0	256	29719	37610	130761	35304	9097340	28140	5	0	0	99.6	0.000
ahead16k	pool	off	cold	stride	16384	250000	1	1	5	1	256	112447	135164	159062	95591	27839655	9196	6	0	0	98.8	0.000
ahead16k	product	off	cold	stride	16384	250000	1	1	5	2	256	53553	63063	111472	41236	14941948	17133	5	0	0	98.4	0.000
ahead16k	pool	off	cold	stride	16384	250000	1	1	6	0	256	83552	112508	141665	89526	22835608	11211	6	0	0	99.6	0.000
ahead16k	product	off	cold	stride	16384	250000	1	1	6	1	256	61390	80873	108203	46202	16642976	15382	5	0	0	99.2	0.000
ahead16k	product_ahead	off	cold	stride	16384	250000	1	1	6	2	256	30895	65147	126576	35097	10300481	24853	5	0	0	99.6	0.000
ahead16k	product	off	cold	stride	16384	250000	1	1	7	0	256	66200	90766	180059	43981	19234006	13310	5	0	0	99.6	0.000
ahead16k	product_ahead	off	cold	stride	16384	250000	1	1	7	1	256	40721	66617	130783	35870	11694708	21890	5	0	0	98.8	0.000
ahead16k	pool	off	cold	stride	16384	250000	1	1	7	2	256	103296	126759	167944	95346	25953356	9864	6	0	0	99.2	0.000
ahead16k	product_ahead	off	cold	stride	16384	250000	1	1	8	0	256	29024	34906	61408	32820	8373222	30574	5	0	0	99.6	0.000
ahead16k	pool	off	cold	stride	16384	250000	1	1	8	1	256	103317	130714	214766	106628	26575656	9633	6	0	0	98.8	0.000
ahead16k	product	off	cold	stride	16384	250000	1	1	8	2	256	66375	81462	111025	43336	17999901	14222	5	0	0	99.6	0.000
ahead16k	pool	off	cold	stride	16384	250000	1	1	9	0	256	111994	133106	171635	121705	29830859	8582	6	0	0	99.2	0.000
ahead16k	product	off	cold	stride	16384	250000	1	1	9	1	256	65510	91624	180847	49153	18897219	13547	5	0	0	99.6	0.000
ahead16k	product_ahead	off	cold	stride	16384	250000	1	1	9	2	256	46120	73145	137164	51726	13552405	18890	5	0	0	98.0	0.000
ahead16k	product	off	cold	stride	16384	250000	1	1	10	0	256	64649	83711	122326	43128	17716033	14450	5	0	0	99.2	0.000
ahead16k	product_ahead	off	cold	stride	16384	250000	1	1	10	1	256	29522	54067	136171	35997	9923172	25798	5	0	0	99.2	0.000
ahead16k	pool	off	cold	stride	16384	250000	1	1	10	2	256	80637	121058	182347	91882	23415877	10933	6	0	0	99.2	0.000
ahead16k	product_ahead	off	cold	stride	16384	250000	1	1	11	0	256	28949	74801	148608	38723	10078989	25399	5	0	0	99.2	0.000
ahead16k	pool	off	cold	stride	16384	250000	1	1	11	1	256	111481	133994	192953	117646	29639361	8637	6	0	0	98.8	0.000
ahead16k	product	off	cold	stride	16384	250000	1	1	11	2	256	62485	74657	107342	39533	17046838	15017	5	0	0	99.6	0.000
ahead16k	pool	off	warm	stride	16384	250000	1	1	0	0	256	1973	2323	3437	3124	729192	351074	5	0	0	0.0	0.000
ahead16k	product	off	warm	stride	16384	250000	1	1	0	1	256	2004	2130	2345	2808	654399	391199	5	0	0	0.0	0.000
ahead16k	product_ahead	off	warm	stride	16384	250000	1	1	0	2	256	1882	2006	2375	2757	614756	416425	5	0	0	0.0	0.000
ahead16k	product	off	warm	stride	16384	250000	1	1	1	0	256	1759	1888	1986	2465	577957	442940	5	0	0	0.0	0.000
ahead16k	product_ahead	off	warm	stride	16384	250000	1	1	1	1	256	1858	1981	2648	2577	602292	425043	5	0	0	0.0	0.000
ahead16k	pool	off	warm	stride	16384	250000	1	1	1	2	256	1859	1958	2406	2695	613460	417305	5	0	0	0.0	0.000
ahead16k	product_ahead	off	warm	stride	16384	250000	1	1	2	0	256	2081	2182	2511	2892	664545	385226	5	0	0	0.0	0.000
ahead16k	pool	off	warm	stride	16384	250000	1	1	2	1	256	1855	1970	2072	2351	566563	451847	5	0	0	0.0	0.000
ahead16k	product	off	warm	stride	16384	250000	1	1	2	2	256	1789	1914	3386	2608	605457	422821	5	0	0	0.0	0.000
ahead16k	pool	off	warm	stride	16384	250000	1	1	3	0	256	1920	2039	2135	2593	593109	431624	5	0	0	0.0	0.000
ahead16k	product	off	warm	stride	16384	250000	1	1	3	1	256	1910	2545	3518	2978	681853	375447	5	0	0	0.0	0.000
ahead16k	product_ahead	off	warm	stride	16384	250000	1	1	3	2	256	1966	2076	2422	2800	632703	404613	5	0	0	0.0	0.000
