arm	study	temp	trace	access	chunk	repeat	frames	asks	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	gap_p50_ns	gap_p99_ns	gap_max_ns	gap_samples	bytes_copied	hop_p50_ns	other_later_p50_ns	other_later_p99_ns	other_asks	runtime	hop_count
mmap_naive	frames_250k_live.sbnd	warm	random	full	16384	1	320	320	56067	28221	67881	32176	10345353	519	11707	38137	7084	0	0	0	0	0	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	random	full	16384	1	320	320	113788	29593	78801	34351	11098828	418	9672	378879	9998	0	0	0	0	0	multi	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	random	full	16384	1	320	320	177159	76306	128532	77570	24988449	322	16519	72361	14885	0	17506	0	0	0	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	warm	random	full	16384	1	320	320	114358	42668	131626	47909	15440752	388	12209	44119	13060	0	11750	0	0	0	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	random	full	16384	1	320	320	304146	128645	198289	128755	41520242	298	13304	155840	28658	80000000	51307	0	0	0	multi	320
pread_nowait	frames_250k_live.sbnd	warm	random	full	16384	1	320	320	209292	38973	106009	45920	14908746	370	11756	227798	10509	80000000	0	0	0	0	multi	0
pread_nowait_chunked	frames_250k_live.sbnd	warm	random	full	16384	1	320	320	133739	44312	105525	48922	15794159	307	10391	51584	15792	80000000	0	0	0	0	multi	0
mmap_naive	frames_250k_live.sbnd	warm	random	full	16384	2	320	320	92730	24813	62587	30081	9720707	342	10947	56491	9139	0	0	0	0	0	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	random	full	16384	2	320	320	59851	33349	78765	37001	11888914	522	11530	66178	7261	0	0	0	0	0	multi	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	random	full	16384	2	320	320	194259	95952	196761	93699	30182639	358	20013	75456	14067	0	21307	0	0	0	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	warm	random	full	16384	2	320	320	90373	47695	141099	53996	17353808	521	13222	57697	9846	0	12402	0	0	0	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	random	full	16384	2	320	320	378717	133857	195958	134039	43269048	479	18501	119675	20028	80000000	50738	0	0	0	multi	320
pread_nowait	frames_250k_live.sbnd	warm	random	full	16384	2	320	320	188704	40352	93845	45660	14800762	390	10611	36602	11147	80000000	0	0	0	0	multi	0
pread_nowait_chunked	frames_250k_live.sbnd	warm	random	full	16384	2	320	320	83553	43579	90364	47123	15162527	379	11085	48314	11699	80000000	0	0	0	0	multi	0
mmap_naive	frames_250k_live.sbnd	warm	random	full	16384	3	320	320	85249	31879	73945	34272	11045480	291	10905	76181	12421	0	0	0	0	0	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	random	full	16384	3	320	320	50433	32136	85921	36387	11685814	500	10640	27146	8063	0	0	0	0	0	multi	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	random	full	16384	3	320	320	399386	113850	180767	111229	35967128	551	19906	87990	12697	0	20617	0	0	0	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	warm	random	full	16384	3	320	320	122821	41709	139992	49561	15969790	616	14232	101104	8362	0	11304	0	0	0	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	random	full	16384	3	320	320	367958	145679	254328	146602	47302944	375	19408	240297	23650	80000000	55150	0	0	0	multi	320
pread_nowait	frames_250k_live.sbnd	warm	random	full	16384	3	320	320	165862	42512	108905	49100	15874980	348	10850	158478	13589	80000000	0	0	0	0	multi	0
pread_nowait_chunked	frames_250k_live.sbnd	warm	random	full	16384	3	320	320	112947	55608	107532	58900	18955544	480	10937	40660	12068	80000000	0	0	0	0	multi	0
mmap_naive	frames_250k_live.sbnd	warm	random	full	16384	4	320	320	64451	34880	66674	37084	11920021	486	10623	88020	8031	0	0	0	0	0	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	random	full	16384	4	320	320	44569	29190	75840	33725	10832127	314	10706	32648	10459	0	0	0	0	0	multi	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	random	full	16384	4	320	320	407125	125672	250479	125657	40603624	556	21115	113427	13875	0	22364	0	0	0	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	warm	random	full	16384	4	320	320	49058	44789	133093	50825	16301197	507	12201	46442	10385	0	11933	0	0	0	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	random	full	16384	4	320	320	281535	135322	197990	133403	42973428	355	15228	127747	25212	80000000	52622	0	0	0	multi	320
pread_nowait	frames_250k_live.sbnd	warm	random	full	16384	4	320	320	158748	51466	112721	53953	17426897	493	12137	115832	12223	80000000	0	0	0	0	multi	0
pread_nowait_chunked	frames_250k_live.sbnd	warm	random	full	16384	4	320	320	116918	55077	114637	58733	18961858	552	15661	81174	9335	80000000	0	0	0	0	multi	0
mmap_naive	frames_250k_live.sbnd	warm	random	full	16384	5	320	320	63853	36682	92933	42148	13539924	502	11346	39731	8738	0	0	0	0	0	multi	0
