arm	study	temp	trace	access	chunk	repeat	frames	asks	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	gap_p50_ns	gap_p99_ns	gap_max_ns	gap_samples	bytes_copied	hop_p50_ns	other_later_p50_ns	other_later_p99_ns	other_asks	cpu_us	threads_max	runtime	hop_count
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	785317	1047304	2528923	937345	299914926	0	0	0	0	80000000	2041139	0	0	0	300716	6	multi	4
uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	634002	86145	1570867	138818	45107936	0	0	0	0	80000000	754948	0	0	0	48046	5	multi	3
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	1027366	90931	244199	102594	34056535	0	0	0	0	80000000	821326	0	0	0	37899	5	multi	4
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	611563	91452	1925052	196600	63425623	0	0	0	0	80000000	1798945	0	0	0	64360	6	multi	4
uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	884741	88111	165722	104840	34583857	0	0	0	0	80000000	882252	0	0	0	37200	5	multi	3
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	552323	91694	200303	106756	34907743	0	0	0	0	80000000	1127836	0	0	0	37472	5	multi	4
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	568842	87930	2466682	172155	55571989	0	0	0	0	80000000	1868374	0	0	0	56771	6	multi	4
uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	581275	97364	1640072	153927	49891414	0	0	0	0	80000000	2239154	0	0	0	50703	5	multi	4
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	465202	150289	383807	165158	53466326	0	0	0	0	80000000	1442764	0	0	0	58593	5	multi	4
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	647241	86809	1914130	149979	48558929	0	0	0	0	80000000	1853036	0	0	0	49232	6	multi	4
uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	529581	90732	260649	116529	37880560	0	0	0	0	80000000	1883019	0	0	0	39565	5	multi	4
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	679310	92125	224687	107915	35457569	0	0	0	0	80000000	1436777	0	0	0	37458	5	multi	4
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	605138	1104565	2223739	856113	273811505	0	0	0	0	80000000	1013520	0	0	0	274284	6	multi	3
