arm	study	temp	trace	access	chunk	repeat	frames	asks	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	gap_p50_ns	gap_p99_ns	gap_max_ns	gap_samples	bytes_copied	hop_p50_ns	other_later_p50_ns	other_later_p99_ns	other_asks	cpu_us	threads_max	runtime	hop_count
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	652943	1032868	2580977	896279	286959025	0	0	0	0	80000000	2432464	0	0	0	288332	5	multi	4
uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	526857	84092	1583203	215963	69612521	0	0	0	0	80000000	1014064	0	0	0	73411	5	multi	4
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	475436	84548	1218933	128269	41463870	0	0	0	0	80000000	247213	0	0	0	46013	6	multi	3
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	401917	91313	201137	106475	34645752	0	0	0	0	80000000	1218827	0	0	0	37655	5	multi	4
uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	597568	82428	1998625	161065	52177777	0	0	0	0	80000000	3372377	0	0	0	45054	5	multi	6
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	568065	79185	219687	99081	32230721	0	0	0	0	80000000	840913	0	0	0	34476	6	multi	4
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	777009	90826	227598	101677	33475849	0	0	0	0	80000000	613853	0	0	0	37930	5	multi	3
uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	651323	84245	978082	169724	55024962	0	0	0	0	80000000	801872	0	0	0	59098	5	multi	3
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	543912	82444	284630	114863	37245305	0	0	0	0	80000000	2648120	0	0	0	34797	6	multi	4
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	716404	87519	837410	121804	39861993	0	0	0	0	80000000	1668082	0	0	0	36224	5	multi	5
uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	778425	81822	209832	116370	38070808	0	0	0	0	80000000	2597836	0	0	0	36867	5	multi	4
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	599971	84495	251015	117437	38140232	0	0	0	0	80000000	2338551	0	0	0	36735	6	multi	4
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	645063	107069	2272994	385835	124022250	0	0	0	0	80000000	1485195	0	0	0	116415	5	multi	5
uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	599243	80253	1177739	191830	62060741	0	0	0	0	80000000	2235625	0	0	0	62956	5	multi	4
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	652648	81394	1081232	135134	43828372	0	0	0	0	80000000	887339	0	0	0	45282	6	multi	3
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	6	320	320	548293	85096	173512	105773	34525611	0	0	0	0	80000000	1447815	0	0	0	35519	5	multi	4
uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	6	320	320	623348	81617	2345412	160435	51994625	0	0	0	0	80000000	2478624	0	0	0	52220	5	multi	4
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	6	320	320	694123	82171	184049	108523	35374206	0	0	0	0	80000000	2450964	0	0	0	33848	6	multi	4
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	7	320	320	625323	115163	210746	129670	42225398	0	0	0	0	80000000	1296720	0	0	0	45548	5	multi	4
uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	7	320	320	591231	84158	1226763	271249	87276763	0	0	0	0	80000000	2404822	0	0	0	83416	5	multi	5
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	7	320	320	672253	83569	170240	113359	36900819	0	0	0	0	80000000	2881631	0	0	0	35495	6	multi	4
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	8	320	320	448007	84358	635087	113287	36872174	0	0	0	0	80000000	1349040	0	0	0	36433	5	multi	5
uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	8	320	320	537342	115090	2489999	229493	73933194	0	0	0	0	80000000	2293206	0	0	0	72920	5	multi	4
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	8	320	320	596641	955601	1411690	828554	265001065	0	0	0	0	80000000	2360470	0	0	0	252907	6	multi	4
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	9	320	320	809600	98326	1969990	148010	48360124	0	0	0	0	80000000	3518067	0	0	0	39694	5	multi	6
uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	9	320	320	581939	84991	1092388	133653	43366561	0	0	0	0	80000000	2738389	0	0	0	42829	5	multi	4
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	9	320	320	507918	79198	1086453	118688	38445845	0	0	0	0	80000000	2567181	0	0	0	33459	6	multi	5
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	10	320	320	545959	122142	221514	137519	44660251	0	0	0	0	80000000	1374715	0	0	0	47627	5	multi	4
uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	10	320	320	527340	84314	342157	117445	38170441	0	0	0	0	80000000	2695968	0	0	0	37249	5	multi	4
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	10	320	320	517374	83817	154117	110901	35959930	0	0	0	0	80000000	2844162	0	0	0	33536	6	multi	4
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	11	320	320	794938	95199	776468	128130	41938748	0	0	0	0	80000000	1453246	0	0	0	41167	5	multi	5
uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	11	320	320	527408	85598	180567	111497	36312692	0	0	0	0	80000000	2526619	0	0	0	36176	5	multi	4
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	11	320	320	606825	86967	175214	111973	36410439	0	0	0	0	80000000	2516821	0	0	0	35694	6	multi	4
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	12	320	320	616502	86151	646958	107817	35240518	0	0	0	0	80000000	1380351	0	0	0	34218	5	multi	5
uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	12	320	320	485306	83376	216897	110313	35849004	0	0	0	0	80000000	2230092	0	0	0	35870	5	multi	4
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	12	320	320	490542	941709	2056275	704117	225195917	0	0	0	0	80000000	2468116	0	0	0	223730	6	multi	4
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	13	320	320	1049212	84794	206170	103841	34362891	0	0	0	0	80000000	1277630	0	0	0	35456	5	multi	4
uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	13	320	320	594772	79765	184376	106976	34933590	0	0	0	0	80000000	2604292	0	0	0	34240	5	multi	4
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	13	320	320	632238	78924	197769	107743	35058697	0	0	0	0	80000000	2951775	0	0	0	32920	6	multi	4
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	14	320	320	796826	92921	238654	115766	37991589	0	0	0	0	80000000	1315444	0	0	0	39380	5	multi	4
uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	14	320	320	737095	82021	246331	109946	35959920	0	0	0	0	80000000	2434373	0	0	0	35492	5	multi	4
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	14	320	320	691119	83758	153465	111769	36406404	0	0	0	0	80000000	2753233	0	0	0	34690	6	multi	4
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	15	320	320	618810	80997	158423	101506	33241209	0	0	0	0	80000000	1313148	0	0	0	34377	5	multi	4
uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	15	320	320	530181	80643	185379	108953	35430903	0	0	0	0	80000000	2428226	0	0	0	34542	5	multi	4
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	15	320	320	661385	76974	178002	103998	33891671	0	0	0	0	80000000	2395718	0	0	0	32189	6	multi	4
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	16	320	320	455999	80239	773571	108756	35458170	0	0	0	0	80000000	1587714	0	0	0	33643	5	multi	5
uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	16	320	320	511938	123207	290393	142655	46206777	0	0	0	0	80000000	2252788	0	0	0	47890	5	multi	4
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	16	320	320	897284	83639	1227930	136397	44486183	0	0	0	0	80000000	2570736	0	0	0	42862	6	multi	4
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	17	320	320	787990	765624	1157977	555349	178246705	0	0	0	0	80000000	1534325	0	0	0	177667	5	multi	4
uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	17	320	320	874505	83355	1399106	208009	67450756	0	0	0	0	80000000	3546181	0	0	0	61547	5	multi	5
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	17	320	320	681698	91710	1205455	199829	64503110	0	0	0	0	80000000	2828825	0	0	0	62810	6	multi	4
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	18	320	320	712405	91791	256297	114109	37482502	0	0	0	0	80000000	1449769	0	0	0	39216	5	multi	4
uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	18	320	320	625314	83262	1194237	132815	43148368	0	0	0	0	80000000	2365921	0	0	0	42754	5	multi	4
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	18	320	320	642357	82699	242360	111952	36412327	0	0	0	0	80000000	2500435	0	0	0	34723	6	multi	4
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	19	320	320	525857	91010	241851	108723	35450900	0	0	0	0	80000000	1328326	0	0	0	37197	5	multi	4
uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	19	320	320	525714	80189	165113	108083	35134231	0	0	0	0	80000000	2616397	0	0	0	34876	5	multi	4
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	19	320	320	526854	80745	202049	110844	35947396	0	0	0	0	80000000	2428485	0	0	0	34456	6	multi	4
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	20	320	320	555409	93752	213300	110854	36144994	0	0	0	0	80000000	1746406	0	0	0	37571	5	multi	4
uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	20	320	320	486315	84698	277557	109385	35620126	0	0	0	0	80000000	2681517	0	0	0	35370	5	multi	4
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	20	320	320	630803	80159	161930	107161	34867419	0	0	0	0	80000000	2467949	0	0	0	32949	6	multi	4
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	21	320	320	736161	81493	738226	109490	35938030	0	0	0	0	80000000	1324762	0	0	0	34389	5	multi	5
uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	21	320	320	538557	918948	1481843	769450	246182784	0	0	0	0	80000000	943104	0	0	0	252077	5	multi	3
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	21	320	320	502074	78540	1002821	154353	49794375	0	0	0	0	80000000	1413917	0	0	0	46415	6	multi	5
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	22	320	320	541111	84850	1572294	121802	39687712	0	0	0	0	80000000	2793397	0	0	0	35275	5	multi	6
uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	22	320	320	552186	84668	491745	118422	38481839	0	0	0	0	80000000	2119322	0	0	0	38795	5	multi	4
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	22	320	320	566738	83442	1007504	134256	43451141	0	0	0	0	80000000	2640300	0	0	0	42000	6	multi	4
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	23	320	320	592802	89785	176279	104674	34229681	0	0	0	0	80000000	1226787	0	0	0	36421	5	multi	4
uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	23	320	320	569225	81433	1090873	141012	45676287	0	0	0	0	80000000	1940971	0	0	0	42426	5	multi	5
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	23	320	320	729933	84426	199719	115580	37658661	0	0	0	0	80000000	2657079	0	0	0	35599	6	multi	4
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	24	320	320	600521	86587	780148	116330	38022916	0	0	0	0	80000000	1581777	0	0	0	35530	5	multi	5
uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	24	320	320	539358	84671	2023883	228019	73431701	0	0	0	0	80000000	3053129	0	0	0	67905	5	multi	5
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	24	320	320	497082	73984	202812	101709	32993714	0	0	0	0	80000000	2646874	0	0	0	31374	6	multi	4
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	25	320	320	732513	77844	176819	92617	30508466	0	0	0	0	80000000	1211853	0	0	0	32163	5	multi	4
uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	25	320	320	543719	955266	3313208	988712	316119200	0	0	0	0	80000000	873561	0	0	0	321512	5	multi	3
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	25	320	320	599767	83218	1014785	130130	42168640	0	0	0	0	80000000	1922786	0	0	0	42015	6	multi	4
