arm	study	temp	trace	access	chunk	repeat	frames	asks	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	gap_p50_ns	gap_p99_ns	gap_max_ns	gap_samples	bytes_copied	hop_p50_ns	other_later_p50_ns	other_later_p99_ns	other_asks	cpu_us	threads_max	runtime	hop_count
pread_nowait_chunked	frames_250k_live.sbnd	cold	reverse	full	16384	1	320	320	883617	391809	938781	434772	139684932	0	0	0	0	80000000	231676	0	0	0	102011	6	multi	320
uring_pipelined	frames_250k_live.sbnd	cold	reverse	full	16384	1	320	320	685840	366383	630960	375568	120838167	0	0	0	0	80000000	155744	0	0	0	102980	5	multi	320
uring_tuned	frames_250k_live.sbnd	cold	reverse	full	16384	1	320	320	491993	482645	847446	501159	160718465	0	0	0	0	80000000	344929	0	0	0	94928	5	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	cold	reverse	full	16384	2	320	320	698580	355983	672141	376197	120806866	0	0	0	0	80000000	204837	0	0	0	96353	6	multi	320
uring_pipelined	frames_250k_live.sbnd	cold	reverse	full	16384	2	320	320	520014	364543	498388	366750	117729841	0	0	0	0	80000000	175437	0	0	0	92218	5	multi	320
uring_tuned	frames_250k_live.sbnd	cold	reverse	full	16384	2	320	320	449465	461751	825837	479959	153916704	0	0	0	0	80000000	324906	0	0	0	91212	5	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	cold	reverse	full	16384	3	320	320	597227	357974	610144	375030	120321883	0	0	0	0	80000000	214906	0	0	0	92639	6	multi	320
uring_pipelined	frames_250k_live.sbnd	cold	reverse	full	16384	3	320	320	628981	364315	539454	375118	120536134	0	0	0	0	80000000	174452	0	0	0	94020	5	multi	320
uring_tuned	frames_250k_live.sbnd	cold	reverse	full	16384	3	320	320	486892	371705	695956	395639	126973658	0	0	0	0	80000000	242605	0	0	0	86820	5	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	cold	reverse	full	16384	4	320	320	708127	319708	437502	329938	106036560	0	0	0	0	80000000	185227	0	0	0	86992	6	multi	320
uring_pipelined	frames_250k_live.sbnd	cold	reverse	full	16384	4	320	320	572860	359510	532723	370313	118980085	0	0	0	0	80000000	181020	0	0	0	90024	5	multi	320
uring_tuned	frames_250k_live.sbnd	cold	reverse	full	16384	4	320	320	441820	442475	750844	458859	147102089	0	0	0	0	80000000	295133	0	0	0	96136	5	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	cold	reverse	full	16384	5	320	320	634238	369876	674421	390019	125185263	0	0	0	0	80000000	220935	0	0	0	92307	6	multi	320
uring_pipelined	frames_250k_live.sbnd	cold	reverse	full	16384	5	320	320	795885	332583	481097	341042	109787261	0	0	0	0	80000000	160041	0	0	0	87633	5	multi	320
uring_tuned	frames_250k_live.sbnd	cold	reverse	full	16384	5	320	320	461124	388448	840883	426317	136778459	0	0	0	0	80000000	262586	0	0	0	87974	5	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	cold	reverse	full	16384	6	320	320	692696	332402	511655	340448	109405932	0	0	0	0	80000000	192545	0	0	0	88209	6	multi	320
uring_pipelined	frames_250k_live.sbnd	cold	reverse	full	16384	6	320	320	602853	291285	402442	298933	96243662	0	0	0	0	80000000	124938	0	0	0	83999	5	multi	320
uring_tuned	frames_250k_live.sbnd	cold	reverse	full	16384	6	320	320	556955	459775	857986	539785	173083432	0	0	0	0	80000000	329432	0	0	0	87953	5	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	cold	reverse	full	16384	7	320	320	655139	342984	504932	351442	112906905	0	0	0	0	80000000	199338	0	0	0	92925	6	multi	320
uring_pipelined	frames_250k_live.sbnd	cold	reverse	full	16384	7	320	320	686790	310232	595188	323495	104071539	0	0	0	0	80000000	140597	0	0	0	85261	5	multi	320
uring_tuned	frames_250k_live.sbnd	cold	reverse	full	16384	7	320	320	750496	420070	782140	453088	145702372	0	0	0	0	80000000	284610	0	0	0	95039	5	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	cold	reverse	full	16384	8	320	320	658673	395719	876069	412513	132416473	0	0	0	0	80000000	230767	0	0	0	104065	6	multi	320
uring_pipelined	frames_250k_live.sbnd	cold	reverse	full	16384	8	320	320	616517	310364	450715	317319	102122225	0	0	0	0	80000000	132502	0	0	0	89522	5	multi	320
uring_tuned	frames_250k_live.sbnd	cold	reverse	full	16384	8	320	320	444679	437182	745115	449650	144198081	0	0	0	0	80000000	299483	0	0	0	91319	5	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	cold	reverse	full	16384	9	320	320	527356	358579	514650	369906	118621956	0	0	0	0	80000000	216500	0	0	0	92386	6	multi	320
uring_pipelined	frames_250k_live.sbnd	cold	reverse	full	16384	9	320	320	651342	349308	507564	355502	114322201	0	0	0	0	80000000	186262	0	0	0	81188	5	multi	320
uring_tuned	frames_250k_live.sbnd	cold	reverse	full	16384	9	320	320	413200	314617	479627	320288	102854570	0	0	0	0	80000000	193628	0	0	0	81519	5	multi	320
