arm	study	temp	trace	access	chunk	repeat	frames	asks	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	gap_p50_ns	gap_p99_ns	gap_max_ns	gap_samples	bytes_copied	hop_p50_ns	other_later_p50_ns	other_later_p99_ns	other_asks	cpu_us	threads_max	runtime	hop_count
uring_tuned	frames_250k_live.sbnd	cold	reverse	full	16384	1	320	320	583623	408308	904527	441101	141645027	0	0	0	0	80000000	277110	0	0	0	86632	5	multi	320
uring_pipelined	frames_250k_live.sbnd	cold	reverse	full	16384	1	320	320	463394	357323	570947	369593	118587431	0	0	0	0	80000000	171956	0	0	0	90377	5	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	cold	reverse	full	16384	1	320	320	698290	393611	600812	400746	128675113	0	0	0	0	80000000	239908	0	0	0	97225	6	multi	320
uring_tuned	frames_250k_live.sbnd	cold	reverse	full	16384	2	320	320	867632	355168	617111	368325	118776660	0	0	0	0	80000000	220973	0	0	0	88708	5	multi	320
uring_pipelined	frames_250k_live.sbnd	cold	reverse	full	16384	2	320	320	477860	313207	952712	355473	114129159	0	0	0	0	80000000	136925	0	0	0	90105	5	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	cold	reverse	full	16384	2	320	320	468801	371874	452459	373021	119578348	0	0	0	0	80000000	217737	0	0	0	95703	6	multi	320
uring_tuned	frames_250k_live.sbnd	cold	reverse	full	16384	3	320	320	546501	391205	1357538	437957	140570077	0	0	0	0	80000000	256614	0	0	0	93533	5	multi	320
uring_pipelined	frames_250k_live.sbnd	cold	reverse	full	16384	3	320	320	451009	325045	528320	339541	109041422	0	0	0	0	80000000	149804	0	0	0	89026	5	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	cold	reverse	full	16384	3	320	320	546754	394632	1571384	431210	138207063	0	0	0	0	80000000	246930	0	0	0	85525	7	multi	320
uring_tuned	frames_250k_live.sbnd	cold	reverse	full	16384	4	320	320	627938	348371	643841	363904	117003136	0	0	0	0	80000000	215778	0	0	0	88339	5	multi	320
uring_pipelined	frames_250k_live.sbnd	cold	reverse	full	16384	4	320	320	682756	325027	449265	326204	104944731	0	0	0	0	80000000	133032	0	0	0	93945	5	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	cold	reverse	full	16384	4	320	320	601855	342806	499704	352966	113313936	0	0	0	0	80000000	198716	0	0	0	90951	6	multi	320
uring_tuned	frames_250k_live.sbnd	cold	reverse	full	16384	5	320	320	478885	491062	804730	502814	161326365	0	0	0	0	80000000	334484	0	0	0	101918	5	multi	320
uring_pipelined	frames_250k_live.sbnd	cold	reverse	full	16384	5	320	320	412194	380093	643270	391070	125451499	0	0	0	0	80000000	164817	0	0	0	105246	5	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	cold	reverse	full	16384	5	320	320	969272	384529	691019	399741	128621009	0	0	0	0	80000000	233592	0	0	0	98098	6	multi	320
uring_tuned	frames_250k_live.sbnd	cold	reverse	full	16384	6	320	320	451742	350224	585451	363297	116645457	0	0	0	0	80000000	202093	0	0	0	95509	5	multi	320
uring_pipelined	frames_250k_live.sbnd	cold	reverse	full	16384	6	320	320	569004	347824	538040	355456	114209281	0	0	0	0	80000000	152024	0	0	0	95297	5	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	cold	reverse	full	16384	6	320	320	1166728	398045	796163	449992	144837861	0	0	0	0	80000000	258347	0	0	0	93468	6	multi	320
uring_tuned	frames_250k_live.sbnd	cold	reverse	full	16384	7	320	320	646667	422147	781544	437917	140655337	0	0	0	0	80000000	286155	0	0	0	90070	5	multi	320
uring_pipelined	frames_250k_live.sbnd	cold	reverse	full	16384	7	320	320	694495	321035	741583	361543	116318615	0	0	0	0	80000000	137167	0	0	0	90300	5	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	cold	reverse	full	16384	7	320	320	531872	357822	743655	387847	124392491	0	0	0	0	80000000	200708	0	0	0	96710	7	multi	320
uring_tuned	frames_250k_live.sbnd	cold	reverse	full	16384	8	320	320	631644	411759	2124738	491447	157820130	0	0	0	0	80000000	268886	0	0	0	94696	5	multi	320
uring_pipelined	frames_250k_live.sbnd	cold	reverse	full	16384	8	320	320	535241	343078	556422	353769	113601109	0	0	0	0	80000000	168922	0	0	0	87703	5	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	cold	reverse	full	16384	8	320	320	552273	351781	510468	355938	114235565	0	0	0	0	80000000	200165	0	0	0	97300	6	multi	320
uring_tuned	frames_250k_live.sbnd	cold	reverse	full	16384	9	320	320	445778	513076	894911	531458	170356492	0	0	0	0	80000000	353510	0	0	0	100721	5	multi	320
uring_pipelined	frames_250k_live.sbnd	cold	reverse	full	16384	9	320	320	708943	339462	666469	359023	115471140	0	0	0	0	80000000	158825	0	0	0	88325	5	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	cold	reverse	full	16384	9	320	320	606154	356949	487385	365147	117167373	0	0	0	0	80000000	206309	0	0	0	92547	6	multi	320
