arm	study	temp	trace	access	chunk	repeat	frames	asks	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	gap_p50_ns	gap_p99_ns	gap_max_ns	gap_samples	bytes_copied	hop_p50_ns	other_later_p50_ns	other_later_p99_ns	other_asks	cpu_us	threads_max	runtime	hop_count
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	451394	144273	227523	148745	47946531	0	0	0	0	0	42287	0	0	0	56425	6	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	441147	215743	322709	218074	70134597	0	0	0	0	80000000	97187	0	0	0	77820	6	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	106589	89084	134328	91341	29322172	0	0	0	0	80000000	0	0	0	0	34125	5	multi	0
pread_pipelined_pool	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	434424	177435	277811	180491	58091268	0	0	0	0	80000000	36847	0	0	0	77808	6	multi	320
uring_naive	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	175628	109629	183217	115877	37459825	0	0	0	0	80000000	0	0	0	0	47795	5	multi	0
uring_tuned	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	91429	69754	130344	74316	24071803	0	0	0	0	80000000	0	0	0	0	30034	5	multi	0
uring_pipelined	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	92323	89492	186825	85141	27427494	0	0	0	0	80000000	0	0	0	0	34804	5	multi	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	189533	105410	199926	108334	34790119	0	0	0	0	0	37892	0	0	0	41430	6	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	317230	129314	184921	131876	42451222	0	0	0	0	80000000	59834	0	0	0	48906	6	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	91039	68909	121213	74354	23857500	0	0	0	0	80000000	0	0	0	0	29022	5	multi	0
pread_pipelined_pool	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	351397	170614	299572	177991	57226013	0	0	0	0	80000000	37137	0	0	0	76915	6	multi	320
uring_naive	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	93595	95946	155415	99897	32099746	0	0	0	0	80000000	0	0	0	0	40549	5	multi	0
uring_tuned	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	91987	82121	123122	81226	26220476	0	0	0	0	80000000	0	0	0	0	32242	5	multi	0
uring_pipelined	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	126929	93159	162038	97910	31549702	0	0	0	0	80000000	0	0	0	0	40468	5	multi	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	240720	128042	210804	132604	42613236	0	0	0	0	0	41609	0	0	0	50799	6	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	302065	166072	277973	171101	55020459	0	0	0	0	80000000	81491	0	0	0	62310	6	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	147129	84904	155780	90273	29002220	0	0	0	0	80000000	0	0	0	0	34170	5	multi	0
pread_pipelined_pool	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	376806	184485	249127	186921	60112935	0	0	0	0	80000000	40342	0	0	0	82612	6	multi	320
uring_naive	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	231320	114208	176601	115523	37231537	0	0	0	0	80000000	0	0	0	0	45626	5	multi	0
uring_tuned	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	122312	97164	146068	98898	31899449	0	0	0	0	80000000	0	0	0	0	38327	5	multi	0
uring_pipelined	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	142902	130183	215973	133571	42929079	0	0	0	0	80000000	0	0	0	0	53723	5	multi	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	335730	142768	227824	148516	47761047	0	0	0	0	0	43077	0	0	0	56847	6	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	288107	162795	269260	164352	52829464	0	0	0	0	80000000	71927	0	0	0	60199	6	multi	320
