arm	study	temp	trace	access	chunk	repeat	frames	asks	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	gap_p50_ns	gap_p99_ns	gap_max_ns	gap_samples	bytes_copied	hop_p50_ns	other_later_p50_ns	other_later_p99_ns	other_asks	cpu_us	runtime	hop_count
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	400565	41050	151627	47383	15566443	337	12089	963931	9965	0	5254	0	0	0	32798	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	396702	134453	228850	141634	45680720	488	16611	148084	23934	80000000	54913	0	0	0	75172	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	70949	48424	92191	50772	16302733	539	11384	39518	8453	80000000	0	0	0	0	37190	multi	0
pread_pipelined_pool	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	420989	152287	246071	154430	49785778	337	23275	81268	21428	80000000	20704	0	0	0	82280	multi	320
uring_naive	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	275633	61319	125145	65105	21271088	696	14005	271334	9363	80000000	0	0	0	0	48389	multi	0
uring_tuned	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	96852	53672	101928	56890	18454825	524	12085	89339	9499	80000000	0	0	0	0	42122	multi	0
uring_pipelined	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	118102	57532	109818	59865	19366658	539	11904	177171	11076	80000000	0	0	0	0	43953	multi	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	191415	87602	157825	88874	28598275	524	17913	59434	11727	0	18042	0	0	0	41854	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	306571	144202	186365	139634	44977170	513	20241	57643	19239	80000000	51349	0	0	0	73323	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	148811	38277	100863	44829	14484404	368	11354	85040	9541	80000000	0	0	0	0	32619	multi	0
pread_pipelined_pool	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	873755	148484	239810	150495	49018622	508	24022	67007	14283	80000000	15884	0	0	0	78902	multi	320
uring_naive	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	88772	53444	108054	58250	18770215	626	11415	48763	9124	80000000	0	0	0	0	42833	multi	0
uring_tuned	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	100652	46194	111520	49548	16106580	412	10059	244070	13928	80000000	0	0	0	0	36016	multi	0
uring_pipelined	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	104393	55897	114883	60276	19497181	514	11469	171071	10287	80000000	0	0	0	0	44432	multi	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	189511	99313	174808	101081	32486168	317	17695	67558	17594	0	20232	0	0	0	48905	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	377962	111592	207135	117072	37844570	279	14115	60221	27530	80000000	49466	0	0	0	64151	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	79707	46949	89683	50106	16098912	427	10377	71450	12109	80000000	0	0	0	0	36690	multi	0
pread_pipelined_pool	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	393621	141971	216863	146116	47150901	297	22958	103827	20453	80000000	23581	0	0	0	78349	multi	320
uring_naive	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	97479	54698	129883	63124	20356026	533	11793	84489	11560	80000000	0	0	0	0	46824	multi	0
uring_tuned	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	109851	51072	162530	57032	18503215	432	10806	236988	17053	80000000	0	0	0	0	41730	multi	0
uring_pipelined	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	122290	64429	129671	67360	21755391	533	12598	161613	11000	80000000	0	0	0	0	49709	multi	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	266461	97862	169389	97714	31488422	500	18302	85563	12579	0	18755	0	0	0	46669	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	362456	134976	204471	133199	43025342	357	17303	112889	23853	80000000	53480	0	0	0	71299	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	130790	44889	95254	49414	15942106	423	12211	49753	10123	80000000	0	0	0	0	35952	multi	0
pread_pipelined_pool	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	258293	165620	241622	166087	53379936	530	24543	58373	14788	80000000	23227	0	0	0	87423	multi	320
uring_naive	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	107718	53992	133649	60349	19490944	554	11671	140944	9786	80000000	0	0	0	0	43725	multi	0
uring_tuned	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	77863	47656	95204	49647	16085018	518	11524	35511	11031	80000000	0	0	0	0	36929	multi	0
uring_pipelined	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	110360	58071	134578	61924	20009796	428	10374	163146	15364	80000000	0	0	0	0	44559	multi	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	158587	117605	185933	113756	36525521	740	21124	95648	10812	0	20871	0	0	0	51731	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	436185	129116	186424	124655	40332910	298	13513	175616	27814	80000000	48812	0	0	0	67167	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	110364	43744	108116	47167	15194168	371	10059	311816	12889	80000000	0	0	0	0	34533	multi	0
pread_pipelined_pool	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	368958	151644	190120	151130	48687886	299	22335	121263	20412	80000000	19758	0	0	0	79951	multi	320
uring_naive	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	161621	59152	139898	66078	21458358	625	12627	227393	10014	80000000	0	0	0	0	48608	multi	0
uring_tuned	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	110790	53826	102725	56127	18188872	501	11588	231462	9861	80000000	0	0	0	0	40931	multi	0
uring_pipelined	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	101337	55680	99268	58333	18823514	505	11623	43556	11329	80000000	0	0	0	0	43692	multi	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	6	320	320	145860	97468	151413	94584	30382113	321	17573	60479	17116	0	19759	0	0	0	46682	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	6	320	320	235215	121996	206309	123412	39729805	314	13452	117201	30044	80000000	54977	0	0	0	69003	multi	320
