arm	study	temp	trace	access	chunk	repeat	frames	asks	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	gap_p50_ns	gap_p99_ns	gap_max_ns	gap_samples	bytes_copied	hop_p50_ns	other_later_p50_ns	other_later_p99_ns	other_asks	cpu_us	threads_max	runtime	hop_count
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	157315	85866	160492	94587	30388404	0	0	0	0	80000000	0	0	0	0	36084	5	multi	0
uring_tuned	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	104395	73031	130784	77494	25138972	0	0	0	0	80000000	0	0	0	0	29646	5	multi	0
uring_pipelined	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	165636	110337	190227	114183	36809713	0	0	0	0	80000000	0	0	0	0	45580	5	multi	0
uring_nowait_hybrid	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	98387	83062	142057	90027	28997322	0	0	0	0	80000000	0	0	0	0	33886	5	multi	0
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	143840	86510	134279	90361	29030347	0	0	0	0	80000000	0	0	0	0	33792	5	multi	0
uring_tuned	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	105437	85357	142535	88969	28702552	0	0	0	0	80000000	0	0	0	0	34501	5	multi	0
uring_pipelined	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	100545	111740	163272	112917	36283884	0	0	0	0	80000000	0	0	0	0	45231	5	multi	0
uring_nowait_hybrid	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	95124	83334	149093	90099	28957758	0	0	0	0	80000000	0	0	0	0	33808	5	multi	0
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	121134	84715	137610	91751	29444570	0	0	0	0	80000000	0	0	0	0	34929	5	multi	0
uring_tuned	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	98438	90829	144051	92042	29637044	0	0	0	0	80000000	0	0	0	0	35640	5	multi	0
uring_pipelined	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	157882	110741	169927	112513	36195445	0	0	0	0	80000000	0	0	0	0	45119	5	multi	0
uring_nowait_hybrid	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	98563	80766	133941	86764	27880474	0	0	0	0	80000000	0	0	0	0	33001	5	multi	0
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	122349	82869	142880	89148	28620181	0	0	0	0	80000000	0	0	0	0	33171	5	multi	0
uring_tuned	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	96726	96828	254045	102712	33042795	0	0	0	0	80000000	0	0	0	0	39755	5	multi	0
uring_pipelined	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	133074	117145	197393	117863	37906018	0	0	0	0	80000000	0	0	0	0	47614	5	multi	0
uring_nowait_hybrid	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	115016	89470	146008	96578	31048919	0	0	0	0	80000000	0	0	0	0	36076	5	multi	0
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	155639	91267	223498	105982	34026309	0	0	0	0	80000000	0	0	0	0	39040	5	multi	0
uring_tuned	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	138864	88142	200215	97266	31381375	0	0	0	0	80000000	0	0	0	0	37363	5	multi	0
uring_pipelined	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	105619	81819	138010	85646	27565224	0	0	0	0	80000000	0	0	0	0	34534	5	multi	0
uring_nowait_hybrid	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	167345	74459	127080	79428	25630733	0	0	0	0	80000000	0	0	0	0	31168	5	multi	0
