arm	study	temp	trace	access	chunk	repeat	frames	asks	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	gap_p50_ns	gap_p99_ns	gap_max_ns	gap_samples	bytes_copied	hop_p50_ns	other_later_p50_ns	other_later_p99_ns	other_asks	cpu_us	threads_max	runtime	hop_count
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	140287	88487	184904	93349	29999817	984	15775	137168	14934	80000000	0	72870	150552	1600	131074	5	multi	0
uring_tuned	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	344155	55081	136177	62517	20933262	595	21919	535009	19904	80000000	0	59078	156419	1600	118114	5	multi	0
uring_pipelined	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	68859	54913	148414	61173	19723712	613	16656	296032	19878	80000000	0	62368	157516	1600	123301	5	multi	0
uring_nowait_hybrid	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	135208	83191	188436	85557	27656605	550	13261	312860	18891	80000000	0	61375	159333	1600	119728	5	multi	0
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	65593	53997	104639	56401	18094021	688	12810	136035	17565	80000000	0	56969	140787	1600	108925	5	multi	0
uring_tuned	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	83641	76540	148424	75908	24478011	712	24924	632594	16263	80000000	0	50601	153827	1600	107639	5	multi	0
uring_pipelined	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	130629	84160	155280	83455	26902711	707	18545	243450	16364	80000000	0	58448	154096	1600	117573	5	multi	0
uring_nowait_hybrid	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	87454	82681	166798	83616	26881370	695	13853	157607	16926	80000000	0	61533	161593	1600	118041	5	multi	0
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	132823	58015	129686	61620	19825613	635	12339	90194	18162	80000000	0	61493	136501	1600	114772	5	multi	0
uring_tuned	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	69733	49600	140768	58379	18873002	554	22531	336908	20081	80000000	0	59861	154132	1600	115357	5	multi	0
uring_pipelined	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	92772	59138	143728	64417	20774969	598	16243	146242	18902	80000000	0	64399	159248	1600	123200	5	multi	0
uring_nowait_hybrid	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	93383	83316	163073	85669	27647415	724	13870	245306	16233	80000000	0	64514	141749	1600	122181	5	multi	0
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	148211	56255	118230	59384	19123312	708	14262	105515	16535	80000000	0	60694	138395	1600	112038	5	multi	0
uring_tuned	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	72338	47005	159920	57398	18536152	629	24290	808753	17112	80000000	0	53186	156833	1600	109307	5	multi	0
uring_pipelined	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	105777	55324	129807	61003	19663429	566	16219	227820	19626	80000000	0	65458	154383	1600	123978	5	multi	0
uring_nowait_hybrid	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	84381	81872	147488	82842	26668728	729	13859	152165	16176	80000000	0	62940	141348	1600	118696	5	multi	0
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	200294	56110	141510	60833	19650613	655	12835	126805	17521	80000000	0	62864	144081	1600	115575	5	multi	0
uring_tuned	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	70141	51118	129452	59337	19168831	566	23517	255146	19257	80000000	0	59220	159525	1600	117362	5	multi	0
uring_pipelined	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	55251	96831	168552	98440	31584297	705	20295	178636	18363	80000000	0	73851	170890	1600	139939	5	multi	0
uring_nowait_hybrid	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	100667	87856	158666	90742	29224138	667	16089	136899	18148	80000000	0	72458	150724	1600	134463	5	multi	0
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	1869782	1021902	2609429	983543	315827973	472	13856	449856	170204	80000000	2764130	64068	413255	1600	766793	6	multi	4
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	526356	1033763	1964467	821809	262980582	570	15427	1887584	112694	80000000	1391518	65388	218286	1600	648550	5	multi	5
