arm	study	temp	trace	access	chunk	repeat	frames	asks	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	gap_p50_ns	gap_p99_ns	gap_max_ns	gap_samples	bytes_copied	hop_p50_ns	other_later_p50_ns	other_later_p99_ns	other_asks	cpu_us	runtime	hop_count
mmap_blocking_touch	frames_250k_live.sbnd	cold	reverse	full	16384	1	320	320	25440251	157764	2822604	289215	117820415	357	14734	527688	71319	0	54188	0	0	0	181748	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	cold	reverse	full	16384	1	320	320	1077322	347076	818251	364448	117487939	360	13506	95297	84556	80000000	274308	0	0	0	197408	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	cold	reverse	full	16384	1	320	320	618337	357839	560010	363648	116772004	450	36053	194486	53354	80000000	173123	0	0	0	171102	multi	320
pread_pipelined_pool	frames_250k_live.sbnd	cold	reverse	full	16384	1	320	320	779514	433411	699613	458246	147105468	463	23924	119232	69722	80000000	289797	0	0	0	235789	multi	320
uring_naive	frames_250k_live.sbnd	cold	reverse	full	16384	1	320	320	563956	342899	488898	344373	110787513	442	15679	378554	68178	80000000	192920	0	0	0	182571	multi	320
uring_tuned	frames_250k_live.sbnd	cold	reverse	full	16384	1	320	320	456672	365078	842546	381956	122640729	425	16173	301142	76254	80000000	249961	0	0	0	200021	multi	320
uring_pipelined	frames_250k_live.sbnd	cold	reverse	full	16384	1	320	320	523642	330670	541294	337729	108503322	525	25023	212683	47349	80000000	165894	0	0	0	176617	multi	320
mmap_blocking_touch	frames_250k_live.sbnd	cold	reverse	full	16384	2	320	320	3624860	146751	2837199	291139	96593565	519	18901	776207	40811	0	41671	0	0	0	142938	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	cold	reverse	full	16384	2	320	320	627099	348084	645275	362764	116501951	359	13421	55558	85503	80000000	278954	0	0	0	188721	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	cold	reverse	full	16384	2	320	320	500917	328365	529446	338401	108575690	426	39073	106979	47740	80000000	162607	0	0	0	158041	multi	320
pread_pipelined_pool	frames_250k_live.sbnd	cold	reverse	full	16384	2	320	320	707295	402434	695485	424667	136377001	369	26123	103775	67864	80000000	239217	0	0	0	220656	multi	320
uring_naive	frames_250k_live.sbnd	cold	reverse	full	16384	2	320	320	627118	302519	507794	308979	99446334	406	15728	225686	84498	80000000	168014	0	0	0	160280	multi	320
uring_tuned	frames_250k_live.sbnd	cold	reverse	full	16384	2	320	320	635633	281053	501531	290118	93448731	341	10778	90865	80999	80000000	191732	0	0	0	156939	multi	320
uring_pipelined	frames_250k_live.sbnd	cold	reverse	full	16384	2	320	320	436730	318615	504234	331959	106553737	535	25549	197559	44303	80000000	166082	0	0	0	175190	multi	320
mmap_blocking_touch	frames_250k_live.sbnd	cold	reverse	full	16384	3	320	320	4343542	138205	2346686	237004	80029930	406	15352	789196	41491	0	35933	0	0	0	117435	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	cold	reverse	full	16384	3	320	320	679694	378160	693385	397200	127550857	365	13222	413592	85370	80000000	293683	0	0	0	205028	multi	320
