arm	study	temp	trace	access	chunk	repeat	frames	asks	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	gap_p50_ns	gap_p99_ns	gap_max_ns	gap_samples	bytes_copied	hop_p50_ns	other_later_p50_ns	other_later_p99_ns	other_asks	cpu_us	threads_max	runtime	hop_count
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	411311	106117	283224	112946	36505959	1167	32741	637582	12768	0	18735	101807	408283	1600	126835	15	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	377096	153733	481337	182804	58806136	542	20818	344003	38465	80000000	60111	156010	579987	1600	219678	16	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	106961	82015	168209	84931	27300011	646	14386	218833	18416	80000000	0	70815	149319	1600	127467	5	multi	0
pread_pipelined_pool	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	863606	242990	1415255	318306	102516220	335	49841	1296142	40494	80000000	35729	249825	1352059	1600	361441	23	multi	320
uring_naive	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	102112	70552	156569	75688	24588977	671	17719	473971	18422	80000000	0	77957	158492	1600	137379	5	multi	0
uring_tuned	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	111071	90095	169225	91393	29588616	640	26805	580946	19235	80000000	0	65506	180981	1600	132820	5	multi	0
uring_pipelined	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	105604	66840	156257	71330	23056964	617	21116	395907	18392	80000000	0	72365	184828	1600	141154	5	multi	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	975344	102122	240427	111479	36627452	1403	34239	666601	12290	0	21507	99500	263654	1600	130246	17	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	368432	150155	394836	163523	52697571	449	29414	515999	27235	80000000	63358	151051	405019	1600	205298	18	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	122731	82818	151022	85948	27658645	677	15098	101367	16763	80000000	0	65626	142359	1600	122574	5	multi	0
pread_pipelined_pool	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	594857	264699	1550893	312457	100409919	520	68077	659089	29829	80000000	37776	253520	1209238	1600	369213	28	multi	320
uring_naive	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	171847	67545	150200	73268	23675885	651	15485	194085	18502	80000000	0	74491	175985	1600	136765	5	multi	0
uring_tuned	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	96323	84515	170232	88464	28482550	872	31402	186363	14076	80000000	0	59359	163150	1600	123256	5	multi	0
uring_pipelined	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	83584	61390	138362	66233	21392161	769	19586	189682	16097	80000000	0	65843	167791	1600	129883	5	multi	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	247812	98177	302116	105530	33973884	1171	33488	346583	13471	0	22770	96448	259823	1600	136083	14	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	400948	156693	610800	191860	61739242	458	29946	618468	26145	80000000	67504	163580	519745	1600	214359	16	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	91288	65055	131477	68484	22019922	565	13831	113700	20103	80000000	0	69306	145488	1600	124315	5	multi	0
pread_pipelined_pool	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	503364	232065	1323520	318770	102306411	529	54595	750004	37455	80000000	30395	235077	1181765	1600	358440	29	multi	320
uring_naive	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	109873	91849	171139	96199	30952759	888	17003	374354	15043	80000000	0	78327	171075	1600	144222	5	multi	0
uring_tuned	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	196828	48340	155765	57263	22169238	687	24580	4147603	14611	80000000	0	55175	146341	1600	110718	5	multi	0
