arm	study	temp	trace	access	chunk	repeat	frames	asks	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	gap_p50_ns	gap_p99_ns	gap_max_ns	gap_samples	bytes_copied	hop_p50_ns	other_later_p50_ns	other_later_p99_ns	other_asks	cpu_us	threads_max	runtime	hop_count
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	180507	83905	141326	92176	29645995	0	0	0	0	80000000	0	0	0	0	35043	5	multi	0
uring_tuned	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	258540	158615	242368	163217	52611357	0	0	0	0	80000000	63688	0	0	0	96125	6	multi	320
uring_pipelined	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	222369	134232	246939	140385	45262339	0	0	0	0	80000000	28424	0	0	0	94937	6	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	116386	82909	133783	87506	28099216	0	0	0	0	80000000	0	0	0	0	37850	5	multi	0
uring_tuned	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	293053	173551	265454	177873	57340609	0	0	0	0	80000000	69518	0	0	0	106707	6	multi	320
uring_pipelined	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	196802	140114	215659	142480	45867134	0	0	0	0	80000000	29974	0	0	0	96687	6	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	139592	89480	176092	97257	31222544	0	0	0	0	80000000	0	0	0	0	40165	5	multi	0
uring_tuned	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	220892	153003	234700	158042	50912431	0	0	0	0	80000000	62180	0	0	0	90182	6	multi	320
uring_pipelined	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	262141	145921	244985	151461	48825236	0	0	0	0	80000000	29944	0	0	0	105872	6	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	163153	96131	171461	102013	32795098	0	0	0	0	80000000	0	0	0	0	53727	5	multi	0
uring_tuned	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	188038	143444	251308	149736	48233790	0	0	0	0	80000000	57861	0	0	0	88237	6	multi	320
uring_pipelined	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	162836	126212	255021	132892	42789434	0	0	0	0	80000000	26798	0	0	0	92157	6	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	106061	80045	128848	86892	27870271	0	0	0	0	80000000	0	0	0	0	40400	5	multi	0
uring_tuned	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	249715	149130	336607	159031	51275018	0	0	0	0	80000000	58103	0	0	0	91884	6	multi	320
uring_pipelined	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	218287	121846	232729	131908	42517691	0	0	0	0	80000000	27180	0	0	0	87635	6	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	481449	1140936	2245129	1065450	340480800	0	0	0	0	80000000	690039	0	0	0	349128	6	multi	4
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	476927	160981	299184	171727	55630913	0	0	0	0	80000000	64893	0	0	0	95137	6	multi	320
uring_pipelined	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	861521	120694	257038	136834	44722128	0	0	0	0	80000000	25726	0	0	0	86128	6	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	566358	96234	2177884	162038	52335003	0	0	0	0	80000000	1919205	0	0	0	54168	6	multi	4
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	619849	150106	261170	162503	52805155	0	0	0	0	80000000	60430	0	0	0	91381	6	multi	320
uring_pipelined	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	763416	127688	235232	137932	45017219	0	0	0	0	80000000	26697	0	0	0	91933	6	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	556810	79384	159420	99609	32389391	0	0	0	0	80000000	1341214	0	0	0	33251	6	multi	4
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	649843	162946	265331	173436	56250447	0	0	0	0	80000000	65778	0	0	0	101742	6	multi	320
uring_pipelined	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	1061907	133168	238336	145203	47667471	0	0	0	0	80000000	29237	0	0	0	97458	6	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	659462	91110	202655	116644	37946153	0	0	0	0	80000000	1991966	0	0	0	38812	6	multi	4
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	492279	142475	301458	156350	50674637	0	0	0	0	80000000	58919	0	0	0	91217	6	multi	320
uring_pipelined	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	986849	129241	216861	134773	44183126	0	0	0	0	80000000	26831	0	0	0	89176	6	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	665580	87325	1483781	144348	46790934	0	0	0	0	80000000	1642763	0	0	0	48239	6	multi	4
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	684431	155305	252013	164756	53514236	0	0	0	0	80000000	59236	0	0	0	97294	6	multi	320
uring_pipelined	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	736608	127669	226506	145766	47448458	0	0	0	0	80000000	26663	0	0	0	92725	6	multi	320
