arm	study	temp	trace	access	chunk	repeat	frames	asks	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	gap_p50_ns	gap_p99_ns	gap_max_ns	gap_samples	bytes_copied	hop_p50_ns	other_later_p50_ns	other_later_p99_ns	other_asks	cpu_ns	threads_max	runtime	hop_count
mmap_naive	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	53258	38240	95447	44700	14347536	322	14892	67254	11694	0	0	0	0	0	32764720	5	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	110796	47307	96666	53570	17241804	705	17855	64245	8067	0	0	0	0	0	38460284	5	multi	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	199393	153294	302918	161026	51645898	303	20435	74152	23170	0	29690	0	0	0	77425622	6	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	93385	62485	167593	66991	21516779	703	16873	72787	9646	0	15025	0	0	0	48797281	6	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	505128	172542	264424	166760	53809733	319	18805	66647	29615	80000000	71356	0	0	0	88772509	6	multi	320
pread_nowait	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	223169	55485	112779	61184	19787467	343	15990	69209	14480	80000000	0	0	0	0	44215396	5	multi	0
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	394948	58036	112903	63488	20694856	347	15822	132928	14150	80000000	0	0	0	0	45933072	5	multi	0
uring_nowait_hybrid	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	87841	57086	117507	63779	22247658	360	16209	119069	14926	80000000	0	0	0	0	50482696	5	multi	0
mmap_naive	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	70235	39581	90783	44850	14408595	328	14697	58404	11912	0	0	0	0	0	32042625	5	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	50568	42115	100584	47583	15260865	351	16444	69364	10764	0	0	0	0	0	33998836	5	multi	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	374600	207404	392671	223058	71628817	520	31523	85486	15787	0	45946	0	0	0	97748709	6	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	88200	56362	154609	63008	20231342	334	16178	58251	15309	0	15005	0	0	0	45172959	6	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	319616	172929	258050	170102	54685966	342	20234	173124	25310	80000000	69597	0	0	0	89641796	6	multi	320
pread_nowait	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	227042	58659	152493	65975	21333574	335	16197	179061	15649	80000000	0	0	0	0	46924205	5	multi	0
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	150122	59501	143535	66686	21480159	332	15531	86943	16089	80000000	0	0	0	0	47667313	5	multi	0
uring_nowait_hybrid	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	136143	60081	129717	67042	21704107	322	17210	249494	16098	80000000	0	0	0	0	48195087	5	multi	0
mmap_naive	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	99342	46942	93706	51959	16704461	557	16268	79740	8036	0	0	0	0	0	37219276	5	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	126895	47992	107477	53383	17186700	723	18215	76297	8078	0	0	0	0	0	38245995	5	multi	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	349076	179858	320613	183660	59027764	411	28768	145138	16623	0	34243	0	0	0	83377944	6	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	123168	55723	130353	60852	19577199	336	14620	74632	15027	0	14615	0	0	0	44899718	6	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	332719	165886	234543	162877	52407749	326	19046	73166	26911	80000000	69536	0	0	0	86133455	6	multi	320
pread_nowait	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	136513	61636	116151	66468	21388582	415	15648	54435	13071	80000000	0	0	0	0	47829766	5	multi	0
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	161711	58820	118974	64720	20856736	323	14710	70159	14955	80000000	0	0	0	0	46103620	5	multi	0
uring_nowait_hybrid	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	94643	58025	108478	63319	20445115	333	15132	130610	16051	80000000	0	0	0	0	45673208	5	multi	0
mmap_naive	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	60315	40051	98430	45593	14636894	316	14509	90522	12667	0	0	0	0	0	32509688	5	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	91391	42178	93560	48471	15584268	320	14454	194886	12086	0	0	0	0	0	34767590	5	multi	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	271507	49301	239678	69449	22474627	319	17260	88627	14310	0	7074	0	0	0	43432175	6	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	109012	55331	113416	59937	19271031	355	15295	68203	13788	0	14858	0	0	0	44195267	6	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	255500	172450	260588	168947	54241110	339	20162	111402	25307	80000000	71824	0	0	0	88245356	6	multi	320
pread_nowait	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	201789	56345	121751	62524	20198715	375	16160	316573	12625	80000000	0	0	0	0	44426912	5	multi	0
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	144456	57523	125735	65869	21219898	347	15387	59099	15899	80000000	0	0	0	0	46999946	5	multi	0
uring_nowait_hybrid	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	120112	65018	133623	71497	23427567	722	17408	77702	10182	80000000	0	0	0	0	52584515	5	multi	0
mmap_naive	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	54941	44807	102173	50128	16080996	704	15925	83489	8377	0	0	0	0	0	35780270	5	multi	0
