run	arm	samples	p50_ns	p50_ci_lo_ns	p50_ci_hi_ns	p99_ns	p99_ci_lo_ns	p99_ci_hi_ns
1	mmap_naive	2871	43147	42678	43677	94211	90783	100092
1	mmap_hybrid_mincore	2871	43905	43457	44385	100097	95257	107419
1	mmap_blocking_touch	2871	152295	148516	155221	375214	367575	381478
1	mmap_touch_in_place	2871	58523	58050	59053	164758	148557	177863
1	pread_blocking_pooled	2871	170607	168444	172972	281192	264290	295233
1	pread_nowait	2871	57415	56875	57924	121751	115776	129534
1	pread_nowait_chunked	2871	60894	60302	61406	131821	125735	137578
1	uring_nowait_hybrid	2871	62424	61913	62934	128068	123304	133623
2	mmap_naive	2871	41675	41111	42244	102862	97416	113690
2	mmap_hybrid_mincore	2871	42850	42325	43515	104530	99033	108003
2	mmap_blocking_touch	2871	152668	150675	154854	371194	360376	376920
2	mmap_touch_in_place	2871	60180	59586	60722	237278	211878	264442
2	pread_blocking_pooled	2871	173125	170553	175471	330873	314477	364503
2	pread_nowait	2871	61560	60724	62564	143735	136550	148841
2	pread_nowait_chunked	2871	61572	60706	62286	143545	134447	159075
2	uring_nowait_hybrid	2871	63034	61894	63932	133445	126757	140394
