round	cell	mode	frames	window	p50_ns	p90_ns	p99_ns	cpu_ns_per_frame	wall_ms	MB_per_s	pool_allocs	datagrams_per_frame	sendmsg_per_frame	mtu	hit_rate	cache_MB
1	cine	write_all	960	65536	118295	937058	2442480	621104	511	469.6	0	178.9	18.2	1452	0.00	0.0
1	cine	cache:32	960	65536	572	153481	1475109	555037	503	476.3	0	178.5	18.2	1452	0.92	10.0
1	cine	preloaded	960	65536	739	132140	844436	495633	475	504.5	0	178.4	18.2	1452	1.00	0.0
1	sweep	write_all	960	65536	139329	1047558	2113508	702102	564	425.3	0	178.7	18.1	1452	0.00	0.0
1	sweep	cache:20	960	65536	149805	1244422	2692870	751966	599	400.2	0	178.9	18.2	1452	0.00	20.8
1	sweep	cache:96	960	65536	174572	1203316	3073969	740839	588	407.7	0	179.1	18.2	1452	0.33	80.0
2	cine	write_all	960	65536	125028	1002163	3233400	692625	557	430.4	0	179.5	18.2	1452	0.00	0.0
2	cine	cache:32	960	65536	520	120401	1381619	500556	460	521.0	0	180.1	18.3	1452	0.92	10.0
2	cine	preloaded	960	65536	636	2915	364282	526055	489	490.7	0	178.6	18.2	1452	1.00	0.0
2	sweep	write_all	960	65536	136889	1036141	2441114	708453	582	412.0	0	178.3	18.1	1452	0.00	0.0
2	sweep	cache:20	960	65536	153410	1065536	2801778	737924	588	407.5	0	180.1	18.3	1452	0.00	20.8
2	sweep	cache:96	960	65536	149650	1064335	2640018	687430	562	427.1	0	180.0	18.3	1452	0.33	80.0
3	cine	write_all	960	65536	113555	1003955	2779242	670438	560	428.5	0	179.8	18.3	1452	0.00	0.0
3	cine	cache:32	960	65536	677	220290	1216266	539414	488	491.7	0	178.2	18.1	1452	0.92	10.0
3	cine	preloaded	960	65536	615	17008	543898	518110	477	502.3	0	178.7	18.2	1452	1.00	0.0
3	sweep	write_all	960	65536	133684	1041445	2603298	709858	573	418.8	0	178.8	18.1	1452	0.00	0.0
3	sweep	cache:20	960	65536	149550	1065644	2920617	746051	596	402.1	0	179.2	18.2	1452	0.00	20.8
3	sweep	cache:96	960	65536	164508	1229146	3453333	756129	601	398.7	0	179.1	18.2	1452	0.33	80.0
4	cine	write_all	960	65536	122907	956540	3355924	733676	597	401.6	0	179.2	18.2	1452	0.00	0.0
4	cine	cache:32	960	65536	1032	266435	1966677	574041	508	471.8	0	181.3	18.4	1452	0.92	10.0
4	cine	preloaded	960	65536	426	1967	317430	494867	471	509.2	0	179.4	18.2	1452	1.00	0.0
4	sweep	write_all	960	65536	140214	1082275	2718965	727791	588	408.1	0	178.9	18.2	1452	0.00	0.0
4	sweep	cache:20	960	65536	134315	1170908	3537789	702268	553	433.3	0	179.3	18.2	1452	0.00	20.8
4	sweep	cache:96	960	65536	157746	1151091	3138326	724460	574	418.1	0	179.7	18.2	1452	0.33	80.0
5	cine	write_all	960	65536	123616	907332	2604639	676334	565	424.6	0	178.8	18.2	1452	0.00	0.0
5	cine	cache:32	960	65536	696	193848	1710834	525391	481	498.8	0	180.2	18.3	1452	0.92	10.0
5	cine	preloaded	960	65536	672	131082	775016	539792	478	501.3	0	180.0	18.3	1452	1.00	0.0
5	sweep	write_all	960	65536	112931	970539	2842962	678306	555	432.0	0	180.2	18.3	1452	0.00	0.0
5	sweep	cache:20	960	65536	133734	1203231	3737145	713765	562	426.4	0	180.8	18.3	1452	0.00	20.8
5	sweep	cache:96	960	65536	158610	1064852	3278794	704312	569	421.1	0	179.7	18.2	1452	0.33	80.0
