round	mode	frames	window	p50_ns	p90_ns	p99_ns	cpu_ns_per_frame	wall_ms	MB_per_s	pool_allocs	datagrams_per_frame	sendmsg_per_frame	mtu
1	write_all	960	65536	132001	949128	2349617	667945	539	444.9	0	178.8	18.2	1452
1	write_chunk	960	65536	128104	1020499	2304240	651963	524	457.8	793	178.1	18.1	1452
2	write_all	960	65536	141601	1027642	2560817	713310	577	415.7	0	179.9	18.3	1452
2	write_chunk	960	65536	138328	915582	2543544	687101	547	438.0	772	178.2	18.2	1452
3	write_all	960	65536	119137	1015619	2818300	660340	531	451.8	0	181.7	18.4	1452
3	write_chunk	960	65536	117532	1006879	3148216	665549	533	449.7	760	180.8	18.4	1452
4	write_all	960	65536	130360	920035	2657616	673983	552	434.1	0	178.9	18.2	1452
4	write_chunk	960	65536	115136	949575	3135424	651200	529	453.0	779	179.6	18.3	1452
5	write_all	960	65536	106172	812289	2802915	624181	511	469.1	0	178.7	18.1	1452
5	write_chunk	960	65536	122635	885771	2568991	629238	522	459.4	819	179.9	18.3	1452
6	write_all	960	65536	108694	1039081	3062787	679164	559	429.0	0	179.8	18.3	1452
6	write_chunk	960	65536	104377	823366	2050017	634247	516	464.4	751	178.9	18.2	1452
7	write_all	960	65536	108617	896995	3325049	637479	514	466.2	0	179.7	18.2	1452
7	write_chunk	960	65536	113550	898158	2836538	623118	516	464.3	858	178.8	18.2	1452
8	write_all	960	65536	123545	1032465	3467793	684119	548	437.9	0	179.2	18.2	1452
8	write_chunk	960	65536	125429	980868	2606067	663677	538	445.9	793	179.0	18.2	1452
9	write_all	960	65536	125280	1006804	3519123	677444	548	437.7	0	179.4	18.2	1452
9	write_chunk	960	65536	136733	1106468	2719787	696199	566	423.9	799	179.1	18.3	1452
10	write_all	960	65536	138322	1140640	2902179	710242	564	425.5	0	178.9	18.2	1452
10	write_chunk	960	65536	131953	969523	2785958	673098	544	440.9	800	178.7	18.2	1452
11	write_all	960	65536	132245	1052645	2780284	695168	559	428.8	0	179.2	18.2	1452
11	write_chunk	960	65536	115767	1012703	2858567	670211	539	444.9	720	178.6	18.2	1452
12	write_all	960	65536	121751	987479	3687014	661607	537	446.7	0	179.0	18.2	1452
12	write_chunk	960	65536	99582	781233	2478025	628064	526	455.8	860	180.8	18.4	1452
