prefix	arm	study	temp	trace	access	chunk	repeat	frames	asks	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	gap_p50_ns	gap_p99_ns	gap_max_ns	gap_samples	bytes_copied	hop_p50_ns	other_later_p50_ns	other_later_p99_ns	other_asks	cpu_ns	threads_max	runtime	hop_count
4096	pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	177657	84462	136688	86521	27860594	298	54569	205154	9726	1310720	49910	0	0	0	39625950	6	multi	320
4096	pread_nowait_prefetch	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	138082	4470	67572	17384	14999597	499	55144	147729	5449	1310720	31299	0	0	0	29495065	6	multi	67
4096	pread_blocking_pooled	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	213513	73121	127900	76654	24743582	260	27625	146120	17144	1310720	68865	0	0	0	40520977	7	multi	320
4096	uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	378500	104930	179548	104807	34995749	265	16940	1484284	30885	1310720	67879	0	0	0	53670671	5	multi	319
4096	pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	200613	55016	138004	67345	21756852	262	90590	156280	2878	1310720	30088	0	0	0	26430293	6	multi	319
4096	pread_nowait_prefetch	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	142167	17317	92696	24298	16129417	260	42261	146223	6572	1310720	79827	0	0	0	20269119	6	multi	37
4096	pread_blocking_pooled	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	209994	83024	180797	89695	28905618	258	18178	82715	25351	1310720	80028	0	0	0	46227517	7	multi	320
4096	uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	149218	90159	155717	92674	30056484	502	73001	414544	6814	1310720	57338	0	0	0	46572675	5	multi	305
4096	pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	243413	91660	174672	99335	32043912	263	55324	212381	16078	1310720	61386	0	0	0	43551754	6	multi	319
4096	pread_nowait_prefetch	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	143458	3948	54276	8650	11732196	255	16616	130882	10427	1310720	71852	0	0	0	21551577	6	multi	4
4096	pread_blocking_pooled	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	199313	92399	207789	104189	33515068	255	16549	122640	36954	1310720	89512	0	0	0	53760930	7	multi	320
4096	uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	165527	69260	129284	73469	23811472	353	18551	89249	15092	1310720	38636	0	0	0	38676078	5	multi	319
4096	pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	149324	85247	149647	90202	29029591	2730	111108	143919	1258	1310720	59806	0	0	0	35432190	6	multi	315
4096	pread_nowait_prefetch	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	143470	3807	51894	7748	11325964	512	50490	83751	2751	1310720	89904	0	0	0	22827337	6	multi	4
4096	pread_blocking_pooled	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	239451	98239	186559	109175	35176752	390	28769	105424	22380	1310720	92136	0	0	0	57018740	7	multi	320
4096	uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	91785	57249	152076	73272	23635644	260	18024	570994	21355	1310720	56016	0	0	0	42004497	5	multi	163
4096	pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	194104	86616	150822	91369	29449050	2830	107604	158963	1238	1310720	60648	0	0	0	36377723	6	multi	316
4096	pread_nowait_prefetch	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	124809	34354	84098	31461	18692086	282	64825	138423	5617	1310720	50436	0	0	0	32161145	6	multi	76
4096	pread_blocking_pooled	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	198773	88107	181245	96767	31177245	255	17593	98308	31694	1310720	83717	0	0	0	51446642	7	multi	320
4096	uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	132794	82174	178664	89136	28830212	258	19480	109485	25754	1310720	45703	0	0	0	43724021	5	multi	314
4096	pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	6	320	320	145721	103532	149403	102336	32934101	257	60980	164939	15723	1310720	68353	0	0	0	45799127	6	multi	318
4096	pread_nowait_prefetch	frames_250k_live.sbnd	cold	forward	full	16384	6	320	320	160783	18975	68333	19147	14519270	339	20502	182538	9114	1310720	100614	0	0	0	28511917	6	multi	4
4096	pread_blocking_pooled	frames_250k_live.sbnd	cold	forward	full	16384	6	320	320	221371	78259	152126	85199	27497284	264	29610	149046	17738	1310720	75075	0	0	0	45472679	7	multi	320
4096	uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	6	320	320	141475	73229	146259	76521	24721406	466	23600	163513	12138	1310720	40740	0	0	0	40475064	5	multi	319
4096	pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	7	320	320	156765	60877	150826	72142	23254578	363	93147	173590	2167	1310720	32015	0	0	0	28657009	6	multi	319
