# depth_read_bench · lab/fixtures/frames_16k_big/frames_16k_big.sbnd · asks=1024 size=16384 stride=250000 repeats=6 workers=4
arm	temp	depth	repeat	asks	p50_ns	p99_ns	wall_ns	cpu_ns	threads	resident_pct	asks_per_s	cpu_ns_per_ask
pool	cold	1	0	1024	71659	254847	79314860	59664770	7	0.000	12911	58266
uring	cold	1	0	1024	76361	128306	77401136	52827587	5	0.000	13230	51589
hybrid	cold	1	0	1024	75677	142723	75919291	51696809	5	0.000	13488	50485
uring	cold	1	1	1024	72534	158540	73510714	51466652	5	0.000	13930	50260
hybrid	cold	1	1	1024	78222	157536	78113548	53893705	5	0.000	13109	52630
pool	cold	1	1	1024	67726	153654	67443369	55507839	6	0.000	15183	54206
hybrid	cold	1	2	1024	79515	230185	80646523	55440512	5	0.000	12697	54141
pool	cold	1	2	1024	64475	113870	64421284	52369605	6	0.000	15895	51142
uring	cold	1	2	1024	73998	136010	72958900	51339314	5	0.000	14035	50136
pool	cold	1	3	1024	60417	158336	60198172	50399400	7	0.000	17010	49218
uring	cold	1	3	1024	70363	117039	70855407	48314893	5	0.000	14452	47182
hybrid	cold	1	3	1024	68641	117832	67979577	48407142	5	0.000	15063	47272
uring	cold	1	4	1024	58684	132790	61137305	48270405	5	0.000	16749	47139
hybrid	cold	1	4	1024	73451	137758	74047807	50730253	5	0.000	13829	49541
pool	cold	1	4	1024	61635	110368	61412564	50601356	6	0.000	16674	49415
hybrid	cold	1	5	1024	67877	132882	66496646	47387629	5	0.000	15399	46276
pool	cold	1	5	1024	60857	102117	60639967	50405799	6	0.000	16887	49224
uring	cold	1	5	1024	73819	143108	73325327	51343489	5	0.000	13965	50140
pool	cold	2	0	1024	83299	309626	43365546	51590003	9	0.000	23613	50380
uring	cold	2	0	1024	84940	281845	40565812	30384615	5	0.000	25243	29672
hybrid	cold	2	0	1024	68870	260518	38434846	28180838	5	0.000	26642	27520
uring	cold	2	1	1024	85250	199604	41197026	31020371	5	0.000	24856	30293
hybrid	cold	2	1	1024	63654	157566	36010019	27156750	5	0.000	28437	26520
pool	cold	2	1	1024	74699	253093	38245690	48914728	8	0.000	26774	47768
hybrid	cold	2	2	1024	61869	169715	34709081	27228494	5	0.000	29502	26590
pool	cold	2	2	1024	74249	185324	37518897	47118722	9	0.000	27293	46014
uring	cold	2	2	1024	76865	272384	38535129	28007316	5	0.000	26573	27350
pool	cold	2	3	1024	71387	258793	36943411	47105974	8	0.000	27718	46001
uring	cold	2	3	1024	77964	174222	37764056	27805666	5	0.000	27116	27153
hybrid	cold	2	3	1024	64928	164239	36276101	28050541	5	0.000	28228	27393
uring	cold	2	4	1024	78101	327856	39622331	27729747	5	0.000	25844	27079
hybrid	cold	2	4	1024	68971	165246	39435741	28160734	5	0.000	25966	27500
pool	cold	2	4	1024	83734	177841	43232461	53758660	9	0.000	23686	52498
hybrid	cold	2	5	1024	75121	215152	42518120	32215233	5	0.000	24084	31460
pool	cold	2	5	1024	79927	430046	42952992	52571891	8	0.000	23840	51339
uring	cold	2	5	1024	90128	336095	45701757	31063308	5	0.000	22406	30335
pool	cold	4	0	1024	109554	522399	29335874	43328063	12	0.000	34906	42312
uring	cold	4	0	1024	115439	505770	32297801	17724622	5	0.000	31705	17309
hybrid	cold	4	0	1024	82298	462151	28662022	18406368	5	0.000	35727	17974
uring	cold	4	1	1024	105834	436877	29014869	17211619	5	0.000	35292	16808
hybrid	cold	4	1	1024	87671	516566	29386355	19352249	5	0.000	34846	18898
pool	cold	4	1	1024	99910	513950	26905963	40373402	13	0.000	38058	39427
hybrid	cold	4	2	1024	88360	510744	28531910	18311230	5	0.000	35890	17882
pool	cold	4	2	1024	101270	485875	27352262	42322067	11	0.000	37437	41330
uring	cold	4	2	1024	119050	519982	31315915	17405347	5	0.000	32699	16997
pool	cold	4	3	1024	96020	486289	26974977	39946204	12	0.000	37961	39009
uring	cold	4	3	1024	105576	445599	29687216	15758779	5	0.000	34493	15389
hybrid	cold	4	3	1024	80083	264825	26591526	17129628	5	0.000	38509	16728
uring	cold	4	4	1024	107648	441177	29349952	16173346	5	0.000	34889	15794
hybrid	cold	4	4	1024	74125	350944	24625977	17805239	5	0.000	41582	17387
pool	cold	4	4	1024	98787	507605	26400158	39473286	11	0.000	38788	38548
hybrid	cold	4	5	1024	78931	471158	26388679	17557315	5	0.000	38805	17145
pool	cold	4	5	1024	108009	488885	28692741	45569013	16	0.000	35688	44500
uring	cold	4	5	1024	100837	479837	28117606	15080056	5	0.000	36418	14726
pool	cold	8	0	1024	147354	896281	21149547	37530338	20	0.000	48417	36650
uring	cold	8	0	1024	182452	880922	24077684	12246927	5	0.000	42529	11959
hybrid	cold	8	0	1024	111309	880701	19648794	12195404	5	0.000	52115	11909
uring	cold	8	1	1024	151669	911446	22660741	11125926	5	0.000	45188	10865
hybrid	cold	8	1	1024	126630	1139834	22727120	13452736	5	0.000	45056	13137
pool	cold	8	1	1024	166506	1029591	23644404	40926193	18	0.000	43308	39966
hybrid	cold	8	2	1024	132591	1061999	24023511	14588386	5	0.000	42625	14246
pool	cold	8	2	1024	161315	1024381	22970420	41306943	19	0.000	44579	40338
uring	cold	8	2	1024	186823	989518	26745834	12938425	5	0.000	38286	12635
pool	cold	8	3	1024	180410	1384523	26848206	40402960	16	0.000	38140	39456
uring	cold	8	3	1024	177272	962131	25049941	13673330	5	0.000	40878	13352
hybrid	cold	8	3	1024	123251	1035142	22773329	14421702	5	0.000	44965	14083
uring	cold	8	4	1024	188380	743507	24924329	12833927	5	0.000	41084	12533
hybrid	cold	8	4	1024	120049	939872	21420755	13480194	5	0.000	47804	13164
pool	cold	8	4	1024	164986	980418	22430647	41599893	17	0.000	45652	40624
hybrid	cold	8	5	1024	119545	946081	21133412	13127692	5	0.000	48454	12820
pool	cold	8	5	1024	149288	934267	21788177	37929488	18	0.000	46998	37040
uring	cold	8	5	1024	161478	867170	23289060	11999569	5	0.000	43969	11718
pool	cold	16	0	1024	256916	1372686	17831686	36080966	30	0.000	57426	35235
uring	cold	16	0	1024	328862	1580309	22655847	9995353	5	0.000	45198	9761
hybrid	cold	16	0	1024	186710	1297973	17303379	10855050	5	0.000	59179	10600
uring	cold	16	1	1024	339053	1385414	22498662	10522323	5	0.000	45514	10275
hybrid	cold	16	1	1024	210280	5277789	24215694	11515796	5	0.000	42287	11245
pool	cold	16	1	1024	255327	1557793	18722291	36878433	30	0.000	54694	36014
hybrid	cold	16	2	1024	232324	1479144	20284860	11974933	5	0.000	50481	11694
pool	cold	16	2	1024	269687	1475193	19582246	36705033	30	0.000	52292	35844
uring	cold	16	2	1024	363107	1557775	25331781	11574872	5	0.000	40424	11303
pool	cold	16	3	1024	241648	1528267	17459865	35070557	29	0.000	58649	34248
uring	cold	16	3	1024	362169	1781134	25383387	11026109	5	0.000	40341	10767
hybrid	cold	16	3	1024	205581	1411833	18924234	11181532	5	0.000	54111	10919
uring	cold	16	4	1024	327237	1846262	23351828	10526300	5	0.000	43851	10279
hybrid	cold	16	4	1024	176998	1618462	16236652	9554100	5	0.000	63067	9330
pool	cold	16	4	1024	234420	1509133	17090947	32737534	28	0.000	59915	31970
hybrid	cold	16	5	1024	186046	1820305	17044658	10055583	5	0.000	60077	9819
pool	cold	16	5	1024	231421	1267485	16816483	34551365	37	0.000	60893	33741
uring	cold	16	5	1024	314677	1577858	21422148	9253030	5	0.000	47801	9036
pool	cold	32	0	1024	362097	1550003	12981563	31282978	50	0.000	78881	30549
uring	cold	32	0	1024	597308	2523494	19990990	9490642	5	0.000	51223	9268
hybrid	cold	32	0	1024	284388	2066609	13271487	8587843	5	0.000	77158	8386
uring	cold	32	1	1024	617585	2635944	20884916	9348300	5	0.000	49031	9129
hybrid	cold	32	1	1024	314754	2225013	14793664	9649579	5	0.000	69219	9423
pool	cold	32	1	1024	409907	1945839	15666120	34265175	49	0.000	65364	33462
hybrid	cold	32	2	1024	314841	1991681	14484003	8692418	5	0.000	70699	8488
pool	cold	32	2	1024	442851	1789707	15964942	35860623	52	0.000	64141	35020
uring	cold	32	2	1024	565226	2746701	19582165	9138628	5	0.000	52292	8924
pool	cold	32	3	1024	344185	1764413	13291774	33586756	50	0.000	77040	32799
uring	cold	32	3	1024	626295	2921295	21284800	10026835	5	0.000	48109	9791
hybrid	cold	32	3	1024	330334	2292673	16800226	12245901	5	0.000	60952	11958
uring	cold	32	4	1024	571250	2478255	19634430	9415202	5	0.000	52153	9194
hybrid	cold	32	4	1024	338139	2000177	15792403	10173537	5	0.000	64841	9935
pool	cold	32	4	1024	333568	2058094	14236552	32724668	48	0.000	71928	31957
hybrid	cold	32	5	1024	306198	1983563	14349970	9223746	5	0.000	71359	9007
pool	cold	32	5	1024	383589	1295410	13664374	33849825	47	0.000	74939	33056
uring	cold	32	5	1024	546630	2698182	19451484	9162157	5	0.000	52644	8947
pool	cold	64	0	1024	680945	2880531	13622731	36693666	79	0.000	75168	35833
uring	cold	64	0	1024	684444	2637651	12737410	8526070	5	0.000	80393	8326
hybrid	cold	64	0	1024	555676	2438211	12645353	10275778	5	0.000	80978	10034
uring	cold	64	1	1024	642282	2234023	11812304	8787263	5	0.000	86689	8581
hybrid	cold	64	1	1024	614056	2472700	13397173	10864088	5	0.000	76434	10609
pool	cold	64	1	1024	673605	2939094	14835135	39651491	74	0.000	69025	38722
hybrid	cold	64	2	1024	561442	2398731	12260948	9489219	5	0.000	83517	9266
pool	cold	64	2	1024	673473	3115295	14348711	39615640	74	0.000	71365	38687
uring	cold	64	2	1024	685919	2417968	12403249	8667067	5	0.000	82559	8463
pool	cold	64	3	1024	680119	2204505	14384111	38321640	80	0.000	71190	37423
uring	cold	64	3	1024	657986	2759766	12630328	8382981	5	0.000	81075	8186
hybrid	cold	64	3	1024	446694	1734966	11323345	10032718	5	0.000	90433	9797
uring	cold	64	4	1024	662434	2708970	12568242	9102607	5	0.000	81475	8889
hybrid	cold	64	4	1024	494139	2265307	11972259	9590144	5	0.000	85531	9365
pool	cold	64	4	1024	786763	3308318	18347054	37869574	89	0.000	55813	36982
hybrid	cold	64	5	1024	581045	2415316	12489149	9369292	5	0.000	81991	9149
pool	cold	64	5	1024	792819	2965531	17049262	42770935	66	0.000	60061	41768
uring	cold	64	5	1024	703157	2971984	13942674	9758040	5	0.000	73444	9529
pool	warm	1	0	1024	2013	3557	2515458	2406909	5	0.000	407083	2350
uring	warm	1	0	1024	2928	15780	7212107	8812997	5	0.000	141983	8606
hybrid	warm	1	0	1024	1881	3111	2303229	2312440	5	0.000	444593	2258
uring	warm	1	1	1024	10308	22622	8054851	9802287	5	0.000	127128	9572
hybrid	warm	1	1	1024	1763	2876	2054568	2074672	5	0.000	498402	2026
