label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct
w1_16k	product	off	cold	stride	16384	250000	1	1	0	0	256	196301	233489	281072	338262	51806562	4941	9	5943	55887	99.2	0.000
w1_16k	hybrid_lazyring	off	cold	stride	16384	250000	1	1	0	1	256	199163	242488	279129	330869	51776418	4944	9	4852	88454	99.2	0.000
w1_16k	pool	off	cold	stride	16384	250000	1	1	0	2	256	187312	214012	244831	310444	48325352	5297	10	3724	50821	99.2	0.000
w1_16k	uring	off	cold	stride	16384	250000	1	1	0	3	256	197132	243061	280914	317927	51638306	4958	9	4930	121907	100.0	0.000
w1_16k	pooled_pread	off	cold	stride	16384	250000	1	1	0	4	256	211266	269844	347102	390738	56082170	4565	11	3336	110822	100.0	0.000
w1_16k	hybrid_lazyring	off	cold	stride	16384	250000	1	1	1	0	256	202527	250858	307307	338362	53120836	4819	9	5235	125117	99.2	0.000
w1_16k	pool	off	cold	stride	16384	250000	1	1	1	1	256	188592	221188	243991	318177	48502555	5278	11	3948	54450	99.6	0.000
w1_16k	uring	off	cold	stride	16384	250000	1	1	1	2	256	195424	225593	279734	326223	50581729	5061	9	5640	123510	100.0	0.000
w1_16k	pooled_pread	off	cold	stride	16384	250000	1	1	1	3	256	189859	230923	289772	353751	49916818	5129	11	3159	46001	100.0	0.000
w1_16k	product	off	cold	stride	16384	250000	1	1	1	4	256	197265	263159	294563	333023	52399556	4886	9	4785	94139	99.2	0.000
w1_16k	pool	off	cold	stride	16384	250000	1	1	2	0	256	182777	210924	242188	303872	47410478	5400	10	3828	156350	99.2	0.000
w1_16k	uring	off	cold	stride	16384	250000	1	1	2	1	256	194001	233786	291561	315428	50667695	5053	9	5233	88432	100.0	0.000
w1_16k	pooled_pread	off	cold	stride	16384	250000	1	1	2	2	256	188013	246958	293463	358032	50738907	5045	11	3233	75489	100.0	0.000
w1_16k	product	off	cold	stride	16384	250000	1	1	2	3	256	195392	242481	286776	325611	51459427	4975	9	5276	57545	99.6	0.000
w1_16k	hybrid_lazyring	off	cold	stride	16384	250000	1	1	2	4	256	200131	235450	349965	331089	52679434	4860	9	5267	118376	99.6	0.000
w1_16k	uring	off	cold	stride	16384	250000	1	1	3	0	256	197934	233719	290853	322591	51835624	4939	9	4822	50852	100.0	0.000
w1_16k	pooled_pread	off	cold	stride	16384	250000	1	1	3	1	256	209094	265726	312844	380676	54898636	4663	11	3200	38227	100.0	0.000
w1_16k	product	off	cold	stride	16384	250000	1	1	3	2	256	194861	254205	285065	320283	51744839	4947	9	4825	122025	99.6	0.000
w1_16k	hybrid_lazyring	off	cold	stride	16384	250000	1	1	3	3	256	191308	234097	273026	302915	50066508	5113	9	4928	96046	99.6	0.000
w1_16k	pool	off	cold	stride	16384	250000	1	1	3	4	256	187329	219907	248647	309004	48579170	5270	10	3663	133914	99.6	0.000
w1_16k	pooled_pread	off	cold	stride	16384	250000	1	1	4	0	256	209475	263439	315104	382590	55771149	4590	11	3246	119622	100.0	0.000
w1_16k	product	off	cold	stride	16384	250000	1	1	4	1	256	193948	233857	293677	319278	50802728	5039	9	4945	53711	99.6	0.000
w1_16k	hybrid_lazyring	off	cold	stride	16384	250000	1	1	4	2	256	192713	239493	273196	311002	50952785	5024	9	4622	100234	99.2	0.000
w1_16k	pool	off	cold	stride	16384	250000	1	1	4	3	256	185109	216376	239735	314126	47949920	5339	10	3743	98431	99.6	0.000
w1_16k	uring	off	cold	stride	16384	250000	1	1	4	4	256	196078	234397	278053	313675	51151760	5005	9	5020	73681	100.0	0.000
w1_16k	product	off	cold	stride	16384	250000	1	1	5	0	256	193445	221088	256316	305365	49785339	5142	9	4918	132949	99.6	0.000
w1_16k	hybrid_lazyring	off	cold	stride	16384	250000	1	1	5	1	256	196478	243510	286852	316112	51443573	4976	9	4741	103012	99.2	0.000
w1_16k	pool	off	cold	stride	16384	250000	1	1	5	2	256	193299	222634	245962	312447	49567768	5165	10	3549	147044	99.6	0.000
w1_16k	uring	off	cold	stride	16384	250000	1	1	5	3	256	191678	223716	283370	304649	49626462	5159	9	4598	95054	100.0	0.000
w1_16k	pooled_pread	off	cold	stride	16384	250000	1	1	5	4	256	192567	247193	307215	361116	51308431	4989	11	3071	44078	100.0	0.000
w1_16k	hybrid_lazyring	off	cold	stride	16384	250000	1	1	6	0	256	197423	241116	273226	324587	51293880	4991	9	4672	111214	99.2	0.000
w1_16k	pool	off	cold	stride	16384	250000	1	1	6	1	256	182122	220878	254925	310412	47772890	5359	10	3718	83135	99.2	0.000
w1_16k	uring	off	cold	stride	16384	250000	1	1	6	2	256	194052	233846	266993	316978	50739130	5045	9	4635	116275	100.0	0.000
w1_16k	pooled_pread	off	cold	stride	16384	250000	1	1	6	3	256	219000	269751	315279	396874	56662753	4518	11	2940	35622	100.0	0.000
w1_16k	product	off	cold	stride	16384	250000	1	1	6	4	256	195901	230329	273882	328618	51389496	4982	9	6538	80718	99.6	0.000
w1_16k	pool	off	cold	stride	16384	250000	1	1	7	0	256	192298	224483	247533	335707	49491744	5173	10	4367	91659	99.2	0.000
w1_16k	uring	off	cold	stride	16384	250000	1	1	7	1	256	197900	229558	277673	327395	51136327	5006	9	5383	156922	100.0	0.000
w1_16k	pooled_pread	off	cold	stride	16384	250000	1	1	7	2	256	194510	253372	288075	371054	51678979	4954	11	2979	29860	100.0	0.000
w1_16k	product	off	cold	stride	16384	250000	1	1	7	3	256	188455	219629	264851	296707	48621157	5265	9	4943	50579	99.2	0.000
w1_16k	hybrid_lazyring	off	cold	stride	16384	250000	1	1	7	4	256	196978	235412	291959	322913	51616213	4960	9	5430	81718	99.6	0.000
w1_16k	uring	off	cold	stride	16384	250000	1	1	8	0	256	202646	239792	269377	333256	52366148	4889	9	5113	108471	100.0	0.000
w1_16k	pooled_pread	off	cold	stride	16384	250000	1	1	8	1	256	196217	247656	304668	364797	51693552	4952	11	3054	134136	100.0	0.000
w1_16k	product	off	cold	stride	16384	250000	1	1	8	2	256	189498	224723	269942	301905	49333417	5189	9	5061	59697	99.2	0.000
w1_16k	hybrid_lazyring	off	cold	stride	16384	250000	1	1	8	3	256	198936	236863	274193	334472	51829781	4939	9	4794	48734	99.2	0.000
w1_16k	pool	off	cold	stride	16384	250000	1	1	8	4	256	191216	220752	250326	329896	49040515	5220	10	3920	64452	99.2	0.000
w1_16k	pooled_pread	off	cold	stride	16384	250000	1	1	9	0	256	200553	249417	305314	374353	52732952	4855	11	2984	101329	100.0	0.000
w1_16k	product	off	cold	stride	16384	250000	1	1	9	1	256	201458	242445	294240	337526	52545556	4872	9	5101	41155	99.6	0.000
w1_16k	hybrid_lazyring	off	cold	stride	16384	250000	1	1	9	2	256	198117	243423	290241	320160	51581577	4963	9	4887	63222	99.6	0.000
w1_16k	pool	off	cold	stride	16384	250000	1	1	9	3	256	184243	216868	239397	302944	47860975	5349	10	3912	80761	99.2	0.000
w1_16k	uring	off	cold	stride	16384	250000	1	1	9	4	256	195851	228310	289444	332398	51096752	5010	9	5289	95544	100.0	0.000
w1_16k	product	off	cold	stride	16384	250000	1	1	10	0	256	198304	234043	279403	326228	51468834	4974	9	4649	86099	99.2	0.000
w1_16k	hybrid_lazyring	off	cold	stride	16384	250000	1	1	10	1	256	202387	243317	294835	341697	52876280	4841	9	5459	127945	99.6	0.000
w1_16k	pool	off	cold	stride	16384	250000	1	1	10	2	256	194341	226502	260921	329722	49651845	5156	10	3632	44465	99.6	0.000
w1_16k	uring	off	cold	stride	16384	250000	1	1	10	3	256	194683	224291	278697	320171	50539957	5065	9	4640	108314	100.0	0.000
w1_16k	pooled_pread	off	cold	stride	16384	250000	1	1	10	4	256	198855	244946	291813	362490	52053621	4918	11	3145	43611	100.0	0.000
w1_16k	hybrid_lazyring	off	cold	stride	16384	250000	1	1	11	0	256	201401	238227	286889	327929	52305306	4894	9	4907	42869	99.2	0.000
w1_16k	pool	off	cold	stride	16384	250000	1	1	11	1	256	183877	216016	251516	292713	47820186	5353	10	5450	42745	99.6	0.000
w1_16k	uring	off	cold	stride	16384	250000	1	1	11	2	256	183364	213297	257232	304868	48950170	5230	9	5292	133068	100.0	0.000
w1_16k	pooled_pread	off	cold	stride	16384	250000	1	1	11	3	256	207020	264552	307351	379521	54614287	4687	11	2936	129549	100.0	0.000
w1_16k	product	off	cold	stride	16384	250000	1	1	11	4	256	185500	243081	269060	307696	49106422	5213	9	4677	103871	99.6	0.000
w1_16k	product	off	cold	stride	16384	250000	4	1	0	0	256	247101	332324	385237	111841	16291962	15713	9	15669	130550	99.2	0.000
w1_16k	hybrid_lazyring	off	cold	stride	16384	250000	4	1	0	1	256	238766	327590	389291	107539	16052529	15948	9	14574	126338	99.6	0.000
w1_16k	pool	off	cold	stride	16384	250000	4	1	0	2	256	245047	332545	391860	111053	15922338	16078	13	16633	49466	99.6	0.000
w1_16k	uring	off	cold	stride	16384	250000	4	1	0	3	256	250211	334850	401462	109872	16578838	15441	9	13384	124686	100.0	0.000
w1_16k	pooled_pread	off	cold	stride	16384	250000	4	1	0	4	256	249629	346608	407989	134726	16784355	15252	14	4335	63164	100.0	0.000
w1_16k	hybrid_lazyring	off	cold	stride	16384	250000	4	1	1	0	256	249262	323265	387048	106902	16307180	15699	9	14718	49299	99.2	0.000
w1_16k	pool	off	cold	stride	16384	250000	4	1	1	1	256	243611	326968	381743	110202	15842001	16160	14	17503	191380	99.2	0.000
w1_16k	uring	off	cold	stride	16384	250000	4	1	1	2	256	251040	341415	381000	112035	16502661	15513	9	16414	131897	100.0	0.000
w1_16k	pooled_pread	off	cold	stride	16384	250000	4	1	1	3	256	243776	338047	401822	134245	16370700	15638	15	4479	67394	100.0	0.000
w1_16k	product	off	cold	stride	16384	250000	4	1	1	4	256	245912	335708	394640	117287	16320021	15686	9	16994	142154	99.2	0.000
w1_16k	pool	off	cold	stride	16384	250000	4	1	2	0	256	242606	323252	386157	111097	15979508	16021	14	14929	110770	99.2	0.000
w1_16k	uring	off	cold	stride	16384	250000	4	1	2	1	256	249271	339087	391324	109418	16574249	15446	9	8910	152504	100.0	0.000
w1_16k	pooled_pread	off	cold	stride	16384	250000	4	1	2	2	256	252995	330631	387537	128676	16417444	15593	15	4460	65940	100.0	0.000
w1_16k	product	off	cold	stride	16384	250000	4	1	2	3	256	240471	323470	384695	110342	16082839	15918	9	15951	127508	99.6	0.000
w1_16k	hybrid_lazyring	off	cold	stride	16384	250000	4	1	2	4	256	241461	320350	373841	108472	16169319	15832	9	19310	128763	99.2	0.000
w1_16k	uring	off	cold	stride	16384	250000	4	1	3	0	256	242039	327570	393313	109103	16331588	15675	9	7764	129387	100.0	0.000
w1_16k	pooled_pread	off	cold	stride	16384	250000	4	1	3	1	256	250323	340243	426014	136199	16722645	15309	15	4720	120591	100.0	0.000
w1_16k	product	off	cold	stride	16384	250000	4	1	3	2	256	246071	339071	395310	110918	16287004	15718	9	17453	162927	99.6	0.000
w1_16k	hybrid_lazyring	off	cold	stride	16384	250000	4	1	3	3	256	243429	323079	392710	106383	16232775	15771	9	15273	114799	99.2	0.000
w1_16k	pool	off	cold	stride	16384	250000	4	1	3	4	256	238245	322629	401419	109003	15854905	16146	14	15779	136548	99.6	0.000
w1_16k	pooled_pread	off	cold	stride	16384	250000	4	1	4	0	256	252691	342725	408800	131612	16644162	15381	14	4232	100393	100.0	0.000
w1_16k	product	off	cold	stride	16384	250000	4	1	4	1	256	249207	334663	397735	115109	16544616	15473	9	18336	122490	99.6	0.000
w1_16k	hybrid_lazyring	off	cold	stride	16384	250000	4	1	4	2	256	243125	316375	409779	112603	16280661	15724	9	10917	69714	99.6	0.000
w1_16k	pool	off	cold	stride	16384	250000	4	1	4	3	256	234953	329633	391572	112106	15842460	16159	14	16158	54810	99.6	0.000
w1_16k	uring	off	cold	stride	16384	250000	4	1	4	4	256	246627	337256	389215	115232	16412695	15598	9	17635	48761	100.0	0.000
w1_16k	product	off	cold	stride	16384	250000	4	1	5	0	256	254166	336346	414851	116069	16586423	15434	9	19099	119684	99.6	0.000
w1_16k	hybrid_lazyring	off	cold	stride	16384	250000	4	1	5	1	256	246092	329338	398769	109106	16374361	15634	9	10226	126286	99.2	0.000
w1_16k	pool	off	cold	stride	16384	250000	4	1	5	2	256	239808	328942	389017	115491	16015103	15985	14	14434	97316	99.6	0.000
w1_16k	uring	off	cold	stride	16384	250000	4	1	5	3	256	247136	328331	397088	108658	16519092	15497	9	14945	61365	100.0	0.000
w1_16k	pooled_pread	off	cold	stride	16384	250000	4	1	5	4	256	254866	342409	404208	139117	16867292	15177	15	5281	40607	100.0	0.000
w1_16k	hybrid_lazyring	off	cold	stride	16384	250000	4	1	6	0	256	255268	337024	404925	108877	16937467	15114	9	21359	288122	99.6	0.000
w1_16k	pool	off	cold	stride	16384	250000	4	1	6	1	256	248790	322950	373858	119668	16226199	15777	14	21637	70657	99.6	0.000
w1_16k	uring	off	cold	stride	16384	250000	4	1	6	2	256	257616	338598	399976	116717	16924829	15126	9	19961	76313	100.0	0.000
w1_16k	pooled_pread	off	cold	stride	16384	250000	4	1	6	3	256	258144	337140	413064	146072	16991706	15066	15	5231	63567	100.0	0.000
w1_16k	product	off	cold	stride	16384	250000	4	1	6	4	256	251069	324987	391409	118305	16454213	15558	9	20259	204057	99.2	0.000
w1_16k	pool	off	cold	stride	16384	250000	4	1	7	0	256	248478	327994	409402	115481	16271827	15733	13	19533	183930	99.2	0.000
w1_16k	uring	off	cold	stride	16384	250000	4	1	7	1	256	248158	332822	385879	112685	16765414	15270	9	17950	145484	100.0	0.000
w1_16k	pooled_pread	off	cold	stride	16384	250000	4	1	7	2	256	259755	337419	427227	145802	17153675	14924	15	5659	138094	100.0	0.000
w1_16k	product	off	cold	stride	16384	250000	4	1	7	3	256	250595	323988	442415	117058	16677629	15350	9	18437	196075	99.2	0.000
w1_16k	hybrid_lazyring	off	cold	stride	16384	250000	4	1	7	4	256	244708	336712	403853	109120	16518340	15498	9	20438	72206	99.2	0.000
w1_16k	uring	off	cold	stride	16384	250000	4	1	8	0	256	251664	341000	403364	114877	16836717	15205	9	18946	71047	100.0	0.000
w1_16k	pooled_pread	off	cold	stride	16384	250000	4	1	8	1	256	260901	338339	412059	145173	17110134	14962	15	5780	64017	100.0	0.000
w1_16k	product	off	cold	stride	16384	250000	4	1	8	2	256	251262	328841	388896	120045	16678724	15349	9	20253	150421	99.6	0.000
w1_16k	hybrid_lazyring	off	cold	stride	16384	250000	4	1	8	3	256	245838	336692	376660	110739	16525257	15491	9	17727	189807	99.2	0.000
w1_16k	pool	off	cold	stride	16384	250000	4	1	8	4	256	244531	331316	389553	118045	16145985	15855	14	19017	75453	99.2	0.000
w1_16k	pooled_pread	off	cold	stride	16384	250000	4	1	9	0	256	262884	354252	1259329	147676	18998045	13475	16	6713	447817	100.0	0.000
w1_16k	product	off	cold	stride	16384	250000	4	1	9	1	256	247525	330077	404845	113440	16617099	15406	9	25100	201151	99.6	0.000
w1_16k	hybrid_lazyring	off	cold	stride	16384	250000	4	1	9	2	256	253864	326195	375118	109162	16517391	15499	9	17616	148313	99.2	0.000
w1_16k	pool	off	cold	stride	16384	250000	4	1	9	3	256	244722	328943	363795	114956	16102228	15898	13	19118	122909	99.2	0.000
w1_16k	uring	off	cold	stride	16384	250000	4	1	9	4	256	252534	334810	388707	115066	16777146	15259	9	22365	179280	100.0	0.000
w1_16k	product	off	cold	stride	16384	250000	4	1	10	0	256	250781	328422	388657	116355	16531586	15486	9	18387	92534	99.6	0.000
w1_16k	hybrid_lazyring	off	cold	stride	16384	250000	4	1	10	1	256	250807	340695	379520	114563	16830593	15210	9	18512	136996	99.2	0.000
w1_16k	pool	off	cold	stride	16384	250000	4	1	10	2	256	239527	325594	399590	114888	16137980	15863	14	18682	87413	99.6	0.000
w1_16k	uring	off	cold	stride	16384	250000	4	1	10	3	256	255155	333699	392747	114175	16723015	15308	9	18949	51988	100.0	0.000
w1_16k	pooled_pread	off	cold	stride	16384	250000	4	1	10	4	256	257563	334258	407949	138821	16819217	15221	14	5719	67500	100.0	0.000
w1_16k	hybrid_lazyring	off	cold	stride	16384	250000	4	1	11	0	256	256201	335577	405181	110784	16935791	15116	9	18342	159026	99.6	0.000
w1_16k	pool	off	cold	stride	16384	250000	4	1	11	1	256	248850	326023	394212	115571	16137597	15864	13	20734	100068	99.6	0.000
w1_16k	uring	off	cold	stride	16384	250000	4	1	11	2	256	255263	342474	406925	114171	16962829	15092	9	17989	62831	100.0	0.000
w1_16k	pooled_pread	off	cold	stride	16384	250000	4	1	11	3	256	261187	338789	431358	139421	17186322	14896	15	5511	169112	100.0	0.000
w1_16k	product	off	cold	stride	16384	250000	4	1	11	4	256	251867	347923	418297	123098	17025622	15036	9	19926	138999	99.2	0.000
w1_16k	product	off	cold	stride	16384	250000	16	1	0	0	256	383969	588647	828815	70130	6959521	36784	9	35844	390328	99.6	0.000
w1_16k	hybrid_lazyring	off	cold	stride	16384	250000	16	1	0	1	256	379142	533401	734457	53265	7090590	36104	9	14337	308124	99.6	0.000
w1_16k	pool	off	cold	stride	16384	250000	16	1	0	2	256	405541	609399	821578	67808	7264015	35242	34	48512	1059475	99.2	0.000
w1_16k	uring	off	cold	stride	16384	250000	16	1	0	3	256	409086	614357	813460	59799	7627485	33563	9	32535	192472	100.0	0.000
w1_16k	pooled_pread	off	cold	stride	16384	250000	16	1	0	4	256	415562	679612	981905	85390	7682337	33323	32	13258	355641	100.0	0.000
w1_16k	hybrid_lazyring	off	cold	stride	16384	250000	16	1	1	0	256	384914	554135	726917	58398	7396114	34613	9	12610	400680	99.2	0.000
w1_16k	pool	off	cold	stride	16384	250000	16	1	1	1	256	415963	673407	998269	77340	7679171	33337	37	44012	1812605	99.2	0.000
w1_16k	uring	off	cold	stride	16384	250000	16	1	1	2	256	426747	756404	1051485	60182	8330583	30730	9	29115	439146	100.0	0.000
w1_16k	pooled_pread	off	cold	stride	16384	250000	16	1	1	3	256	439509	810112	1236342	88102	8365135	30603	53	9226	1002037	100.0	0.000
w1_16k	product	off	cold	stride	16384	250000	16	1	1	4	256	385073	617583	754848	67354	7122717	35941	9	37672	388980	99.2	0.000
w1_16k	pool	off	cold	stride	16384	250000	16	1	2	0	256	738516	949091	1621017	95984	12558601	20384	37	29981	1857028	99.2	0.000
w1_16k	uring	off	cold	stride	16384	250000	16	1	2	1	256	399942	618456	793105	55770	7599083	33688	9	34526	414425	100.0	0.000
w1_16k	pooled_pread	off	cold	stride	16384	250000	16	1	2	2	256	419992	681533	1150806	82375	7806232	32794	37	9817	583365	100.0	0.000
w1_16k	product	off	cold	stride	16384	250000	16	1	2	3	256	388602	578754	727165	69524	6965388	36753	9	38038	525402	99.2	0.000
w1_16k	hybrid_lazyring	off	cold	stride	16384	250000	16	1	2	4	256	383540	700850	1555756	63804	8857394	28902	9	8817	456435	99.2	0.000
w1_16k	uring	off	cold	stride	16384	250000	16	1	3	0	256	415355	607501	793581	50925	7422617	34489	9	37811	462562	100.0	0.000
w1_16k	pooled_pread	off	cold	stride	16384	250000	16	1	3	1	256	396439	629657	1102063	84985	7971537	32114	33	8781	1096050	100.0	0.000
w1_16k	product	off	cold	stride	16384	250000	16	1	3	2	256	383309	569001	707524	71071	6931208	36934	9	33568	569397	99.2	0.000
w1_16k	hybrid_lazyring	off	cold	stride	16384	250000	16	1	3	3	256	375441	561336	704371	54954	7303684	35051	9	14538	653021	99.2	0.000
w1_16k	pool	off	cold	stride	16384	250000	16	1	3	4	256	414243	682133	2075840	76800	8679323	29495	34	34560	1335221	99.2	0.000
w1_16k	pooled_pread	off	cold	stride	16384	250000	16	1	4	0	256	407250	654361	1271600	79691	7721509	33154	38	11283	786859	100.0	0.000
w1_16k	product	off	cold	stride	16384	250000	16	1	4	1	256	736640	858739	993230	100662	12212314	20962	9	27588	506232	99.2	0.000
w1_16k	hybrid_lazyring	off	cold	stride	16384	250000	16	1	4	2	256	370355	554915	736779	60899	7588879	33734	9	16294	221802	99.2	0.000
w1_16k	pool	off	cold	stride	16384	250000	16	1	4	3	256	430140	1040623	1938730	81754	9578268	26727	34	31551	1427662	99.2	0.000
w1_16k	uring	off	cold	stride	16384	250000	16	1	4	4	256	408709	617154	792089	56808	7599263	33687	9	34515	388109	100.0	0.000
w1_16k	product	off	cold	stride	16384	250000	16	1	5	0	256	390503	567753	702393	66589	6990598	36621	9	40426	483409	99.6	0.000
w1_16k	hybrid_lazyring	off	cold	stride	16384	250000	16	1	5	1	256	377473	545683	715996	48405	7135740	35876	9	40412	567539	99.2	0.000
w1_16k	pool	off	cold	stride	16384	250000	16	1	5	2	256	388328	643246	900682	72032	7396278	34612	39	44796	1862724	99.2	0.000
w1_16k	uring	off	cold	stride	16384	250000	16	1	5	3	256	404501	600675	810260	51402	7421554	34494	9	42895	393592	100.0	0.000
w1_16k	pooled_pread	off	cold	stride	16384	250000	16	1	5	4	256	420974	672074	963696	86067	7648235	33472	40	9511	398896	100.0	0.000
w1_16k	hybrid_lazyring	off	cold	stride	16384	250000	16	1	6	0	256	374992	552551	704021	56020	7353183	34815	9	11488	377991	99.2	0.000
w1_16k	pool	off	cold	stride	16384	250000	16	1	6	1	256	395571	632499	868705	65093	7234758	35385	32	46138	1272951	99.2	0.000
w1_16k	uring	off	cold	stride	16384	250000	16	1	6	2	256	740134	865659	1011187	91293	12580723	20349	9	22892	73146	100.0	0.000
w1_16k	pooled_pread	off	cold	stride	16384	250000	16	1	6	3	256	409661	648180	868405	85455	7417293	34514	32	8808	539733	100.0	0.000
w1_16k	product	off	cold	stride	16384	250000	16	1	6	4	256	382861	556490	712174	70039	6894238	37132	9	35598	462979	99.2	0.000
w1_16k	pool	off	cold	stride	16384	250000	16	1	7	0	256	395324	603503	825974	72678	7168614	35711	35	38281	1093534	99.2	0.000
w1_16k	uring	off	cold	stride	16384	250000	16	1	7	1	256	409119	601811	780920	56570	7542801	33940	9	37623	296720	100.0	0.000
w1_16k	pooled_pread	off	cold	stride	16384	250000	16	1	7	2	256	400799	643275	899671	79580	7404976	34571	29	7832	426819	100.0	0.000
w1_16k	product	off	cold	stride	16384	250000	16	1	7	3	256	392026	572055	717845	62366	7024776	36442	9	50648	529983	99.2	0.000
w1_16k	hybrid_lazyring	off	cold	stride	16384	250000	16	1	7	4	256	371440	540337	737855	58759	7262157	35251	9	10028	396832	99.2	0.000
w1_16k	uring	off	cold	stride	16384	250000	16	1	8	0	256	411153	625179	805874	55645	7638706	33514	9	27155	519706	100.0	0.000
w1_16k	pooled_pread	off	cold	stride	16384	250000	16	1	8	1	256	419839	685605	954280	84437	7715902	33178	43	10666	792972	100.0	0.000
w1_16k	product	off	cold	stride	16384	250000	16	1	8	2	256	386800	573971	706864	66126	6862317	37305	9	35355	408509	99.6	0.000
w1_16k	hybrid_lazyring	off	cold	stride	16384	250000	16	1	8	3	256	380464	536589	817553	53351	7182288	35643	9	12416	939061	99.6	0.000
w1_16k	pool	off	cold	stride	16384	250000	16	1	8	4	256	688282	1166211	2337611	101986	12842591	19934	36	22726	1440100	99.2	0.000
w1_16k	pooled_pread	off	cold	stride	16384	250000	16	1	9	0	256	413974	670943	1024884	81357	7797225	32832	41	9875	621328	100.0	0.000
