arm	study	temp	trace	access	chunk	repeat	frames	asks	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	gap_p50_ns	gap_p99_ns	gap_max_ns	gap_samples	bytes_copied	hop_p50_ns	other_later_p50_ns	other_later_p99_ns	other_asks	cpu_ns	threads_max	runtime	hop_count
mmap_naive	frames_250k_big.sbnd	warm	forward	full	16384	1	2048	2048	43378	31101	48041	31847	65413434	976	5015	29472	43607	0	0	0	0	0	169300551	9	multi	0
mmap_hybrid_mincore	frames_250k_big.sbnd	warm	forward	full	16384	1	2048	2048	40479	25920	41379	26978	55444104	362	2751	122806	83382	0	0	0	0	0	145639652	9	multi	0
mmap_touch_in_place	frames_250k_big.sbnd	warm	forward	full	16384	1	2048	2048	106694	25731	43587	26973	55518702	792	3210	23727	49783	0	2218	0	0	0	157055146	11	multi	2048
mmap_populate_read	frames_250k_big.sbnd	warm	forward	full	16384	1	2048	2048	147131	50347	81011	51110	105173999	386	4163	49241	111169	0	15657	0	0	0	234219080	10	multi	2048
mmap_blocking_touch	frames_250k_big.sbnd	warm	forward	full	16384	1	2048	2048	103487	43136	72594	45381	93307661	639	4984	41108	76130	0	7575	0	0	0	195600198	10	multi	2048
pread_blocking_pooled	frames_250k_big.sbnd	warm	forward	full	16384	1	2048	2048	282046	63646	105530	65424	134752096	511	3920	196724	147133	512000000	36192	0	0	0	317696749	10	multi	2048
pread_nowait_chunked	frames_250k_big.sbnd	warm	forward	full	16384	1	2048	2048	80590	44395	78466	49101	100860305	382	3055	149666	137063	512000000	0	0	0	0	270108709	9	multi	0
uring_nowait_whole	frames_250k_big.sbnd	warm	forward	full	16384	1	2048	2048	84451	41012	60390	42343	87295186	380	3026	354294	102996	512000000	0	0	0	0	232795794	9	multi	0
mmap_naive	frames_250k_big.sbnd	warm	forward	full	16384	2	2048	2048	32973	23708	40515	24861	51071613	372	2687	15847	75177	0	0	0	0	0	134886736	9	multi	0
mmap_hybrid_mincore	frames_250k_big.sbnd	warm	forward	full	16384	2	2048	2048	62925	29466	49047	29751	61177603	432	3273	60032	82409	0	0	0	0	0	157373422	9	multi	0
mmap_touch_in_place	frames_250k_big.sbnd	warm	forward	full	16384	2	2048	2048	57918	29987	51224	30785	63278444	601	3286	29728	71435	0	2581	0	0	0	174435275	11	multi	2048
mmap_populate_read	frames_250k_big.sbnd	warm	forward	full	16384	2	2048	2048	157015	51193	82083	52422	107833863	434	4579	127489	109023	0	16000	0	0	0	237661842	10	multi	2048
mmap_blocking_touch	frames_250k_big.sbnd	warm	forward	full	16384	2	2048	2048	115570	43393	85148	45773	94134747	597	5050	120706	81327	0	7950	0	0	0	196583197	10	multi	2048
pread_blocking_pooled	frames_250k_big.sbnd	warm	forward	full	16384	2	2048	2048	159861	63511	108728	65664	135091698	525	3911	92468	145428	512000000	34247	0	0	0	319396796	10	multi	2048
pread_nowait_chunked	frames_250k_big.sbnd	warm	forward	full	16384	2	2048	2048	71114	42480	69538	46017	94504334	383	3039	34801	122130	512000000	0	0	0	0	243006572	9	multi	0
uring_nowait_whole	frames_250k_big.sbnd	warm	forward	full	16384	2	2048	2048	82768	44415	62917	45258	93209807	360	2798	274886	130750	512000000	0	0	0	0	244816555	9	multi	0
mmap_naive	frames_250k_big.sbnd	warm	forward	full	16384	3	2048	2048	45527	24376	39527	25136	51628478	387	2819	16458	71598	0	0	0	0	0	139167903	9	multi	0
mmap_hybrid_mincore	frames_250k_big.sbnd	warm	forward	full	16384	3	2048	2048	75882	25188	42930	26275	53995716	356	2732	21155	83133	0	0	0	0	0	142168162	9	multi	0
mmap_touch_in_place	frames_250k_big.sbnd	warm	forward	full	16384	3	2048	2048	58376	28151	48457	28862	59321857	601	3338	138563	66108	0	2431	0	0	0	166286024	13	multi	2048
mmap_populate_read	frames_250k_big.sbnd	warm	forward	full	16384	3	2048	2048	120288	52733	92114	54396	111839461	597	4716	133888	103887	0	15981	0	0	0	245046100	10	multi	2048
mmap_blocking_touch	frames_250k_big.sbnd	warm	forward	full	16384	3	2048	2048	94837	41959	77339	43947	90349845	617	5169	37873	73915	0	7376	0	0	0	184710364	10	multi	2048
pread_blocking_pooled	frames_250k_big.sbnd	warm	forward	full	16384	3	2048	2048	162483	62707	85264	62576	128714867	352	3462	47366	168295	512000000	34978	0	0	0	312562378	10	multi	2048
pread_nowait_chunked	frames_250k_big.sbnd	warm	forward	full	16384	3	2048	2048	73776	42201	64510	43621	89569617	340	2713	28829	134796	512000000	0	0	0	0	233454636	9	multi	0
