label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct
warm16_d1_r0	before	off	warm	sweep	16384	16384	1	1	0	0	256	2672	3181	4074	3780	856396	298927	9	0	0	0.0	0.000
cold16_d1_r0	before	off	cold	stride	16384	250000	1	1	0	0	256	192992	266027	316566	31990	51837334	4939	9	0	0	99.2	0.000
cold16_dW_r0	before	off	cold	stride	16384	250000	4	1	0	0	256	244737	330141	402100	35663	16207373	15795	9	0	0	99.2	0.000
seq1g_d1_r0	before	off	cold	sweep	16384	16384	1	1	0	0	256	2792	3860	318161	15631	6529396	39207	9	0	0	0.4	0.000
warm16_d1_r0	after	off	warm	sweep	16384	16384	1	1	0	0	256	2941	3836	7027	4289	943681	271278	9	0	0	0.0	0.000
cold16_d1_r0	after	off	cold	stride	16384	250000	1	1	0	0	256	192125	267242	401938	32471	52778983	4850	9	0	0	99.2	0.000
cold16_dW_r0	after	off	cold	stride	16384	250000	4	1	0	0	256	247057	324530	404776	35626	16356022	15652	9	0	0	99.2	0.000
seq1g_d1_r0	after	off	cold	sweep	16384	16384	1	1	0	0	256	2364	3118	471773	13783	3742464	68404	9	0	0	0.4	0.000
warm16_d1_r1	after	off	warm	sweep	16384	16384	1	1	0	0	256	2842	3247	4252	4002	862160	296929	9	0	0	0.0	0.000
cold16_d1_r1	after	off	cold	stride	16384	250000	1	1	0	0	256	191960	321980	370112	30712	54569567	4691	9	0	0	99.2	0.000
cold16_dW_r1	after	off	cold	stride	16384	250000	4	1	0	0	256	241669	340710	399019	33476	16384981	15624	9	0	0	99.2	0.000
seq1g_d1_r1	after	off	cold	sweep	16384	16384	1	1	0	0	256	3015	3759	290154	16465	4172837	61349	9	0	0	0.4	0.000
warm16_d1_r1	before	off	warm	sweep	16384	16384	1	1	0	0	256	3647	4429	11642	5032	1148191	222959	9	0	0	0.0	0.000
cold16_d1_r1	before	off	cold	stride	16384	250000	1	1	0	0	256	208613	326606	385610	34743	57865023	4424	9	0	0	99.2	0.000
cold16_dW_r1	before	off	cold	stride	16384	250000	4	1	0	0	256	246196	329574	379840	36562	16248329	15755	9	0	0	99.2	0.000
seq1g_d1_r1	before	off	cold	sweep	16384	16384	1	1	0	0	256	2331	3038	470759	14211	4003841	63939	9	0	0	0.4	0.000
warm16_d1_r2	before	off	warm	sweep	16384	16384	1	1	0	0	256	3046	3533	9095	5382	1016356	251880	9	0	0	0.0	0.000
cold16_d1_r2	before	off	cold	stride	16384	250000	1	1	0	0	256	218145	336262	396874	37224	60030438	4265	9	0	0	99.2	0.000
cold16_dW_r2	before	off	cold	stride	16384	250000	4	1	0	0	256	251611	329462	404679	35484	16572605	15447	9	0	0	99.2	0.000
seq1g_d1_r2	before	off	cold	sweep	16384	16384	1	1	0	0	256	2711	4052	296723	14479	3769092	67921	9	0	0	0.4	0.000
warm16_d1_r2	after	off	warm	sweep	16384	16384	1	1	0	0	256	3554	4115	4950	5286	1100794	232559	9	0	0	0.0	0.000
cold16_d1_r2	after	off	cold	stride	16384	250000	1	1	0	0	256	213655	313158	374336	32796	58359828	4387	9	0	0	99.2	0.000
cold16_dW_r2	after	off	cold	stride	16384	250000	4	1	0	0	256	255205	343450	418039	34158	16720431	15311	9	0	0	99.2	0.000
seq1g_d1_r2	after	off	cold	sweep	16384	16384	1	1	0	0	256	2345	2716	455792	13956	3819003	67033	9	0	0	0.4	0.000
warm16_d1_r3	after	off	warm	sweep	16384	16384	1	1	0	0	256	2934	3731	4289	4201	902755	283576	9	0	0	0.0	0.000
