label	arm	temp	mode	depth	asks	p50_ns	p90_ns	p99_ns	wall_ns	asks_per_s	cpu_ns_per_ask	rss_kib	miss_pct	named
cold_d1_r0	before	cold	on-demand	1	256	483931	836785	1194405	181633794	1409	411682	772	1.0	-
cold_d2_r0	before	cold	on-demand	2	256	387550	455277	510248	52751416	4853	150135	128	1.0	-
cold_d4_r0	before	cold	on-demand	4	256	763059	874557	997091	52032716	4920	184820	220	1.0	-
warm_d1_r0	before	warm	on-demand	1	256	130019	171580	191898	36210201	7070	151587	32	0.0	-
warm_d4_r0	before	warm	on-demand	4	256	338344	458420	535185	24226804	10567	146439	148	0.0	-
fill_r0	before	cold	fill	1	256	7190	166702	2232525	28572786	8960	114235	1188	0.024734982332155476	-
cold_d1_r0	after	cold	on-demand	1	256	324675	421541	528299	89104005	2873	184095	648	1.0	1
cold_d2_r0	after	cold	on-demand	2	256	432364	536181	741193	60343733	4242	181147	188	1.0	2
cold_d4_r0	after	cold	on-demand	4	256	542714	659669	840026	37748097	6782	187848	280	1.0	4
warm_d1_r0	after	warm	on-demand	1	256	135708	163495	200736	37706213	6789	125535	0	0.0	1
warm_d4_r0	after	warm	on-demand	4	256	281609	353159	457723	20441075	12524	105639	140	0.0	4
fill_r0	after	cold	fill	1	256	46391	129889	1770648	29354867	8721	101461	1112	0.024475524475524476	2
cold_d1_r1	after	cold	on-demand	1	256	299448	382095	469794	82454337	3105	151644	8	1.0	1
cold_d2_r1	after	cold	on-demand	2	256	391808	441547	493261	52612585	4866	109192	8	1.0	2
cold_d4_r1	after	cold	on-demand	4	256	472842	596290	682960	33172060	7717	125336	28	1.0	4
warm_d1_r1	after	warm	on-demand	1	256	127369	159919	175463	35445760	7222	109177	0	0.0	1
warm_d4_r1	after	warm	on-demand	4	256	272163	343560	470771	19805207	12926	98862	52	0.0	4
fill_r1	after	cold	fill	1	256	50667	135473	1181696	28154310	9093	103269	1024	0.026717557251908396	2
cold_d1_r1	before	cold	on-demand	1	256	324729	435523	553954	90140746	2840	164523	32	1.0	-
cold_d2_r1	before	cold	on-demand	2	256	394423	461536	569342	53443913	4790	119734	8	1.0	-
cold_d4_r1	before	cold	on-demand	4	256	816436	927903	1092493	55237219	4635	170233	8	1.0	-
warm_d1_r1	before	warm	on-demand	1	256	131895	172156	217223	37196978	6882	121667	0	0.0	-
warm_d4_r1	before	warm	on-demand	4	256	293257	386117	481926	21355338	11988	120666	72	0.0	-
fill_r1	before	cold	fill	1	256	37577	107964	566420	20017870	12789	90812	2356	0.02422145328719723	-
cold_d1_r2	before	cold	on-demand	1	256	307630	391225	528748	85040580	3010	147068	8	1.0	-
cold_d2_r2	before	cold	on-demand	2	256	397249	442000	514281	53406751	4793	112280	8	1.0	-
cold_d4_r2	before	cold	on-demand	4	256	807022	901301	1049482	54894519	4663	162620	8	1.0	-
warm_d1_r2	before	warm	on-demand	1	256	131555	159932	200186	36535585	7007	116356	0	0.0	-
warm_d4_r2	before	warm	on-demand	4	256	281846	368718	423811	20424774	12534	115115	0	0.0	-
fill_r2	before	cold	fill	1	256	40593	121601	1998962	28947107	8844	98648	1584	0.02422145328719723	-
cold_d1_r2	after	cold	on-demand	1	256	324005	442231	541325	90200036	2838	155850	8	1.0	1
cold_d2_r2	after	cold	on-demand	2	256	397286	462178	583428	53778084	4760	113934	8	1.0	2
cold_d4_r2	after	cold	on-demand	4	256	485311	638486	865033	34409087	7440	127600	8	1.0	4
warm_d1_r2	after	warm	on-demand	1	256	132461	176002	211938	37131564	6894	118639	0	0.0	1
warm_d4_r2	after	warm	on-demand	4	256	290956	370063	441258	21207194	12071	106294	0	0.0	4
fill_r2	after	cold	fill	1	256	49967	114828	696482	21580024	11863	105466	1344	0.026923076923076925	2
cold_d1_r3	after	cold	on-demand	1	256	339448	454756	553473	92948936	2754	158504	8	1.0	1
cold_d2_r3	after	cold	on-demand	2	256	410037	496644	2424504	69083582	3706	121317	8	1.0	2
cold_d4_r3	after	cold	on-demand	4	256	467555	576632	658595	32875538	7787	127227	32	1.0	4
warm_d1_r3	after	warm	on-demand	1	256	124421	171462	198042	34996909	7315	113697	0	0.0	1
warm_d4_r3	after	warm	on-demand	4	256	333973	430307	533066	24081270	10631	125351	68	0.0	4
fill_r3	after	cold	fill	1	256	41647	115245	1426814	27034807	9469	93296	1024	0.021341463414634148	2
cold_d1_r3	before	cold	on-demand	1	256	324667	415599	537029	88692110	2886	157864	8	1.0	-
cold_d2_r3	before	cold	on-demand	2	256	388580	446313	659057	53009195	4829	116042	8	1.0	-
cold_d4_r3	before	cold	on-demand	4	256	822990	926135	1061237	55459868	4616	166515	8	1.0	-
warm_d1_r3	before	warm	on-demand	1	256	127658	172024	204764	35762392	7158	111707	0	0.0	-
warm_d4_r3	before	warm	on-demand	4	256	303365	396032	472585	21538170	11886	125015	0	0.0	-
fill_r3	before	cold	fill	1	256	45731	127624	1853950	29326204	8729	104945	1840	0.021671826625386997	-
cold_d1_r4	before	cold	on-demand	1	256	328184	472380	541311	92695617	2762	171589	8	1.0	-
cold_d2_r4	before	cold	on-demand	2	256	390236	441022	536165	52712982	4856	119221	8	1.0	-
cold_d4_r4	before	cold	on-demand	4	256	821374	924059	1019325	55463685	4616	164668	8	1.0	-
warm_d1_r4	before	warm	on-demand	1	256	126404	162749	197393	35305746	7251	111190	0	0.0	-
warm_d4_r4	before	warm	on-demand	4	256	297500	389987	438480	21204147	12073	118108	0	0.0	-
fill_r4	before	cold	fill	1	256	5539	154615	949458	20390289	12555	90979	1236	0.025179856115107913	-
cold_d1_r4	after	cold	on-demand	1	256	332554	408928	480970	89469999	2861	157941	8	1.0	1
cold_d2_r4	after	cold	on-demand	2	256	388656	458307	564930	53112888	4820	112741	8	1.0	2
cold_d4_r4	after	cold	on-demand	4	256	464034	604484	674361	33003404	7757	124138	8	1.0	4
warm_d1_r4	after	warm	on-demand	1	256	126660	166349	205349	35479425	7215	110824	0	0.0	1
warm_d4_r4	after	warm	on-demand	4	256	274125	367350	438030	20178157	12687	106809	0	0.0	4
fill_r4	after	cold	fill	1	256	38523	108686	1106209	22886434	11186	102449	1128	0.016339869281045753	2
cold_d1_r5	after	cold	on-demand	1	256	337656	427963	490793	91283373	2804	159442	8	1.0	1
cold_d2_r5	after	cold	on-demand	2	256	383187	435633	508122	51896059	4933	106740	8	1.0	2
cold_d4_r5	after	cold	on-demand	4	256	463618	576134	664079	32476222	7883	131293	8	1.0	4
warm_d1_r5	after	warm	on-demand	1	256	126383	166774	192062	35641198	7183	119972	0	0.0	1
