label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct	peak_named	peak_in_flight
w2_250k_depth	product	off	cold	stride	250000	500000	1	1	0	0	256	4252826	5665421	9681315	5291901	910661183	281	9	8514	881311	99.6	0.000	1	1
w2_250k_depth	product_sessions	off	cold	stride	250000	500000	1	1	0	1	256	984928	1511067	2644038	1724587	273380812	936	9	4817	263318	99.6	0.000	0	0
w2_250k_depth	pool	off	cold	stride	250000	500000	1	1	0	2	256	696410	775395	850289	1160658	180294342	1420	10	3422	249267	99.6	0.000	0	0
w2_250k_depth	hybrid_lazyring	off	cold	stride	250000	500000	1	1	0	3	256	698119	783855	879390	1151356	181467159	1411	9	4645	122041	99.6	0.000	0	0
w2_250k_depth	product_sessions	off	cold	stride	250000	500000	1	1	1	0	256	987663	1460389	1816606	1639577	268339786	954	9	4792	404221	99.6	0.000	0	0
w2_250k_depth	pool	off	cold	stride	250000	500000	1	1	1	1	256	692600	757226	842547	1175522	178400009	1435	10	3379	381594	99.6	0.000	0	0
w2_250k_depth	hybrid_lazyring	off	cold	stride	250000	500000	1	1	1	2	256	697038	775508	844367	1104792	179816038	1424	9	4506	300837	99.6	0.000	0	0
w2_250k_depth	product	off	cold	stride	250000	500000	1	1	1	3	256	974899	1147658	1689272	1584574	258101526	992	9	4742	122655	99.6	0.000	1	1
w2_250k_depth	pool	off	cold	stride	250000	500000	1	1	2	0	256	916472	991599	1054757	1563574	236220931	1084	10	3396	209480	99.6	0.000	0	0
w2_250k_depth	hybrid_lazyring	off	cold	stride	250000	500000	1	1	2	1	256	709179	787501	871984	1137617	182684271	1401	9	4609	380117	99.6	0.000	0	0
w2_250k_depth	product	off	cold	stride	250000	500000	1	1	2	2	256	979069	1150091	1830107	1654226	264854150	967	9	4631	362733	99.6	0.000	1	1
w2_250k_depth	product_sessions	off	cold	stride	250000	500000	1	1	2	3	256	969239	1226893	1659421	1624062	259690770	986	9	4704	275869	99.6	0.000	0	0
w2_250k_depth	hybrid_lazyring	off	cold	stride	250000	500000	1	1	3	0	256	912819	1012327	2034934	1474056	232477532	1101	9	4678	225219	99.6	0.000	0	0
w2_250k_depth	product	off	cold	stride	250000	500000	1	1	3	1	256	991707	1538243	2386534	1700778	275536088	929	9	4784	277783	99.6	0.000	1	1
w2_250k_depth	product_sessions	off	cold	stride	250000	500000	1	1	3	2	256	985977	1349097	1681403	1636184	265241598	965	9	5090	245410	99.6	0.000	0	0
w2_250k_depth	pool	off	cold	stride	250000	500000	1	1	3	3	256	932071	1009841	1104570	1560078	240303498	1065	10	3620	322759	99.6	0.000	0	0
w2_250k_depth	product	off	cold	stride	250000	500000	1	1	4	0	256	990555	1158901	1825000	1603924	263122877	973	9	4734	294272	99.6	0.000	1	1
w2_250k_depth	product_sessions	off	cold	stride	250000	500000	1	1	4	1	256	984483	1128042	1749180	1616898	261237190	980	9	4858	290310	99.6	0.000	0	0
w2_250k_depth	pool	off	cold	stride	250000	500000	1	1	4	2	256	715318	4249714	7144723	2675197	410282391	624	10	3670	400169	99.6	0.000	0	0
w2_250k_depth	hybrid_lazyring	off	cold	stride	250000	500000	1	1	4	3	256	736148	976352	2498468	1367605	217431663	1177	9	4984	326074	99.6	0.000	0	0
w2_250k_depth	product_sessions	off	cold	stride	250000	500000	1	1	5	0	256	981199	1451322	2718319	1701412	272257043	940	9	4669	288589	99.6	0.000	0	0
w2_250k_depth	pool	off	cold	stride	250000	500000	1	1	5	1	256	902461	980384	1053140	1493521	232333595	1102	10	3339	232552	99.6	0.000	0	0
w2_250k_depth	hybrid_lazyring	off	cold	stride	250000	500000	1	1	5	2	256	708320	802597	2580110	1222493	193988185	1320	9	4690	276279	99.6	0.000	0	0
w2_250k_depth	product	off	cold	stride	250000	500000	1	1	5	3	256	979291	1475129	2905358	1690963	273324562	937	9	4604	228086	99.6	0.000	1	1
w2_250k_depth	pool	off	cold	stride	250000	500000	1	1	6	0	256	688633	759599	846119	1185826	177560601	1442	10	3307	264709	99.6	0.000	0	0
w2_250k_depth	hybrid_lazyring	off	cold	stride	250000	500000	1	1	6	1	256	697696	765438	830680	1136058	179609838	1425	9	4670	272862	99.6	0.000	0	0
