label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct	peak_named	peak_in_flight	rss_kib	rings_built
ring_16k	product	off	cold	sweep	16384	16384	1	1	0	0	256	2764	3516	1253674	20565	7617709	33606	9	0	0	1.2	0.000	1	1	196	1
ring_16k	hybrid_lazyring	off	cold	sweep	16384	16384	1	1	0	1	256	2388	2929	671923	12743	4875333	52509	9	0	0	1.6	0.000	0	0	48	0
ring_16k	hybrid_lazyring	off	cold	sweep	16384	16384	1	1	1	0	256	3452	5236	769938	20545	6089903	42037	9	0	0	0.8	0.000	0	0	52	0
ring_16k	product	off	cold	sweep	16384	16384	1	1	1	1	256	2705	3629	548861	14467	5130791	49895	9	0	0	1.6	0.181	1	1	8	1
ring_16k	product	off	cold	sweep	16384	16384	1	1	2	0	256	2824	3418	792449	16900	5340819	47933	9	0	0	1.2	0.000	1	1	28	1
ring_16k	hybrid_lazyring	off	cold	sweep	16384	16384	1	1	2	1	256	2405	4924	695863	14759	6403600	39978	9	0	0	1.6	0.000	0	0	16	0
ring_16k	hybrid_lazyring	off	cold	sweep	16384	16384	1	1	3	0	256	2524	3358	721851	19143	5788388	44226	9	0	0	1.2	0.000	0	0	4	0
ring_16k	product	off	cold	sweep	16384	16384	1	1	3	1	256	2927	3797	561771	15095	5311405	48198	9	0	0	1.6	0.000	1	1	0	1
ring_16k	product	off	cold	sweep	16384	16384	1	1	4	0	256	2149	2518	788667	14620	5225978	48986	9	0	0	1.6	0.000	1	1	24	1
ring_16k	hybrid_lazyring	off	cold	sweep	16384	16384	1	1	4	1	256	2220	2630	498985	11767	4548339	56284	9	0	0	1.6	0.000	0	0	4	0
ring_16k	hybrid_lazyring	off	cold	sweep	16384	16384	1	1	5	0	256	2586	4225	792499	17988	5518071	46393	9	0	0	1.2	0.000	0	0	32	0
ring_16k	product	off	cold	sweep	16384	16384	1	1	5	1	256	2419	2835	396660	12751	4605110	55590	9	0	0	1.6	0.000	1	1	0	1
ring_16k	product	off	cold	sweep	16384	16384	1	1	6	0	256	2273	2719	691002	13936	5749519	44525	9	0	0	1.2	0.332	1	1	0	1
ring_16k	hybrid_lazyring	off	cold	sweep	16384	16384	1	1	6	1	256	2531	4497	697322	12453	4960535	51607	9	0	0	1.6	0.000	0	0	0	0
ring_16k	hybrid_lazyring	off	cold	sweep	16384	16384	1	1	7	0	256	2405	2943	634521	18029	5579772	45880	9	0	0	1.2	0.000	0	0	32	0
ring_16k	product	off	cold	sweep	16384	16384	1	1	7	1	256	2313	2939	780680	11162	4715356	54291	9	0	0	2.0	0.000	1	1	0	1
ring_16k	product	off	cold	sweep	16384	16384	1	16	0	0	4096	4260	900660	2351716	15347	67300564	60861	9	0	0	25.1	0.000	1	1	176	16
ring_16k	hybrid_lazyring	off	cold	sweep	16384	16384	1	16	0	1	4096	4253	873844	1939685	15417	57227985	71573	9	0	0	24.5	0.000	0	0	232	0
ring_16k	hybrid_lazyring	off	cold	sweep	16384	16384	1	16	1	0	4096	4532	958880	1884910	15274	57319292	71459	9	0	0	20.6	0.000	0	0	152	0
ring_16k	product	off	cold	sweep	16384	16384	1	16	1	1	4096	4423	894338	2055985	14847	56793488	72121	9	0	0	22.4	0.000	1	1	0	16
ring_16k	product	off	cold	sweep	16384	16384	1	16	2	0	4096	4276	1165303	1957543	13232	57274260	71516	9	0	0	17.4	0.000	1	1	16	16
ring_16k	hybrid_lazyring	off	cold	sweep	16384	16384	1	16	2	1	4096	4133	947625	1905981	13397	56221934	72854	9	0	0	18.6	0.000	0	0	64	0
ring_16k	hybrid_lazyring	off	cold	sweep	16384	16384	1	16	3	0	4096	5114	909389	2161569	16858	57909575	70731	9	0	0	21.4	0.000	0	0	48	0
ring_16k	product	off	cold	sweep	16384	16384	1	16	3	1	4096	4549	863041	2182563	14559	56628740	72331	9	0	0	20.4	0.000	1	1	0	16
ring_16k	product	off	cold	sweep	16384	16384	1	16	4	0	4096	4183	921092	2055016	13971	57053177	71793	9	0	0	22.2	0.000	1	1	0	16
ring_16k	hybrid_lazyring	off	cold	sweep	16384	16384	1	16	4	1	4096	4676	898313	2080173	14035	55726047	73502	9	0	0	18.1	0.000	0	0	36	0
ring_16k	hybrid_lazyring	off	cold	sweep	16384	16384	1	16	5	0	4096	4306	933491	1933870	14540	56897679	71989	9	0	0	19.5	0.000	0	0	32	0
ring_16k	product	off	cold	sweep	16384	16384	1	16	5	1	4096	4107	907111	1933054	13940	56099251	73013	9	0	0	21.6	0.000	1	1	0	16
ring_16k	product	off	cold	sweep	16384	16384	1	16	6	0	4096	4363	864247	2170809	13912	56162641	72931	9	0	0	18.0	0.000	1	1	0	16
ring_16k	hybrid_lazyring	off	cold	sweep	16384	16384	1	16	6	1	4096	4425	881786	2079245	14334	57713317	70971	9	0	0	19.1	0.000	0	0	20	0
ring_16k	hybrid_lazyring	off	cold	sweep	16384	16384	1	16	7	0	4096	4983	921396	3091433	16026	63358690	64648	9	0	0	20.3	0.000	0	0	0	0
ring_16k	product	off	cold	sweep	16384	16384	1	16	7	1	4096	5078	945568	2140052	16583	57646435	71054	9	0	0	19.3	0.000	1	1	0	16
ring_16k	product	off	cold	sweep	16384	16384	1	64	0	0	16384	6032	1237281	3249905	11715	99012687	165474	9	0	0	21.5	0.000	1	1	660	64
ring_16k	hybrid_lazyring	off	cold	sweep	16384	16384	1	64	0	1	16384	6186	1290607	2829258	12181	84427452	194060	9	0	0	20.1	0.000	0	0	956	0
ring_16k	hybrid_lazyring	off	cold	sweep	16384	16384	1	64	1	0	16384	6258	1283117	3014723	13008	86594472	189204	9	0	0	21.1	0.000	0	0	232	0
ring_16k	product	off	cold	sweep	16384	16384	1	64	1	1	16384	6767	1158726	2253332	14677	87620575	186988	9	0	0	26.8	0.000	1	1	128	64
ring_16k	product	off	cold	sweep	16384	16384	1	64	2	0	16384	6571	1045245	2360953	12591	82782974	197915	9	0	0	23.3	0.000	1	1	84	64
ring_16k	hybrid_lazyring	off	cold	sweep	16384	16384	1	64	2	1	16384	6463	1241713	3221887	13635	94019276	174262	9	0	0	24.6	0.000	0	0	940	0
ring_16k	hybrid_lazyring	off	cold	sweep	16384	16384	1	64	3	0	16384	6420	1185572	2794843	12617	83521890	196164	9	0	0	21.9	0.000	0	0	768	0
ring_16k	product	off	cold	sweep	16384	16384	1	64	3	1	16384	6556	1011826	2229816	13276	80646032	203159	9	0	0	25.7	0.000	1	1	80	64
ring_16k	product	off	cold	sweep	16384	16384	1	64	4	0	16384	6437	1150355	2329120	12371	84670335	193503	9	0	0	23.6	0.000	1	1	36	64
ring_16k	hybrid_lazyring	off	cold	sweep	16384	16384	1	64	4	1	16384	6558	1001945	2395391	12798	78489655	208741	9	0	0	25.0	0.000	0	0	676	0
ring_16k	hybrid_lazyring	off	cold	sweep	16384	16384	1	64	5	0	16384	6307	1228198	2562897	12926	85829378	190890	9	0	0	22.6	0.000	0	0	704	0
ring_16k	product	off	cold	sweep	16384	16384	1	64	5	1	16384	6538	1200393	2458212	12656	79304644	206596	9	0	0	21.7	0.000	1	1	0	64
ring_16k	product	off	cold	sweep	16384	16384	1	64	6	0	16384	6445	1319240	2572714	12878	88202100	185755	9	0	0	22.0	0.000	1	1	40	64
ring_16k	hybrid_lazyring	off	cold	sweep	16384	16384	1	64	6	1	16384	6243	1314707	3047809	12905	84647016	193557	9	0	0	20.5	0.000	0	0	560	0
ring_16k	hybrid_lazyring	off	cold	sweep	16384	16384	1	64	7	0	16384	6431	1065780	3108884	12372	80116859	204501	9	0	0	20.7	0.000	0	0	720	0
ring_16k	product	off	cold	sweep	16384	16384	1	64	7	1	16384	6544	1108119	2196639	13347	85583303	191439	9	0	0	26.3	0.000	1	1	4	64
ring_250k	product	off	cold	sweep	250000	250000	1	1	0	0	256	29014	811274	1563193	110247	52203770	4904	9	0	0	16.8	0.000	1	1	316	1
ring_250k	hybrid_lazyring	off	cold	sweep	250000	250000	1	1	0	1	256	27726	877961	1443221	110874	52731050	4855	9	0	0	15.6	0.000	0	0	512	0
ring_250k	hybrid_lazyring	off	cold	sweep	250000	250000	1	1	1	0	256	31201	769336	1417497	121242	53264192	4806	9	0	0	17.2	0.000	0	0	508	0
ring_250k	product	off	cold	sweep	250000	250000	1	1	1	1	256	32698	807407	1386231	117217	53226826	4810	9	0	0	16.8	0.000	1	1	432	1
ring_250k	product	off	cold	sweep	250000	250000	1	1	2	0	256	31170	789942	1570789	114881	53081171	4823	9	0	0	16.8	0.000	1	1	440	1
ring_250k	hybrid_lazyring	off	cold	sweep	250000	250000	1	1	2	1	256	31691	789676	1643880	117892	53669671	4770	9	0	0	16.4	0.000	0	0	488	0
ring_250k	hybrid_lazyring	off	cold	sweep	250000	250000	1	1	3	0	256	29125	768012	1514348	125711	52999606	4830	9	0	0	15.6	0.000	0	0	496	0
ring_250k	product	off	cold	sweep	250000	250000	1	1	3	1	256	29741	824004	1508355	110238	53095226	4822	9	0	0	16.8	0.000	1	1	364	1
ring_250k	product	off	cold	sweep	250000	250000	1	1	4	0	256	31367	852141	1502815	108477	55472927	4615	9	0	0	16.4	0.000	1	1	4	1
ring_250k	hybrid_lazyring	off	cold	sweep	250000	250000	1	1	4	1	256	29386	862467	1462216	112302	53466797	4788	9	0	0	16.8	0.000	0	0	0	0
ring_250k	hybrid_lazyring	off	cold	sweep	250000	250000	1	1	5	0	256	24188	871062	1261785	104130	52920862	4837	9	0	0	18.0	0.000	0	0	0	0
ring_250k	product	off	cold	sweep	250000	250000	1	1	5	1	256	28479	813753	1368497	107688	52838221	4845	9	0	0	17.6	0.000	1	1	0	1
ring_250k	product	off	cold	sweep	250000	250000	1	1	6	0	256	30085	841941	1445356	111192	52585124	4868	9	0	0	16.4	0.000	1	1	4	1
ring_250k	hybrid_lazyring	off	cold	sweep	250000	250000	1	1	6	1	256	28900	883895	1451440	113144	53400540	4794	9	0	0	16.8	0.000	0	0	64	0
ring_250k	hybrid_lazyring	off	cold	sweep	250000	250000	1	1	7	0	256	29203	787427	1341809	110085	53841968	4755	9	0	0	16.8	0.000	0	0	64	0
ring_250k	product	off	cold	sweep	250000	250000	1	1	7	1	256	29010	829433	1435909	114073	53558286	4780	9	0	0	16.8	0.000	1	1	244	1
ring_250k	product	off	cold	sweep	250000	250000	1	16	0	0	4096	108865	3463979	5103312	119493	358692237	11419	9	0	0	48.4	0.000	1	1	1104	16
ring_250k	hybrid_lazyring	off	cold	sweep	250000	250000	1	16	0	1	4096	110283	4385256	7372387	159396	403553775	10150	9	0	0	42.2	0.000	0	0	2896	0
ring_250k	hybrid_lazyring	off	cold	sweep	250000	250000	1	16	1	0	4096	106462	3759935	5716830	139376	362926867	11286	9	0	0	45.9	0.000	0	0	3596	0
ring_250k	product	off	cold	sweep	250000	250000	1	16	1	1	4096	116466	3514910	5345860	122683	364827310	11227	9	0	0	48.5	0.000	1	1	1148	16
ring_250k	product	off	cold	sweep	250000	250000	1	16	2	0	4096	105429	3396858	5309831	122309	358613964	11422	9	0	0	47.9	0.000	1	1	440	16
ring_250k	hybrid_lazyring	off	cold	sweep	250000	250000	1	16	2	1	4096	115121	3538455	5474051	133484	358617480	11422	9	0	0	47.1	0.000	0	0	3868	0
