label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct	peak_named	peak_in_flight	rss_kib	rings_built
fill_16k	product	off	warm	sweep	16384	16384	1	1	0	0	256	3789	4684	5665	5909	1260097	203159	9	0	0	0.0	0.000	1	0	220	0
fill_16k	hybrid_lazyring	off	warm	sweep	16384	16384	1	1	0	1	256	4007	4480	5048	5965	1296277	197489	9	0	0	0.0	0.000	0	0	28	0
fill_16k	pool	off	warm	sweep	16384	16384	1	1	0	2	256	3229	3720	9684	4840	1089477	234975	9	0	0	0.0	0.000	0	0	20	0
fill_16k	pooled_pread	off	warm	sweep	16384	16384	1	1	0	3	256	16092	17942	34466	24408	4630401	55287	10	0	0	100.0	0.000	0	0	36	0
fill_16k	hybrid_lazyring	off	warm	sweep	16384	16384	1	1	1	0	256	3271	4088	4759	4893	1077731	237536	9	0	0	0.0	0.000	0	0	20	0
fill_16k	pool	off	warm	sweep	16384	16384	1	1	1	1	256	3077	3491	4920	4596	1018433	251367	9	0	0	0.0	0.000	0	0	28	0
fill_16k	pooled_pread	off	warm	sweep	16384	16384	1	1	1	2	256	14932	19723	30926	23208	4354836	58785	10	0	0	100.0	0.000	0	0	4	0
fill_16k	product	off	warm	sweep	16384	16384	1	1	1	3	256	3219	3637	7915	5064	1044775	245029	9	0	0	0.0	0.000	1	0	8	0
fill_16k	pool	off	warm	sweep	16384	16384	1	1	2	0	256	3156	3615	4377	4490	1022384	250395	9	0	0	0.0	0.000	0	0	20	0
fill_16k	pooled_pread	off	warm	sweep	16384	16384	1	1	2	1	256	17851	25420	59638	28356	5493569	46600	10	0	0	100.0	0.000	0	0	20	0
fill_16k	product	off	warm	sweep	16384	16384	1	1	2	2	256	3293	3719	13169	5151	1086477	235624	9	0	0	0.0	0.000	1	0	12	0
fill_16k	hybrid_lazyring	off	warm	sweep	16384	16384	1	1	2	3	256	3633	4103	7312	5412	1242288	206071	9	0	0	0.0	0.000	0	0	0	0
fill_16k	pooled_pread	off	warm	sweep	16384	16384	1	1	3	0	256	19134	21498	44772	28505	5407375	47343	10	0	0	100.0	0.000	0	0	28	0
fill_16k	product	off	warm	sweep	16384	16384	1	1	3	1	256	3189	4243	6240	4649	1071953	238816	9	0	0	0.0	0.000	1	0	16	0
fill_16k	hybrid_lazyring	off	warm	sweep	16384	16384	1	1	3	2	256	2955	3568	6515	4850	983706	260240	9	0	0	0.0	0.000	0	0	8	0
fill_16k	pool	off	warm	sweep	16384	16384	1	1	3	3	256	2823	3172	3897	4304	926316	276364	9	0	0	0.0	0.000	0	0	4	0
fill_16k	product	off	warm	sweep	16384	16384	1	1	4	0	256	3486	3942	4984	4963	1103428	232004	9	0	0	0.0	0.000	1	0	0	0
fill_16k	hybrid_lazyring	off	warm	sweep	16384	16384	1	1	4	1	256	2818	3286	4146	3984	902883	283536	9	0	0	0.0	0.000	0	0	0	0
fill_16k	pool	off	warm	sweep	16384	16384	1	1	4	2	256	2869	3305	3654	4323	947521	270179	9	0	0	0.0	0.000	0	0	8	0
fill_16k	pooled_pread	off	warm	sweep	16384	16384	1	1	4	3	256	16423	20378	63827	25437	5625803	45505	10	0	0	100.0	0.000	0	0	0	0
fill_16k	hybrid_lazyring	off	warm	sweep	16384	16384	1	1	5	0	256	2786	3228	4851	4306	900974	284137	9	0	0	0.0	0.000	0	0	0	0
fill_16k	pool	off	warm	sweep	16384	16384	1	1	5	1	256	2889	3505	4641	4063	925569	276587	9	0	0	0.0	0.000	0	0	0	0
