label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct	peak_named	peak_in_flight	rss_kib	rings_built
mon0_r0	product	off	warm	stride	250000	500000	1	1	0	0	256	40431	46888	61622	41115	10561993	24238	9	0	0	0.0	0.000	1	0	244	0
mon0_r0	hybrid_lazyring	off	warm	stride	250000	500000	1	1	0	1	256	34950	41605	52625	38878	9803652	26113	9	0	0	0.0	0.000	0	0	248	0
mon0_r0	pool	off	warm	stride	250000	500000	1	1	0	2	256	36679	43005	63732	40588	10295857	24864	9	0	0	0.0	0.000	0	0	260	0
mon1_r0	product	off	warm	stride	250000	500000	1	1	0	0	256	38386	53612	73491	43191	11342773	22569	9	21824	11162007	0.0	0.000	1	0	204	0
mon1_r0	hybrid_lazyring	off	warm	stride	250000	500000	1	1	0	1	256	34734	41527	57218	38489	9709328	26366	9	6527	9530968	0.0	0.000	0	0	260	0
mon1_r0	pool	off	warm	stride	250000	500000	1	1	0	2	256	34607	40299	52703	37219	9446505	27100	9	7972	9281874	0.0	0.000	0	0	4	0
mon1_r1	product	off	warm	stride	250000	500000	1	1	0	0	256	36030	39546	52006	40044	9819026	26072	9	17067	9627501	0.0	0.000	1	0	208	0
mon1_r1	hybrid_lazyring	off	warm	stride	250000	500000	1	1	0	1	256	35165	41144	53700	37196	9730781	26308	9	5293	9566397	0.0	0.000	0	0	248	0
mon1_r1	pool	off	warm	stride	250000	500000	1	1	0	2	256	36560	44222	62627	101817	10195974	25108	9	4997	23475	0.0	0.000	0	0	324	0
mon0_r1	product	off	warm	stride	250000	500000	1	1	0	0	256	36364	40339	54636	39429	9891303	25881	9	0	0	0.0	0.000	1	0	260	0
mon0_r1	hybrid_lazyring	off	warm	stride	250000	500000	1	1	0	1	256	34445	38649	52528	37122	9518986	26894	9	0	0	0.0	0.000	0	0	256	0
mon0_r1	pool	off	warm	stride	250000	500000	1	1	0	2	256	34030	37606	54465	37753	9423519	27166	9	0	0	0.0	0.000	0	0	252	0
