label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct	peak_named	peak_in_flight
mode_auto_r0	product	off	cold	stride	250000	500000	1	1	0	0	256	1180939	1475466	2057720	223849	315805659	811	9	0	0	99.6	0.000	1	1
mode_auto_r0	pool	off	cold	stride	250000	500000	1	1	0	1	256	921059	1659111	1832898	337772	275944880	928	10	0	0	99.6	0.000	0	0
mode_pool_r0	product	off	cold	stride	250000	500000	1	1	0	0	256	1995645	2333875	2925388	555884	464833665	551	10	0	0	99.6	0.000	1	1
mode_pool_r0	pool	off	cold	stride	250000	500000	1	1	0	1	256	978179	1184333	1277463	262886	246435415	1039	10	0	0	99.6	0.000	0	0
mode_pool_r1	product	off	cold	stride	250000	500000	1	1	0	0	256	1643294	1920836	2544534	394091	395719347	647	10	0	0	99.6	0.000	1	1
mode_pool_r1	pool	off	cold	stride	250000	500000	1	1	0	1	256	853436	1564771	1761901	262483	248357549	1031	10	0	0	99.6	0.000	0	0
mode_auto_r1	product	off	cold	stride	250000	500000	1	1	0	0	256	1547015	2135430	2777449	366290	403415631	635	9	0	0	99.6	0.000	1	1
mode_auto_r1	pool	off	cold	stride	250000	500000	1	1	0	1	256	837659	1579408	1686386	285805	257260181	995	10	0	0	99.6	0.000	0	0
mode_auto_r2	product	off	cold	stride	250000	500000	1	1	0	0	256	1568560	1786028	2351390	357743	394061457	650	9	0	0	99.6	0.000	1	1
mode_auto_r2	pool	off	cold	stride	250000	500000	1	1	0	1	256	757890	846118	928165	166818	195506507	1309	10	0	0	99.6	0.000	0	0
mode_pool_r2	product	off	cold	stride	250000	500000	1	1	0	0	256	1137296	1468802	1914417	199659	301649209	849	10	0	0	99.6	0.000	1	1
mode_pool_r2	pool	off	cold	stride	250000	500000	1	1	0	1	256	768814	980473	1063095	185049	205835095	1244	10	0	0	99.6	0.000	0	0
mode_pool_r3	product	off	cold	stride	250000	500000	1	1	0	0	256	1186556	2075809	2369820	261295	340094980	753	10	0	0	99.6	0.000	1	1
mode_pool_r3	pool	off	cold	stride	250000	500000	1	1	0	1	256	901020	1695417	5229517	270969	310544307	824	10	0	0	99.6	0.000	0	0
mode_auto_r3	product	off	cold	stride	250000	500000	1	1	0	0	256	1994664	2208123	2755208	513235	481816139	531	9	0	0	99.6	0.000	1	1
mode_auto_r3	pool	off	cold	stride	250000	500000	1	1	0	1	256	1232324	1803527	1961595	384240	351062443	729	10	0	0	99.6	0.000	0	0
mode_auto_r4	product	off	cold	stride	250000	500000	1	1	0	0	256	1424534	1730331	2223520	283006	354202922	723	9	0	0	99.6	0.000	1	1
mode_auto_r4	pool	off	cold	stride	250000	500000	1	1	0	1	256	1043141	1580606	2068218	386237	303037810	845	10	0	0	99.6	0.000	0	0
mode_pool_r4	product	off	cold	stride	250000	500000	1	1	0	0	256	1358572	2170140	2784024	375204	389119980	658	10	0	0	99.6	0.000	1	1
mode_pool_r4	pool	off	cold	stride	250000	500000	1	1	0	1	256	861246	1500048	1613305	281304	254024521	1008	10	0	0	99.6	0.000	0	0
mode_pool_r5	product	off	cold	stride	250000	500000	1	1	0	0	256	1430763	1825463	2410464	304811	373353692	686	10	0	0	99.6	0.000	1	1
mode_pool_r5	pool	off	cold	stride	250000	500000	1	1	0	1	256	1095886	1511834	1732140	352267	289412430	885	10	0	0	99.6	0.000	0	0
mode_auto_r5	product	off	cold	stride	250000	500000	1	1	0	0	256	1630324	2104654	2667222	374422	406965783	629	9	0	0	99.6	0.000	1	1
mode_auto_r5	pool	off	cold	stride	250000	500000	1	1	0	1	256	856086	1561667	1738593	250779	250293130	1023	10	0	0	99.6	0.000	0	0
mode_auto_r6	product	off	cold	stride	250000	500000	1	1	0	0	256	1576844	2188014	2786345	394126	425959573	601	9	0	0	99.6	0.000	1	1
mode_auto_r6	pool	off	cold	stride	250000	500000	1	1	0	1	256	1106439	1592863	1709588	337100	288182406	888	10	0	0	99.6	0.000	0	0
mode_pool_r6	product	off	cold	stride	250000	500000	1	1	0	0	256	1537757	1797013	2323502	366150	394961154	648	10	0	0	99.6	0.000	1	1
mode_pool_r6	pool	off	cold	stride	250000	500000	1	1	0	1	256	996120	1539672	1676288	327044	282028972	908	10	0	0	99.6	0.000	0	0
mode_pool_r7	product	off	cold	stride	250000	500000	1	1	0	0	256	1439174	1976614	2225066	344497	377645079	678	10	0	0	100.0	0.000	1	1
mode_pool_r7	pool	off	cold	stride	250000	500000	1	1	0	1	256	929442	1465540	1631336	262751	257489699	994	10	0	0	99.6	0.000	0	0
mode_auto_r7	product	off	cold	stride	250000	500000	1	1	0	0	256	1816973	2229511	2820666	447987	448101426	571	9	0	0	99.6	0.000	1	1
mode_auto_r7	pool	off	cold	stride	250000	500000	1	1	0	1	256	1254464	1436625	1550730	295129	317618877	806	10	0	0	99.6	0.000	0	0
mode_auto_r8	product	off	cold	stride	250000	500000	1	1	0	0	256	1279372	2120631	2723393	316142	386077926	663	9	0	0	99.6	0.000	1	1
mode_auto_r8	pool	off	cold	stride	250000	500000	1	1	0	1	256	846753	1575264	2769772	225215	255653211	1001	10	0	0	99.6	0.000	0	0
mode_pool_r8	product	off	cold	stride	250000	500000	1	1	0	0	256	1478099	2197127	2702618	420042	407867582	628	10	0	0	99.6	0.000	1	1
mode_pool_r8	pool	off	cold	stride	250000	500000	1	1	0	1	256	1494309	1639414	1763514	499945	351685732	728	10	0	0	99.6	0.000	0	0
mode_pool_r9	product	off	cold	stride	250000	500000	1	1	0	0	256	1270282	2215957	2717414	369132	384508758	666	10	0	0	99.6	0.000	1	1
mode_pool_r9	pool	off	cold	stride	250000	500000	1	1	0	1	256	808469	1081337	1596565	170583	220064169	1163	10	0	0	99.6	0.000	0	0
mode_auto_r9	product	off	cold	stride	250000	500000	1	1	0	0	256	2007904	2314384	2893827	519788	485739492	527	9	0	0	99.6	0.000	1	1
mode_auto_r9	pool	off	cold	stride	250000	500000	1	1	0	1	256	1456466	1636409	1756164	448654	329385745	777	10	0	0	99.6	0.000	0	0
mode_auto_r10	product	off	cold	stride	250000	500000	1	1	0	0	256	1720161	2222931	2773140	408994	431351571	593	9	0	0	99.6	0.000	1	1
mode_auto_r10	pool	off	cold	stride	250000	500000	1	1	0	1	256	982371	1066476	1177896	247650	248275424	1031	10	0	0	99.6	0.000	0	0
mode_pool_r10	product	off	cold	stride	250000	500000	1	1	0	0	256	2046952	2322931	3016467	572034	487718152	525	10	0	0	99.6	0.000	1	1
mode_pool_r10	pool	off	cold	stride	250000	500000	1	1	0	1	256	1237081	1597595	1934815	387347	308477636	830	10	0	0	99.6	0.000	0	0
mode_pool_r11	product	off	cold	stride	250000	500000	1	1	0	0	256	2022227	2275499	2765996	521705	464304111	551	10	0	0	99.6	0.000	1	1
mode_pool_r11	pool	off	cold	stride	250000	500000	1	1	0	1	256	1191384	1326638	1455452	358449	296914504	862	10	0	0	99.6	0.000	0	0
mode_auto_r11	product	off	cold	stride	250000	500000	1	1	0	0	256	1699754	2137949	2680470	431396	428089209	598	9	0	0	99.6	0.000	1	1
mode_auto_r11	pool	off	cold	stride	250000	500000	1	1	0	1	256	708596	839829	916119	130815	185326628	1381	10	0	0	99.6	0.000	0	0
