label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct	peak_named	peak_in_flight
size_16384	product	off	cold	stride	16384	500000	1	1	0	0	256	2323787	2862437	3084695	125515	546328136	469	9	0	0	99.6	0.000	1	1
size_16384	product_ahead	off	cold	stride	16384	500000	1	1	0	1	256	696673	2377217	2916284	124138	271283977	944	9	0	0	99.6	0.000	2	2
size_16384	pool	off	cold	stride	16384	500000	1	1	0	2	256	306159	2571561	3313196	99373	204438557	1252	10	0	0	99.6	0.000	0	0
size_16384	hybrid_lazyring	off	cold	stride	16384	500000	1	1	0	3	256	278500	369817	436443	42470	72053549	3553	9	0	0	99.6	0.000	0	0
size_16384	product_ahead	off	cold	stride	16384	500000	1	1	1	0	256	122206	242620	348465	33480	34586683	7402	9	0	0	99.6	0.000	2	2
size_16384	pool	off	cold	stride	16384	500000	1	1	1	1	256	230772	324435	402167	45683	61444771	4166	10	0	0	99.6	0.000	0	0
size_16384	hybrid_lazyring	off	cold	stride	16384	500000	1	1	1	2	256	269088	401890	463996	35956	72952773	3509	9	0	0	99.6	0.000	0	0
size_16384	product	off	cold	stride	16384	500000	1	1	1	3	256	254522	360294	456038	34712	68433180	3741	9	0	0	99.6	0.000	1	1
size_16384	pool	off	cold	stride	16384	500000	1	1	2	0	256	256814	359771	445445	51107	67819525	3775	10	0	0	99.6	0.000	0	0
size_16384	hybrid_lazyring	off	cold	stride	16384	500000	1	1	2	1	256	363392	474890	520319	99607	92301449	2774	9	0	0	99.6	0.000	0	0
size_16384	product	off	cold	stride	16384	500000	1	1	2	2	256	313238	379473	444054	72250	80010649	3200	9	0	0	99.6	0.000	1	1
size_16384	product_ahead	off	cold	stride	16384	500000	1	1	2	3	256	137284	249535	319032	58426	37648944	6800	9	0	0	99.6	0.000	2	2
size_16384	hybrid_lazyring	off	cold	stride	16384	500000	1	1	3	0	256	309471	388952	440751	71683	81054915	3158	9	0	0	99.6	0.000	0	0
size_16384	product	off	cold	stride	16384	500000	1	1	3	1	256	273793	386243	429846	48687	72602412	3526	9	0	0	99.6	0.000	1	1
size_16384	product_ahead	off	cold	stride	16384	500000	1	1	3	2	256	121635	282189	367473	37719	36213314	7069	9	0	0	99.6	0.000	2	2
size_16384	pool	off	cold	stride	16384	500000	1	1	3	3	256	236582	343338	426540	63973	64578485	3964	10	0	0	99.6	0.000	0	0
size_16384	product	off	cold	stride	16384	500000	1	1	4	0	256	297947	387286	458143	48291	76715882	3337	9	0	0	99.6	0.000	1	1
size_16384	product_ahead	off	cold	stride	16384	500000	1	1	4	1	256	154557	291391	370374	65053	41270320	6203	9	0	0	99.6	0.000	2	2
size_16384	pool	off	cold	stride	16384	500000	1	1	4	2	256	228546	318168	399462	45070	60674862	4219	10	0	0	99.6	0.000	0	0
size_16384	hybrid_lazyring	off	cold	stride	16384	500000	1	1	4	3	256	245217	335969	462637	33667	65782803	3892	9	0	0	99.6	0.000	0	0
size_16384	product_ahead	off	cold	stride	16384	500000	1	1	5	0	256	123599	230112	283021	43436	34151905	7496	9	0	0	99.6	0.000	2	2
