label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct	peak_named	peak_in_flight	rss_kib	rings_built	monitors	short_reads	reads_per_ask
m_auto_r0	product	off	cold	stride	250000	500000	1	1	0	0	256	1078250	1707250	3005438	213419	311199508	823	9	0	0	99.6	0.000	1	1	344	1	0	0	1.01
m_auto_r0	pool	off	cold	stride	250000	500000	1	1	0	1	256	771008	864245	999702	152052	198033984	1293	10	0	0	99.6	0.000	0	0	280	0	0	0	0.00
m_auto_r0	hybrid_lazyring	off	cold	stride	250000	500000	1	1	0	2	256	866820	1511664	2244169	222419	250228511	1023	9	0	0	99.6	0.000	0	1	492	0	0	0	0.00
m_pool_r0	product	off	cold	stride	250000	500000	1	1	0	0	256	1197170	1464914	1935729	232431	323248838	792	10	0	0	99.6	0.000	1	1	288	0	0	0	1.01
m_pool_r0	pool	off	cold	stride	250000	500000	1	1	0	1	256	816610	955663	1062322	176470	211921210	1208	10	0	0	99.6	0.000	0	0	260	0	0	0	0.00
m_pool_r0	hybrid_lazyring	off	cold	stride	250000	500000	1	1	0	2	256	996566	1155408	2220265	251590	254525855	1006	9	0	0	99.6	0.000	0	1	436	0	0	0	0.00
m_uring_r0	product	off	cold	stride	250000	500000	1	1	0	0	256	856914	971222	1087690	183574	222359368	1151	9	0	0	100.0	0.000	1	1	308	1	0	0	1.00
m_uring_r0	pool	off	cold	stride	250000	500000	1	1	0	1	256	897651	982799	1074404	223810	229745602	1114	10	0	0	99.6	0.000	0	0	272	0	0	0	0.00
m_uring_r0	hybrid_lazyring	off	cold	stride	250000	500000	1	1	0	2	256	820432	984434	1116332	169279	214967894	1191	9	0	0	99.6	0.000	0	1	504	0	0	0	0.00
m_pool_r1	product	off	cold	stride	250000	500000	1	1	0	0	256	1207661	1394578	1884050	239565	316077361	810	10	0	0	99.6	0.000	1	1	300	0	0	0	1.01
m_pool_r1	pool	off	cold	stride	250000	500000	1	1	0	1	256	881274	1144021	1705775	246112	241815204	1059	10	0	0	99.6	0.000	0	0	192	0	0	0	0.00
m_pool_r1	hybrid_lazyring	off	cold	stride	250000	500000	1	1	0	2	256	861873	965710	1071098	195062	222653270	1150	9	0	0	99.6	0.000	0	1	504	0	0	0	0.00
m_uring_r1	product	off	cold	stride	250000	500000	1	1	0	0	256	993081	1135452	1231732	235337	245188702	1044	9	0	0	100.0	0.000	1	1	296	1	0	0	1.00
m_uring_r1	pool	off	cold	stride	250000	500000	1	1	0	1	256	795483	876711	986210	154551	203296142	1259	10	0	0	99.6	0.000	0	0	280	0	0	0	0.00
m_uring_r1	hybrid_lazyring	off	cold	stride	250000	500000	1	1	0	2	256	902982	1006196	1106223	202506	228443604	1121	9	0	0	99.6	0.000	0	1	500	0	0	0	0.00
m_auto_r1	product	off	cold	stride	250000	500000	1	1	0	0	256	993615	1139400	1629576	157048	261042159	981	9	0	0	99.6	0.000	1	1	272	1	0	0	1.01
m_auto_r1	pool	off	cold	stride	250000	500000	1	1	0	1	256	725162	786264	881758	152582	186533075	1372	10	0	0	99.6	0.000	0	0	268	0	0	0	0.00
m_auto_r1	hybrid_lazyring	off	cold	stride	250000	500000	1	1	0	2	256	983167	1063125	1161865	158718	252361437	1014	9	0	0	99.6	0.000	0	1	508	0	0	0	0.00
m_uring_r2	product	off	cold	stride	250000	500000	1	1	0	0	256	776411	853141	945122	132995	198096453	1292	9	0	0	100.0	0.000	1	1	264	1	0	0	1.00
m_uring_r2	pool	off	cold	stride	250000	500000	1	1	0	1	256	788304	953712	1565347	194442	212229245	1206	10	0	0	99.6	0.000	0	0	276	0	0	0	0.00
m_uring_r2	hybrid_lazyring	off	cold	stride	250000	500000	1	1	0	2	256	836336	989724	1087937	187561	215837248	1186	9	0	0	99.6	0.000	0	1	504	0	0	0	0.00
m_auto_r2	product	off	cold	stride	250000	500000	1	1	0	0	256	1193823	1444849	1872144	203038	309205131	828	9	0	0	99.6	0.000	1	1	276	1	0	0	1.01
m_auto_r2	pool	off	cold	stride	250000	500000	1	1	0	1	256	782030	997502	1102619	156329	207364126	1235	10	0	0	99.6	0.000	0	0	280	0	0	0	0.00
m_auto_r2	hybrid_lazyring	off	cold	stride	250000	500000	1	1	0	2	256	945549	1046988	1157706	224451	241066095	1062	9	0	0	99.6	0.000	0	1	504	0	0	0	0.00
m_pool_r2	product	off	cold	stride	250000	500000	1	1	0	0	256	1091710	1632746	2883114	192393	307417482	833	10	0	0	99.6	0.000	1	1	340	0	0	0	1.01
m_pool_r2	pool	off	cold	stride	250000	500000	1	1	0	1	256	1218641	1583498	1821163	298614	313144706	818	10	0	0	99.6	0.000	0	0	252	0	0	0	0.00
m_pool_r2	hybrid_lazyring	off	cold	stride	250000	500000	1	1	0	2	256	930805	1052083	2347609	241590	247178479	1036	9	0	0	99.6	0.000	0	1	496	0	0	0	0.00
m_auto_r3	product	off	cold	stride	250000	500000	1	1	0	0	256	1150112	1810265	4607261	281899	351948753	727	9	0	0	99.6	0.000	1	1	248	1	0	0	1.01
m_auto_r3	pool	off	cold	stride	250000	500000	1	1	0	1	256	806676	907652	997898	214030	208231983	1229	11	0	0	99.6	0.000	0	0	288	0	0	0	0.00
m_auto_r3	hybrid_lazyring	off	cold	stride	250000	500000	1	1	0	2	256	842110	941977	1023039	187626	215564518	1188	9	0	0	99.6	0.000	0	1	508	0	0	0	0.00
m_pool_r3	product	off	cold	stride	250000	500000	1	1	0	0	256	1199148	1622097	1920113	237319	316922357	808	11	0	0	99.6	0.000	1	1	316	0	0	0	1.01
m_pool_r3	pool	off	cold	stride	250000	500000	1	1	0	1	256	760761	860079	948880	171597	197020896	1299	10	0	0	99.6	0.000	0	0	252	0	0	0	0.00
m_pool_r3	hybrid_lazyring	off	cold	stride	250000	500000	1	1	0	2	256	1118355	1364422	1517835	215768	291780656	877	9	0	0	99.6	0.000	0	1	260	0	0	0	0.00
m_uring_r3	product	off	cold	stride	250000	500000	1	1	0	0	256	1010245	1153264	2251274	240611	256629805	998	9	0	0	100.0	0.000	1	1	260	1	0	0	1.00
