label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct	peak_named	peak_in_flight	rss_kib	rings_built	monitors	short_reads	reads_per_ask
sz16384	pool_capped_probe	off	cold	stride	16384	500000	1	1	0	0	256	241455	311739	397871	51880	63138455	4055	10	0	0	99.6	0.000	0	0	176	0	0	0	0.00
sz16384	pool	off	cold	stride	16384	500000	1	1	0	1	256	215130	271029	355432	40961	55766829	4591	10	0	0	99.6	0.000	0	0	40	0	0	0	0.00
sz16384	product	off	cold	stride	16384	500000	1	1	0	2	256	247951	339525	386753	36444	66049727	3876	9	0	0	99.6	0.000	1	1	28	1	0	0	1.00
sz16384	hybrid_lazyring	off	cold	stride	16384	500000	1	1	0	3	256	223456	286114	343883	30699	58642098	4365	9	0	0	99.6	0.000	0	1	36	0	0	0	0.00
sz16384	pool	off	cold	stride	16384	500000	1	1	1	0	256	230395	306818	368703	44368	61409527	4169	10	0	0	99.6	0.000	0	0	20	0	0	0	0.00
sz16384	product	off	cold	stride	16384	500000	1	1	1	1	256	228695	297323	349653	31677	60080326	4261	9	0	0	99.6	0.000	1	1	0	1	0	0	1.00
sz16384	hybrid_lazyring	off	cold	stride	16384	500000	1	1	1	2	256	249894	367029	441084	37234	69068472	3706	9	0	0	99.6	0.000	0	1	32	0	0	0	0.00
sz16384	pool_capped_probe	off	cold	stride	16384	500000	1	1	1	3	256	230204	295894	362307	49243	60073559	4261	10	0	0	99.6	0.000	0	0	8	0	0	0	0.00
sz16384	product	off	cold	stride	16384	500000	1	1	2	0	256	224173	293814	359470	31703	59464212	4305	9	0	0	99.6	0.000	1	1	24	1	0	0	1.00
sz16384	hybrid_lazyring	off	cold	stride	16384	500000	1	1	2	1	256	251540	341507	413467	37942	66508899	3849	9	0	0	99.6	0.000	0	1	24	0	0	0	0.00
sz16384	pool_capped_probe	off	cold	stride	16384	500000	1	1	2	2	256	248875	324233	447632	45895	64874312	3946	10	0	0	99.6	0.000	0	0	0	0	0	0	0.00
sz16384	pool	off	cold	stride	16384	500000	1	1	2	3	256	230709	305218	439371	45115	61091002	4190	10	0	0	99.6	0.000	0	0	0	0	0	0	0.00
sz16384	hybrid_lazyring	off	cold	stride	16384	500000	1	1	3	0	256	233199	322806	420434	36096	62651136	4086	9	0	0	99.6	0.000	0	1	32	0	0	0	0.00
sz16384	pool_capped_probe	off	cold	stride	16384	500000	1	1	3	1	256	243086	331377	416307	46996	63716025	4018	10	0	0	99.6	0.000	0	0	0	0	0	0	0.00
sz16384	pool	off	cold	stride	16384	500000	1	1	3	2	256	269317	363111	434723	60855	71124218	3599	10	0	0	99.6	0.000	0	0	20	0	0	0	0.00
sz16384	product	off	cold	stride	16384	500000	1	1	3	3	256	238396	309343	395752	31740	62074304	4124	9	0	0	99.6	0.000	1	1	0	1	0	0	1.00
sz16384	pool_capped_probe	off	cold	stride	16384	500000	1	1	4	0	256	217439	280069	333954	42047	56777635	4509	10	0	0	99.6	0.000	0	0	0	0	0	0	0.00
sz16384	pool	off	cold	stride	16384	500000	1	1	4	1	256	220671	283791	341269	47193	57394381	4460	10	0	0	99.6	0.000	0	0	0	0	0	0	0.00
sz16384	product	off	cold	stride	16384	500000	1	1	4	2	256	238995	323897	444206	33885	63811053	4012	9	0	0	99.6	0.000	1	1	0	1	0	0	1.00
sz16384	hybrid_lazyring	off	cold	stride	16384	500000	1	1	4	3	256	246994	369260	442100	35677	67253253	3807	9	0	0	99.6	0.000	0	1	0	0	0	0	0.00
sz16384	pool	off	cold	stride	16384	500000	1	1	5	0	256	229103	318755	403850	47812	61302783	4176	10	0	0	99.6	0.000	0	0	0	0	0	0	0.00
sz16384	product	off	cold	stride	16384	500000	1	1	5	1	256	221221	278566	327051	30576	57340167	4465	9	0	0	99.6	0.000	1	1	0	1	0	0	1.00
sz16384	hybrid_lazyring	off	cold	stride	16384	500000	1	1	5	2	256	241957	334071	408981	33695	64404098	3975	9	0	0	99.6	0.000	0	1	32	0	0	0	0.00
sz16384	pool_capped_probe	off	cold	stride	16384	500000	1	1	5	3	256	230650	329098	438074	48251	62578252	4091	10	0	0	99.6	0.000	0	0	0	0	0	0	0.00
sz16384	product	off	cold	stride	16384	500000	1	1	6	0	256	272267	365040	437427	44189	71147700	3598	9	0	0	99.6	0.000	1	1	0	1	0	0	1.00
sz16384	hybrid_lazyring	off	cold	stride	16384	500000	1	1	6	1	256	337243	470810	554544	93608	88886213	2880	9	0	0	99.6	0.000	0	1	0	0	0	0	0.00
